top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
라이프,디지털/가전,카메라,케이스,https://image.sivillage.com/upload/C00001/goods/org/294/230306004394294.jpg?RS=450&SP=1,ARTISAN&ARTIST,아티산앤아티스트 ACAM-312N Silver 카메라 스트랩,Silver,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/18_01_%EC%8B%A4%EB%B2%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/goods/color/color_060027_210114011352.png","실버,네이비,레드",N/A
라이프,디지털/가전,카메라,케이스,https://image.sivillage.com/upload/C00001/goods/org/841/230306004391841.jpg?RS=450&SP=1,ARTISAN&ARTIST,아티산앤아티스트 GCAM-1000 카메라 가방,GCAM-1000,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,카메라,케이스,https://image.sivillage.com/upload/C00001/goods/org/631/210930001498631.jpg?RS=450&SP=1,LEICA,라이카 CL Protector Case Black,CL,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_110021_210114010651.png","블랙,브라운",N/A
라이프,디지털/가전,카메라,케이스,https://image.sivillage.com/upload/C00001/goods/org/230/210930001498230.jpg?RS=450&SP=1,LEICA,라이카 C-LUX Protector Case Taupe,C-LUX,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/15_03_%EB%8B%A4%ED%81%AC_%EB%B8%8C%EB%9D%BC%EC%9A%B4.png,https://image.sivillage.com/upload/C00001/goods/color/0000624.png,https://image.sivillage.com/upload/C00001/goods/color/color_060027_210114011352.png","다크 브라운,마린,레드",N/A
라이프,디지털/가전,카메라,케이스,https://image.sivillage.com/upload/C00001/goods/org/925/230307004402925.jpg?RS=450&SP=1&QT=20,OBERWERTH,오버베르트 Frankfurt Black / Dark brown 카메라백,Black,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,카메라,케이스,https://image.sivillage.com/upload/C00001/goods/org/837/230306004391837.jpg?RS=450&SP=1&QT=20,ARTISAN&ARTIST,아티산앤아티스트 ACAM-7100 카메라 가방,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,카메라,케이스,https://image.sivillage.com/upload/C00001/goods/org/858/230306004391858.jpg?RS=450&SP=1&QT=20,ARTISAN&ARTIST,아티산앤아티스트 GCAM-1100 카메라 가방,GCAM-1100,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,카메라,케이스,https://image.sivillage.com/upload/C00001/goods/org/819/230306004391819.jpg?RS=450&SP=1&QT=20,ARTISAN&ARTIST,아티산앤아티스트 ACAM-1000 카메라 가방,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,카메라,케이스,https://image.sivillage.com/upload/C00001/goods/org/222/210930001498222.jpg?RS=450&SP=1&QT=20,LEICA,라이카 C-LUX Case Red,C-LUX,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,디지털/가전,카메라,케이스,https://image.sivillage.com/upload/C00001/goods/org/931/230307004402931.jpg?RS=450&SP=1&QT=20,OBERWERTH,오버베르트 Charlie Cow hide Black 카메라백,Charlie,N/A,N/A,N/A,N/A,N/A,,,N/A
