top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/s3/goods/org/461/240208008871461.jpg?RS=450&SP=1,JAJU,360도 회전하는 4바퀴 접이식카트_블루,N/A,N/A,N/A,5,41,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/s3/goods/org/576/240206008816576.jpg?RS=450&SP=1,JAJU,사각 리필병_280ml,리필병_280ml,N/A,N/A,4.8,49,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/s3/goods/org/575/240206008816575.jpg?RS=450&SP=1,JAJU,뷰티 분무기_300ml,분무기_300ml,N/A,N/A,4.8,37,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/463/220623002690463.png?RS=450&SP=1,JAJU,사각 리필병_250ml,리필병_250ml,"3,100",31%,4.9,38,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/872/220926003190872.png?RS=450&SP=1&QT=20,PLUSMINUSZERO,플러스마이너스 제로 수트케이스 블랙 28인치,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/868/220926003190868.png?RS=450&SP=1&QT=20,PLUSMINUSZERO,플러스마이너스 제로 수트케이스 레드 24인치,N/A,N/A,N/A,5,2,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/131/210709001314131.jpg?RS=450&SP=1&QT=20,BASIL BANGS,바질뱅스 Basil Bangs Beach Tent - Sage,Basil,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/871/220926003190871.png?RS=450&SP=1&QT=20,PLUSMINUSZERO,플러스마이너스 제로 수트케이스 레드 28인치,N/A,N/A,N/A,5,1,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/030/220719002820030.jpg?RS=450&SP=1&QT=20,BASIL BANGS,바질뱅스 Basil Bangs Beach Tent - Nudie,Basil,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/867/220926003190867.png?RS=450&SP=1&QT=20,PLUSMINUSZERO,플러스마이너스 제로 수트케이스 라이트그레이 24인치,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/869/220926003190869.png?RS=450&SP=1&QT=20,PLUSMINUSZERO,플러스마이너스 제로 수트케이스 블랙 24인치,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/864/220926003190864.png?RS=450&SP=1&QT=20,PLUSMINUSZERO,플러스마이너스 제로 수트케이스 레드 19인치,N/A,N/A,N/A,5,1,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/870/220926003190870.png?RS=450&SP=1&QT=20,PLUSMINUSZERO,플러스마이너스 제로 수트케이스 라이트그레이 28인치,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/983/220719002819983.jpg?RS=450&SP=1&QT=20,BASIL BANGS,바질뱅스 Basil Bangs Beach Tent - Wildflowers,Basil,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/817/220526002560817.jpg?RS=450&SP=1&QT=20,GSI OUTDOORS,[공식] [GSI OUTDOORS]부가부 베이스 캠퍼-LARGE,[GSI,"153,600",20%,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/147/211015001544147.jpg?RS=450&SP=1&QT=20,OMY,OMY 컬러링 롤 XXL-파리(COLO02),XXL-파리(COLO02),N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/907/211014001541907.jpg?RS=450&SP=1&QT=20,OMY,OMY 펠트펜-울트라 워셔블-16pc(FEU201),N/A,N/A,N/A,5,1,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/144/211015001544144.jpg?RS=450&SP=1&QT=20,OMY,OMY 컬러링 롤 XXL-판타스틱(COLO01),XXL-판타스틱(COLO01),N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/840/211014001541840.jpg?RS=450&SP=1&QT=20,OMY,OMY 컬러링 포스터-미국(POS16),N/A,N/A,N/A,5,1,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/960/211014001541960.jpg?RS=450&SP=1&QT=20,OMY,OMY 프리제-히스토리(FRISE204),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/913/211014001541913.jpg?RS=450&SP=1&QT=20,OMY,OMY 펠트펜-네온-9pc(FEU03),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/183/211015001544183.jpg?RS=450&SP=1&QT=20,OMY,OMY 컬러링 포스터-바르셀로나(POS208),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/835/211014001541835.jpg?RS=450&SP=1&QT=20,OMY,OMY 컬러링 포스터-스위스(POS209),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/155/211015001544155.jpg?RS=450&SP=1&QT=20,OMY,OMY 컬러링 롤 XXL-런던(COLO06),XXL-런던(COLO06),N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/s3/goods/org/346/240228009544346.jpg?RS=450&SP=1&QT=20,COTONE,꼬또네 메세지 카드,N/A,N/A,N/A,5,1,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/897/211014001541897.jpg?RS=450&SP=1&QT=20,OMY,OMY 포켓 게임&컬러링-코스모스(POCK02),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/166/211015001544166.jpg?RS=450&SP=1&QT=20,OMY,OMY 컬러링 롤 XXL-영국(COLO16),XXL-영국(COLO16),N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/164/211015001544164.jpg?RS=450&SP=1&QT=20,OMY,OMY 컬러링 롤 XXL-샌프란시스코(COLO15),XXL-샌프란시스코(COLO15),N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/980/211014001541980.jpg?RS=450&SP=1&QT=20,OMY,OMY 컬러링 플레이스매트-아틀라스(SET14),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/782/220526002560782.jpg?RS=450&SP=1&QT=20,GSI OUTDOORS,[공식] [GSI OUTDOORS]글레이셔 SS 8 컵 퍼컬레이터,[GSI,"79,200",20%,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/779/220413002301779.jpg?RS=450&SP=1&QT=20,BASIL BANGS,바질뱅스 Basil Bangs Weekend Tote - Wildflowers,Basil,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/872/210709001312872.jpg?RS=450&SP=1&QT=20,BASIL BANGS,바질뱅스 Basil Bangs Weekend Tote - Daydream,Basil,N/A,N/A,5,2,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/710/220526002560710.jpg?RS=450&SP=1&QT=20,GSI OUTDOORS,[공식] [GSI OUTDOORS]고메 그리들,[GSI,"80,000",20%,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/878/211014001541878.jpg?RS=450&SP=1&QT=20,OMY,OMY 컬러링 포스터-오션(POS38),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/874/211014001541874.jpg?RS=450&SP=1&QT=20,OMY,OMY 컬러링 포스터-풋볼(POS34),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/151/211015001544151.jpg?RS=450&SP=1&QT=20,OMY,OMY 컬러링 롤 XXL-뉴욕(COLO04),XXL-뉴욕(COLO04),N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/785/220526002560785.jpg?RS=450&SP=1&QT=20,GSI OUTDOORS,[공식] [GSI OUTDOORS]글레이셔 SS 14 컵 퍼컬레이터,[GSI,"96,800",20%,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/806/220526002560806.jpg?RS=450&SP=1&QT=20,GSI OUTDOORS,[공식] [GSI OUTDOORS]피나클 솔로이스트 NEW,[GSI,"84,000",20%,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/670/220526002560670.jpg?RS=450&SP=1&QT=20,GSI OUTDOORS,[공식] [GSI OUTDOORS]산토쿠 나이프 세트,[GSI,"50,400",20%,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/847/211014001541847.jpg?RS=450&SP=1&QT=20,OMY,OMY 컬러링 포스터-베를린(POS36),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/865/211014001541865.jpg?RS=450&SP=1&QT=20,OMY,OMY 컬러링 포스터-정글(POS30),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/843/211014001541843.jpg?RS=450&SP=1&QT=20,OMY,OMY 컬러링 포스터-암스테르담(POS29),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/881/211014001541881.jpg?RS=450&SP=1&QT=20,OMY,OMY 컬러링 포스터-매직(POS206),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/180/211015001544180.jpg?RS=450&SP=1&QT=20,OMY,OMY 컬러링 포스터-런던(POS203),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/177/211015001544177.jpg?RS=450&SP=1&QT=20,OMY,OMY 컬러링 포스터-뉴욕(POS202),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/174/211015001544174.jpg?RS=450&SP=1&QT=20,OMY,OMY 컬러링 포스터-파리(POS201),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/891/211014001541891.jpg?RS=450&SP=1&QT=20,OMY,OMY 포켓 게임&컬러링-매직(POCK01),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/957/211014001541957.jpg?RS=450&SP=1&QT=20,OMY,OMY 프리제-4 시즌(FRISE203),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/910/211014001541910.jpg?RS=450&SP=1&QT=20,OMY,OMY 펠트펜-매직-16pc(FEU202),N/A,N/A,N/A,5,1,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/948/211014001541948.jpg?RS=450&SP=1&QT=20,OMY,OMY 포스터&스티커-스트리트 아트(POSTIK05),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/917/211014001541917.jpg?RS=450&SP=1&QT=20,OMY,OMY 팝 펜슬-16pc(CRA01),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/930/211014001541930.jpg?RS=450&SP=1&QT=20,OMY,OMY 포켓 컬러링-유니콘(COLOK03),컬러링-유니콘(COLOK03),N/A,N/A,3,1,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/938/211014001541938.jpg?RS=450&SP=1&QT=20,OMY,OMY 포스터&스티커-아틀라스(POSTIK02),N/A,N/A,N/A,5,1,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/169/211015001544169.jpg?RS=450&SP=1&QT=20,OMY,OMY 컬러링 롤 XXL-스트리트 아트(COLO29),XXL-스트리트,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/161/211015001544161.jpg?RS=450&SP=1&QT=20,OMY,OMY 컬러링 롤 XXL-베를린(COLO12),XXL-베를린(COLO12),N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/856/211014001541856.jpg?RS=450&SP=1&QT=20,OMY,OMY 컬러링 포스터-크레이지 뮤지엄(POS53),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/149/211015001544149.jpg?RS=450&SP=1,OMY,OMY 컬러링 롤 XXL-아틀라스(COLO03),XXL-아틀라스(COLO03),N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/850/211014001541850.jpg?RS=450&SP=1,OMY,OMY 컬러링 포스터-아틀라스(POS40),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/830/220526002560830.jpg?RS=450&SP=1,GSI OUTDOORS,[공식] [GSI OUTDOORS]티 캐틀-BLUE,[GSI,"39,200",20%,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/756/220526002560756.jpg?RS=450&SP=1,GSI OUTDOORS,[공식] [GSI OUTDOORS]마이크로라이트 500 트위스트 - 마운틴 뷰,[GSI,"36,000",20%,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/788/220526002560788.jpg?RS=450&SP=1,GSI OUTDOORS,[공식] [GSI OUTDOORS]글레이셔 스테인리스 핸들 볼,[GSI,"18,400",20%,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/702/220526002560702.jpg?RS=450&SP=1,GSI OUTDOORS,[공식] [GSI OUTDOORS]글레이셔 스테인리스 1.1 L 보일러,[GSI,"36,800",20%,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/656/220526002560656.jpg?RS=450&SP=1,GSI OUTDOORS,[공식] [GSI OUTDOORS]글레이셔 스테인리스 네스팅 와인 글라스,[GSI,"19,200",20%,5,1,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/745/220526002560745.jpg?RS=450&SP=1,GSI OUTDOORS,[공식] [GSI OUTDOORS]마이크로라이트 500 트위스트 - 블루 ＋ 스카이블루,[GSI,"38,400",20%,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/791/220526002560791.jpg?RS=450&SP=1&QT=20,GSI OUTDOORS,[공식] [GSI OUTDOORS]20L 워터 큐브,[GSI,"16,000",20%,N/A,N/A,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/765/220526002560765.jpg?RS=450&SP=1&QT=20,GSI OUTDOORS,[공식] [GSI OUTDOORS]마이크로라이트 720 트위스트 - 블랙,[GSI,"40,000",20%,5,1,N/A,,,N/A
라이프,리빙,여행소품/문구,공책/수첩/카드,https://image.sivillage.com/upload/C00001/goods/org/827/220526002560827.jpg?RS=450&SP=1&QT=20,GSI OUTDOORS,[공식] [GSI OUTDOORS]파이오니어 파인트-GREEN,[GSI,"13,600",20%,N/A,N/A,N/A,,,N/A
