top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/s3/goods/org/810/240206008816810.jpg?RS=450&SP=1,JAJU,자주 보는 벽시계_30CM,N/A,N/A,N/A,4.6,12,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/s3/goods/org/653/240206008816653.jpg?RS=450&SP=1,JAJU,자주 보는 자작나무 아크릴 폰트 벽시계_30cm,N/A,N/A,N/A,4.5,27,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/s3/goods/org/662/240206008816662.jpg?RS=450&SP=1,JAJU,온습도를 알려주는 대형 LCD 탁상시계,LCD,N/A,N/A,5,8,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/s3/goods/org/383/240206008815383.jpg?RS=450&SP=1,JAJU,레트로 스퀘어 탁상시계,N/A,N/A,N/A,5,3,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/s3/goods/org/812/240206008816812.jpg?RS=450&SP=1&QT=20,JAJU,자주 보는 트윈벨 탁상시계,N/A,N/A,N/A,5,14,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/s3/goods/org/780/240206008816780.jpg?RS=450&SP=1&QT=20,JAJU,화이트 골드폰트 알람 탁상시계,N/A,N/A,N/A,5,17,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/s3/goods/org/779/240206008816779.jpg?RS=450&SP=1&QT=20,JAJU,화이트 골드폰트 벽시계_30CM,N/A,N/A,N/A,4.7,9,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/s3/goods/org/062/240206008815062.jpg?RS=450&SP=1&QT=20,JAJU,온습도를 알려 주는 LCD 탁상시계_소,LCD,N/A,N/A,4.9,19,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/s3/goods/org/662/240207008848662.jpg?RS=450&SP=1&QT=20,JAJU,자주 보는 자작나무 아크릴 폰트 시계_25cm,N/A,N/A,N/A,5,14,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/s3/goods/org/433/240208008871433.jpg?RS=450&SP=1&QT=20,JAJU,밝기를 조절하는 스마트 LED시계_소,LED시계_소,"20,900",30%,4.8,6,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/s3/goods/org/661/240206008816661.jpg?RS=450&SP=1&QT=20,JAJU,날씨와 온습도를 알려주는 LED시계,LED시계,"29,900",50%,4.9,20,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/goods/org/167/230621005489167.jpg?RS=450&SP=1&QT=20,WERKWAARDIG,라운드 클락 베이비핑크 44x44x4 (예약주문),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/goods/org/902/230119003901902.jpg?RS=450&SP=1&QT=20,HAOSHI,참새 라운드 벽시계 - 옐로우,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/goods/org/171/230621005489171.jpg?RS=450&SP=1&QT=20,WERKWAARDIG,라운드 클락 딥그린 44x44x4 (예약주문),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/goods/org/947/230117003867947.jpg?RS=450&SP=1&QT=20,HAOSHI,철새 벽시계 - V형,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/goods/org/698/230117003867698.jpg?RS=450&SP=1&QT=20,HAOSHI,골드피쉬 벽시계 - 블랙골드 에디션,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/goods/org/010/230530005319010.jpg?RS=450&SP=1&QT=20,LEFF AMSTERDAM,클락브릭36x15.7x12.8_블랙/블랙,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/goods/org/988/230530005318988.jpg?RS=450&SP=1&QT=20,LEFF AMSTERDAM,HUYGENS 월클락인덱스돔45_화이트,HUYGENS,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/goods/org/065/230119003903065.jpg?RS=450&SP=1&QT=20,HAOSHI,쿠쿠 벽시계 - 홈 (핑크),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/goods/org/168/230621005489168.jpg?RS=450&SP=1&QT=20,WERKWAARDIG,라운드 클락 딥레드 44x44x4 (예약주문),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/goods/org/893/230119003902893.jpg?RS=450&SP=1&QT=20,HAOSHI,쿠쿠 벽시계 - 홈 (다크 그레이),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/goods/org/203/211007001517203.jpg?RS=450&SP=1&QT=20,HAOSHI,골드피쉬 벽시계,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/goods/org/216/230119003902216.jpg?RS=450&SP=1&QT=20,HAOSHI,쿠쿠 벽시계 - 홈 (라이트 그레이),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/goods/org/174/230621005489174.jpg?RS=450&SP=1&QT=20,WERKWAARDIG,라운드 클락 라이트그레이 44x44x4 (예약주문),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/goods/org/208/230117003868208.jpg?RS=450&SP=1&QT=20,HAOSHI,쿠쿠 벽시계 - 트리,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/goods/org/109/230119003903109.jpg?RS=450&SP=1&QT=20,HAOSHI,쿠쿠 벽시계 - 홈 (옐로우),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/goods/org/163/220107001918163.jpg?RS=450&SP=1&QT=20,HAOSHI,페이퍼 벽시계,N/A,N/A,N/A,1,1,N/A,,,N/A
라이프,리빙,홈데코,시계,https://image.sivillage.com/upload/C00001/goods/org/240/211007001517240.jpg?RS=450&SP=1&QT=20,HAOSHI,철새 벽시계 - O형,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
