top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
라이프,키친/다이닝,컵/잔/물병,https://image.sivillage.com/upload/C00001/s3/goods/org/888/240507015916888.jpg?RS=450&SP=1,JAJU,내열 스태킹 유리잔_340ml,유리잔_340ml,N/A,N/A,5,3,N/A,,,N/A
라이프,키친/다이닝,컵/잔/물병,https://image.sivillage.com/upload/C00001/s3/goods/org/621/240206008815621.jpg?RS=450&SP=1,JAJU,인라인 손잡이 내열 유리잔_480ML,유리잔_480ML,N/A,N/A,5,12,N/A,,,N/A
라이프,키친/다이닝,컵/잔/물병,https://image.sivillage.com/upload/C00001/s3/goods/org/871/240507015916871.jpg?RS=450&SP=1,JAJU,내열 손잡이 유리잔_300ml,유리잔_300ml,N/A,N/A,5,3,N/A,,,N/A
라이프,키친/다이닝,컵/잔/물병,https://image.sivillage.com/upload/C00001/s3/goods/org/711/240530018925711.jpg?RS=450&SP=1,JAJU,카페 하이볼_420ml,하이볼_420ml,N/A,N/A,4.9,50,N/A,,,N/A
라이프,키친/다이닝,컵/잔/물병,https://image.sivillage.com/upload/C00001/s3/goods/org/859/240507015916859.jpg?RS=450&SP=1&QT=20,JAJU,내열 유리잔_350ml,유리잔_350ml,N/A,N/A,5,4,N/A,,,N/A
라이프,키친/다이닝,컵/잔/물병,https://image.sivillage.com/upload/C00001/s3/goods/org/445/240206008816445.jpg?RS=450&SP=1&QT=20,JAJU,클리어 내열 유리 물병_1.3L,물병_1.3L,N/A,N/A,4.8,86,N/A,,,N/A
라이프,키친/다이닝,컵/잔/물병,https://image.sivillage.com/upload/C00001/s3/goods/org/700/240215009001700.jpg?RS=450&SP=1&QT=20,JAJU,에코젠 물병_350ML_블루,물병_350ML_블루,N/A,N/A,5,4,N/A,,,N/A
라이프,키친/다이닝,컵/잔/물병,https://image.sivillage.com/upload/C00001/s3/goods/org/875/240507015916875.jpg?RS=450&SP=1&QT=20,JAJU,내열 손잡이 유리잔_480ml,유리잔_480ml,N/A,N/A,5,3,N/A,,,N/A
라이프,키친/다이닝,컵/잔/물병,https://image.sivillage.com/upload/C00001/s3/goods/org/695/240215009001695.jpg?RS=450&SP=1&QT=20,JAJU,에코젠 물병_250ML_투명,물병_250ML_투명,N/A,N/A,5,3,N/A,,,N/A
라이프,키친/다이닝,컵/잔/물병,https://image.sivillage.com/upload/C00001/s3/goods/org/441/240206008816441.jpg?RS=450&SP=1&QT=20,JAJU,자주 쓰는 스텐 물병_1.75L,물병_1.75L,N/A,N/A,4.8,41,N/A,,,N/A
라이프,키친/다이닝,컵/잔/물병,https://image.sivillage.com/upload/C00001/s3/goods/org/145/240206008815145.jpg?RS=450&SP=1&QT=20,JAJU,우드핸들 내열유리 티포트_400ml,티포트_400ml,N/A,N/A,5,15,N/A,,,N/A
라이프,키친/다이닝,컵/잔/물병,https://image.sivillage.com/upload/C00001/s3/goods/org/446/240206008816446.jpg?RS=450&SP=1&QT=20,JAJU,클리어 내열 유리 물병_1L,물병_1L,N/A,N/A,4.8,70,N/A,,,N/A
라이프,키친/다이닝,컵/잔/물병,https://image.sivillage.com/upload/C00001/s3/goods/org/867/240507015916867.jpg?RS=450&SP=1&QT=20,JAJU,내열 유리잔_450ml,유리잔_450ml,N/A,N/A,5,4,N/A,,,N/A
라이프,키친/다이닝,컵/잔/물병,https://image.sivillage.com/upload/C00001/s3/goods/org/281/240716024659281.jpg?RS=450&SP=1&QT=20,JAJU,도자기 잔_블루,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
라이프,키친/다이닝,컵/잔/물병,https://image.sivillage.com/upload/C00001/s3/goods/org/707/240530018925707.jpg?RS=450&SP=1&QT=20,JAJU,카페 텀블러_266ml,텀블러_266ml,N/A,N/A,4.8,53,N/A,,,N/A
라이프,키친/다이닝,컵/잔/물병,https://image.sivillage.com/upload/C00001/s3/goods/org/442/240206008816442.jpg?RS=450&SP=1&QT=20,JAJU,자주 쓰는 스텐 물병_1.15L,물병_1.15L,N/A,N/A,4.9,20,N/A,,,N/A
라이프,키친/다이닝,컵/잔/물병,https://image.sivillage.com/upload/C00001/s3/goods/org/893/240507015916893.jpg?RS=450&SP=1&QT=20,JAJU,내열 스태킹 유리잔_470ml,유리잔_470ml,N/A,N/A,5,4,N/A,,,N/A
라이프,키친/다이닝,컵/잔/물병,https://image.sivillage.com/upload/C00001/s3/goods/org/104/240206008817104.jpg?RS=450&SP=1&QT=20,JAJU,자주 쓰는 스텐 티망 트라이탄 물병_1.15L,물병_1.15L,N/A,N/A,4.9,17,N/A,,,N/A
라이프,키친/다이닝,컵/잔/물병,https://image.sivillage.com/upload/C00001/s3/goods/org/105/240206008817105.jpg?RS=450&SP=1&QT=20,JAJU,자주 쓰는 스텐 티망 트라이탄 물병_1.75L,물병_1.75L,N/A,N/A,5,13,N/A,,,N/A
라이프,키친/다이닝,컵/잔/물병,https://image.sivillage.com/upload/C00001/s3/goods/org/444/240206008816444.jpg?RS=450&SP=1&QT=20,JAJU,자주 쓰는 트라이탄 물병_1.15L,물병_1.15L,N/A,N/A,4.9,126,N/A,,,N/A
