top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
백,남성 가방,메신저백/크로스백/슬링백,https://image.sivillage.com/upload/C00001/s3/goods/org/089/240826029298089.jpg?RS=450&SP=1,EMPORIO ARMANI,남성 웨이브 파이핑 레더 크로스바디백,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
백,남성 가방,메신저백/크로스백/슬링백,https://image.sivillage.com/upload/C00001/s3/goods/org/061/240826029298061.jpg?RS=450&SP=1,EMPORIO ARMANI,남성 프론트 포켓 울 클로스 숄더백,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
백,남성 가방,메신저백/크로스백/슬링백,https://image.sivillage.com/upload/C00001/s3/goods/org/811/240802025965811.jpg?RS=450&SP=1,PHILIPP PLEIN,엠보 헥사곤 레더 숄더백,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
백,남성 가방,메신저백/크로스백/슬링백,https://image.sivillage.com/upload/C00001/s3/goods/org/437/240821028548437.jpg?RS=450&SP=1,PAUL SMITH,스트라이프 패치 나일론 크로스바디백,N/A,"540,000",10%,N/A,N/A,신상,,,N/A
백,남성 가방,메신저백/크로스백/슬링백,https://image.sivillage.com/upload/C00001/s3/goods/org/162/240812027288162.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 올오버 로고 레터링 나일론 크로스백,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
백,남성 가방,메신저백/크로스백/슬링백,https://image.sivillage.com/upload/C00001/s3/goods/org/315/240809026900315.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 로고 패치 나일론 크로스백,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
백,남성 가방,메신저백/크로스백/슬링백,https://image.sivillage.com/upload/C00001/s3/goods/org/305/240809026900305.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 로고 플랩 사피아노 레더 슬링백,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
백,남성 가방,메신저백/크로스백/슬링백,https://image.sivillage.com/upload/C00001/s3/goods/org/617/240820028335617.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 디보싱 로고 패치 숄더백,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
백,남성 가방,메신저백/크로스백/슬링백,https://image.sivillage.com/upload/C00001/s3/goods/org/141/240812027288141.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 올오버 로고 레터링 나일론 메신저백,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
백,남성 가방,메신저백/크로스백/슬링백,https://image.sivillage.com/upload/C00001/s3/goods/org/435/240820028384435.jpg?RS=450&SP=1&QT=20,GUCCI,24FW 구찌 크로스백 4939309C2VT Beige,Beige,"1,476,450",23%,N/A,N/A,N/A,,,N/A
백,남성 가방,메신저백/크로스백/슬링백,https://image.sivillage.com/upload/C00001/s3/goods/org/433/240530018922433.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,남성 레더 패치 캔버스 스몰 숄더백,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
백,남성 가방,메신저백/크로스백/슬링백,https://image.sivillage.com/upload/C00001/s3/goods/org/262/240710024359262.jpg?RS=450&SP=1&QT=20,PAUL SMITH,벌룬 프린트 캔버스 메신저백,N/A,"720,000",10%,N/A,N/A,N/A,,,N/A
백,남성 가방,메신저백/크로스백/슬링백,https://image.sivillage.com/upload/C00001/s3/goods/org/867/240723025156867.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,남성 레더 패치 미니 크로스바디백,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
