top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
백,여성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/goods/org/361/230823006039361.jpg?RS=450&SP=1,RAWROW,R TRUNK 520 ALUMINIUM 28인치 SILVER (108L),ALUMINIUM,"760,950",14%,5,18,N/A,,,세일
백,여성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/goods/org/208/230814005976208.jpg?RS=450&SP=1,FLOYD,[Floyd 공식수입원 빠른배송] Floyd Trunk Travel Case (Bronco Brown),[Floyd,"1,152,000",10%,N/A,N/A,N/A,,,N/A
백,여성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/goods/org/776/231102006896776.jpg?RS=450&SP=1,FLOYD,[Floyd 공식수입원 빠른배송] Floyd Cabin Travel Case (Gold),[Floyd,"792,000",10%,N/A,N/A,N/A,,,N/A
백,여성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/s3/goods/org/948/240719024935948.jpg?RS=450&SP=1,JAJU,남녀공용 짐백,N/A,N/A,N/A,4.3,4,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_04_%EC%98%AC%EB%A6%AC%EB%B8%8C.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","올리브,블랙",N/A
백,여성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/goods/org/336/230823006039336.jpg?RS=450&SP=1&QT=20,RAWROW,R TRUNK 500 ALUMINIUM 20인치 SILVER (50L),ALUMINIUM,"504,450",14%,5,8,N/A,,,세일
백,여성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/s3/goods/org/804/240829029789804.jpg?RS=450&SP=1&QT=20,PARAJUMPERS,파라점퍼스 유니섹스 더플백 오르몬드-Black (24WMPABABA03PJ0541),오르몬드-Black,"360,050",5%,N/A,N/A,신규입고,,,N/A
백,여성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/s3/goods/org/183/240828029558183.jpg?RS=450&SP=1&QT=20,BRICS,[브릭스] 엑스트래블 롤링 슈 더플 블랙 (BR-BXL42522.101),(BR-BXL42522.101),"538,200",10%,N/A,N/A,신규입고,,,N/A
백,여성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/s3/goods/org/124/240828029559124.jpg?RS=450&SP=1&QT=20,BRICS,[브릭스] 피렌체 홀드올 스몰 크림(BR-BBJ20203.014),N/A,"718,200",10%,N/A,N/A,신규입고,,,N/A
백,여성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/s3/goods/org/244/240828029559244.jpg?RS=450&SP=1&QT=20,BRICS,[브릭스] 카프리2 트롤리 55 CM (22) 블랙 (BR-BRK28027.101),N/A,"529,200",10%,N/A,N/A,신규입고,,,N/A
백,여성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/s3/goods/org/121/240828029558121.jpg?RS=450&SP=1&QT=20,BRICS,[브릭스] 엑스트래블 롤링 슈 더플 올리브 (BR-BXL42522.078),(BR-BXL42522.078),"538,200",10%,N/A,N/A,신규입고,,,N/A
백,여성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/s3/goods/org/019/240828029558019.jpg?RS=450&SP=1&QT=20,BRICS,[브릭스] 피렌체 홀드올 스몰 블랙 (BR-BBJ20203.001),N/A,"718,200",10%,N/A,N/A,신규입고,,,N/A
백,여성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/s3/goods/org/108/240521017766108.jpg?RS=450&SP=1&QT=20,RAWROW,R TRUNK 816 LITE ep.2 20+27인치 MUSTARD (37+72L),LITE,"389,000",11%,4.9,157,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/06_03_%EB%8B%A4%ED%81%AC_%EC%98%90%EB%A1%9C%EC%9A%B0.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/04_02_%EC%95%84%EC%9D%B4%EB%B3%B4%EB%A6%AC.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/09_01_%EA%B7%B8%EB%A6%B0.png","다크 옐로우,아이보리,블랙,그린",세일
백,여성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/s3/goods/org/705/240814027665705.jpg?RS=450&SP=1&QT=20,BRICS,[브릭스] 엑스트래블 트롤리 77CM (30) 브라운 (BR-BXL58145.086),(BR-BXL58145.086),"448,200",10%,N/A,N/A,N/A,,,N/A
백,여성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/s3/goods/org/518/240814027665518.jpg?RS=450&SP=1&QT=20,BRICS,[브릭스] 엑스트래블 트롤리 55CM (22) 브라운 (BR-BXL58117.086),(BR-BXL58117.086),"358,200",10%,N/A,N/A,N/A,,,N/A
백,여성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/s3/goods/org/527/240814027665527.jpg?RS=450&SP=1&QT=20,BRICS,[브릭스] 엑스트래블 트롤리 55CM (22) 바이올렛 (BR-BXL58117.195),(BR-BXL58117.195),"358,200",10%,N/A,N/A,N/A,,,N/A
백,여성 가방,캐리어/트래블백,https://image.sivillage.com/upload/C00001/s3/goods/org/974/240814027664974.jpg?RS=450&SP=1&QT=20,BRICS,[브릭스] 엑스트래블 포켓백 바이올렛 (BR-BXL42192.195),(BR-BXL42192.195),"214,200",10%,N/A,N/A,N/A,,,N/A
