top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
백,여성 가방,캔버스/에코백,https://image.sivillage.com/upload/C00001/goods/org/110/230704005610110.jpg?RS=450&SP=1,AMPERE,[암페어] Grocery bag - Beige,Grocery,"246,520",5%,N/A,N/A,N/A,,,N/A
백,여성 가방,캔버스/에코백,https://image.sivillage.com/upload/C00001/goods/org/864/230731005845864.jpg?RS=450&SP=1,FOLNUA,CLASSIC LOGO POCHE BAG - CANVAS [2COLOR],CLASSIC,"224,100",10%,N/A,N/A,N/A,,,N/A
백,여성 가방,캔버스/에코백,https://image.sivillage.com/upload/C00001/goods/org/735/230731005846735.jpg?RS=450&SP=1,FOLNUA,BASKETBAG BLACK - CANVAS,BASKETBAG,"215,100",10%,N/A,N/A,N/A,,,N/A
백,여성 가방,캔버스/에코백,https://image.sivillage.com/upload/C00001/goods/org/693/230731005846693.jpg?RS=450&SP=1,FOLNUA,CLASSIC LOGO POCHE BACKPACK - CANVAS [2COLOR],CLASSIC,"260,100",10%,N/A,N/A,N/A,,,N/A
백,여성 가방,캔버스/에코백,https://image.sivillage.com/upload/C00001/s3/goods/org/409/240816027917409.jpg?RS=450&SP=1&QT=20,GANNI,가니 리사이클 테크 미니 사첼 크로스백 A6020 890,N/A,"211,500",24%,N/A,N/A,N/A,,,N/A
백,여성 가방,캔버스/에코백,https://image.sivillage.com/upload/C00001/s3/goods/org/201/240814027671201.jpg?RS=450&SP=1&QT=20,GUCCI,(당일출고) 구찌백 쇼퍼 캔버스 라지 449169 KY9KN 9886 브라운,N/A,"1,343,000",18%,N/A,N/A,N/A,,,N/A
백,여성 가방,캔버스/에코백,https://image.sivillage.com/upload/C00001/goods/org/053/231121007119053.jpg?RS=450&SP=1&QT=20,PRADA,프라다 갤러리아 사피아노 레더 마이크로 백 1BA906 V EOM NZV F0002,N/A,"3,555,000",19%,N/A,N/A,N/A,,,N/A
백,여성 가방,캔버스/에코백,https://image.sivillage.com/upload/C00001/goods/org/900/230310004437900.jpg?RS=450&SP=1&QT=20,SAINT LAURENT,[SAINT LAURENT]생로랑 600307 CSV0J 1000 토이 쇼퍼 토트백,LAURENT]생로랑,"1,351,500",19%,N/A,N/A,N/A,,,N/A
백,여성 가방,캔버스/에코백,https://image.sivillage.com/upload/C00001/s3/goods/org/594/240130008557594.jpg?RS=450&SP=1&QT=20,GOYARD,(당일출고) 고야드백 쇼퍼 하디2 PM 택1(이너백포함),N/A,"4,258,500",25%,N/A,N/A,N/A,,,N/A
백,여성 가방,캔버스/에코백,https://image.sivillage.com/upload/C00001/s3/goods/org/023/240130008559023.jpg?RS=450&SP=1&QT=20,GOYARD,(당일출고) 고야드백 쇼퍼 생루이 PM 블랙텐(이너백포함),N/A,"2,800,750",25%,N/A,N/A,N/A,,,N/A
백,여성 가방,캔버스/에코백,https://image.sivillage.com/upload/C00001/goods/org/198/230614005424198.jpg?RS=450&SP=1&QT=20,GOYARD,(당일출고) 고야드백 쇼퍼 하디2 PM 네이비 (이너백포함),N/A,"4,258,500",25%,N/A,N/A,N/A,,,N/A
백,여성 가방,캔버스/에코백,https://image.sivillage.com/upload/C00001/s3/goods/org/022/240130008560022.jpg?RS=450&SP=1&QT=20,GOYARD,(당일출고) 고야드백 쇼퍼 생루이 PM 블랙(이너백포함),N/A,"2,800,750",25%,5,1,N/A,,,N/A
백,여성 가방,캔버스/에코백,https://image.sivillage.com/upload/C00001/s3/goods/org/612/240130008558612.jpg?RS=450&SP=1&QT=20,GOYARD,(당일출고) 고야드백 쇼퍼 생루이 GM 네이비(이너백포함),GM,"3,103,350",25%,N/A,N/A,N/A,,,N/A
