top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,라이프케어,덴탈케어,치약,https://image.sivillage.com/upload/C00001/s3/goods/org/232/240813027528232.jpg?RS=450&SP=1,DENTISTE,[덴티스테] [덴티스테]마일드 나이트타임 치약 튜브 60g,60g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,라이프케어,덴탈케어,치약,https://image.sivillage.com/upload/C00001/s3/goods/org/539/240812027300539.jpg?RS=450&SP=1,DENTISTE,[덴티스테] 마일드 나이트타임 치약 튜브 100g,100g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,라이프케어,덴탈케어,치약,https://image.sivillage.com/upload/C00001/s3/goods/org/361/240901030134361.jpg?RS=450&SP=1,DENTISTE,[덴티스테] [덴티스테] 뉴 마일드 튜브 160g,160g,"8,700",50%,N/A,N/A,N/A,,,N/A
뷰티,라이프케어,덴탈케어,치약,https://image.sivillage.com/upload/C00001/s3/goods/org/611/240812027301611.jpg?RS=450&SP=1,DENTISTE,[덴티스테] [덴티스테]플러스화이트 치약 튜브 160g,160g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,라이프케어,덴탈케어,치약,https://image.sivillage.com/upload/C00001/s3/goods/org/873/240821028566873.jpg?RS=450&SP=1&QT=20,DENTISTE,[덴티스테] [덴티스테]플러스화이트 치약 펌프 120g,120g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,라이프케어,덴탈케어,치약,https://image.sivillage.com/upload/C00001/s3/goods/org/071/240901030132071.jpg?RS=450&SP=1&QT=20,DENTISTE,[덴티스테] [덴티스테]오랄린스 450ml,450ml,N/A,N/A,5,1,N/A,,,N/A
뷰티,라이프케어,덴탈케어,치약,https://image.sivillage.com/upload/C00001/s3/goods/org/327/240808026732327.jpg?RS=450&SP=1&QT=20,DONGGUBAT,[동구밭] 고체치약 45정 (31.5g),(31.5g),N/A,N/A,5,2,N/A,,,N/A
뷰티,라이프케어,덴탈케어,치약,https://image.sivillage.com/upload/C00001/s3/goods/org/692/240812027300692.jpg?RS=450&SP=1&QT=20,DENTISTE,[덴티스테] [덴티스테]플러스화이트 치약 펌프 60g,60g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,라이프케어,덴탈케어,치약,https://image.sivillage.com/upload/C00001/s3/goods/org/163/240801025862163.jpg?RS=450&SP=1,DENTISTE,[덴티스테] [덴티스테]센서티브케어 튜브 100g,100g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,라이프케어,덴탈케어,치약,https://image.sivillage.com/upload/C00001/s3/goods/org/610/240817028059610.jpg?RS=450&SP=1,DENTISTE,[덴티스테] [덴티스테]트래블팩(칫솔&치약),N/A,N/A,N/A,5,4,N/A,,,N/A
뷰티,라이프케어,덴탈케어,치약,https://image.sivillage.com/upload/C00001/s3/goods/org/105/240815027817105.jpg?RS=450&SP=1,DENTISTE,[덴티스테] [덴티스테]마일드 나이트타임 치약 튜브 160g,160g,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,라이프케어,덴탈케어,치약,https://image.sivillage.com/upload/C00001/s3/goods/org/933/240901030131933.jpg?RS=450&SP=1,DENTISTE,[덴티스테] [덴티스테]오랄린스 100ml,100ml,"3,640",30%,5,6,N/A,,,N/A
