top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,메이크업,네일케어,네일 폴리쉬,https://image.sivillage.com/upload/C00001/goods/org/659/230907006246659.jpg?RS=450&SP=1,HERMÈS,레 맹 에르메스 네일 파일,N/A,N/A,N/A,4.8,5,N/A,,,N/A
뷰티,메이크업,네일케어,네일 폴리쉬,https://image.sivillage.com/upload/C00001/goods/org/394/230907006189394.jpg?RS=450&SP=1,HERMÈS,레 맹 에르메스 탑 코트,N/A,N/A,N/A,5,9,N/A,,,N/A
뷰티,메이크업,네일케어,네일 폴리쉬,https://image.sivillage.com/upload/C00001/s3/goods/org/156/240306009838156.jpg?RS=450&SP=1,HERMÈS,레 맹 에르메스 네일 에나멜 36 오렌지 토니크 (리미티드 에디션),N/A,N/A,N/A,5,3,N/A,,,N/A
뷰티,메이크업,네일케어,네일 폴리쉬,https://image.sivillage.com/upload/C00001/s3/goods/org/125/240306009838125.jpg?RS=450&SP=1,HERMÈS,레 맹 에르메스 네일 에나멜 48 울트라바이올렛 (리미티드 에디션),N/A,N/A,N/A,5,1,N/A,,,N/A
뷰티,메이크업,네일케어,네일 폴리쉬,https://image.sivillage.com/upload/C00001/s3/goods/org/118/240306009838118.jpg?RS=450&SP=1&QT=20,HERMÈS,레 맹 에르메스 네일 에나멜 62 블루 일렉트리크 (리미티드 에디션),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,메이크업,네일케어,네일 폴리쉬,https://image.sivillage.com/upload/C00001/goods/org/118/230907006249118.jpg?RS=450&SP=1&QT=20,HERMÈS,레 맹 에르메스 네일 에나멜 89 바이올렛 비잔틴,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,메이크업,네일케어,네일 폴리쉬,https://image.sivillage.com/upload/C00001/goods/org/703/230907006320703.jpg?RS=450&SP=1&QT=20,HERMÈS,레 맹 에르메스 네일 에나멜 91 베르 에코세,N/A,N/A,N/A,5,2,N/A,,,N/A
뷰티,메이크업,네일케어,네일 폴리쉬,https://image.sivillage.com/upload/C00001/goods/org/571/211026001584571.jpg?RS=450&SP=1&QT=20,HERMÈS,레 맹 에르메스 네일 에나멜 71 오렌지 브륄레,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,메이크업,네일케어,네일 폴리쉬,https://image.sivillage.com/upload/C00001/goods/org/972/230907006237972.jpg?RS=450&SP=1&QT=20,HERMÈS,레 맹 에르메스 네일 에나멜 66 루즈 피망,N/A,N/A,N/A,4.7,4,N/A,,,N/A
뷰티,메이크업,네일케어,네일 폴리쉬,https://image.sivillage.com/upload/C00001/goods/org/500/230907006252500.jpg?RS=450&SP=1&QT=20,HERMÈS,레 맹 에르메스 네일 에나멜 49 로즈 타미제,N/A,N/A,N/A,5,7,N/A,,,N/A
뷰티,메이크업,네일케어,네일 폴리쉬,https://image.sivillage.com/upload/C00001/goods/org/527/211027001585527.jpg?RS=450&SP=1&QT=20,HERMÈS,레 맹 에르메스 네일 에나멜 79 존 임페리얼,N/A,N/A,N/A,5,5,N/A,,,N/A
뷰티,메이크업,네일케어,네일 폴리쉬,https://image.sivillage.com/upload/C00001/goods/org/503/230907006182503.jpg?RS=450&SP=1&QT=20,HERMÈS,레 맹 에르메스 에나멜 베이스 코트,N/A,N/A,N/A,5,6,N/A,,,N/A
뷰티,메이크업,네일케어,네일 폴리쉬,https://image.sivillage.com/upload/C00001/goods/org/131/211026001584131.jpg?RS=450&SP=1&QT=20,HERMÈS,레 맹 에르메스 네일 에나멜 30 로즈 오리종,N/A,N/A,N/A,5,4,N/A,,,N/A
뷰티,메이크업,네일케어,네일 폴리쉬,https://image.sivillage.com/upload/C00001/goods/org/157/211026001584157.jpg?RS=450&SP=1&QT=20,HERMÈS,레 맹 에르메스 네일 에나멜 33 오랑쥬 브와뜨,N/A,N/A,N/A,3.6,3,N/A,,,N/A
뷰티,메이크업,네일케어,네일 폴리쉬,https://image.sivillage.com/upload/C00001/goods/org/517/211027001585517.jpg?RS=450&SP=1&QT=20,HERMÈS,레 맹 에르메스 네일 에나멜 77 루즈 그르나드,N/A,N/A,N/A,5,3,N/A,,,N/A
뷰티,메이크업,네일케어,네일 폴리쉬,https://image.sivillage.com/upload/C00001/goods/org/832/230907006263832.jpg?RS=450&SP=1&QT=20,HERMÈS,레 맹 에르메스 네일 에나멜 75 루즈 아마존,N/A,N/A,N/A,4,3,N/A,,,N/A
뷰티,메이크업,네일케어,네일 폴리쉬,https://image.sivillage.com/upload/C00001/goods/org/750/211027001585750.jpg?RS=450&SP=1&QT=20,HERMÈS,레 맹 에르메스 네일 에나멜 96 블루 앙크르,N/A,N/A,N/A,5,11,N/A,,,N/A
뷰티,메이크업,네일케어,네일 폴리쉬,https://image.sivillage.com/upload/C00001/goods/org/540/211027001585540.jpg?RS=450&SP=1&QT=20,HERMÈS,레 맹 에르메스 네일 에나멜 80 그리 에투프,N/A,N/A,N/A,4.9,23,N/A,,,N/A
뷰티,메이크업,네일케어,네일 폴리쉬,https://image.sivillage.com/upload/C00001/goods/org/180/211026001584180.jpg?RS=450&SP=1&QT=20,HERMÈS,레 맹 에르메스 네일 에나멜 39 오랑쥬 포피,N/A,N/A,N/A,5,1,N/A,,,N/A
뷰티,메이크업,네일케어,네일 폴리쉬,https://image.sivillage.com/upload/C00001/goods/org/265/211026001584265.jpg?RS=450&SP=1&QT=20,HERMÈS,레 맹 에르메스 네일 에나멜 46 루즈 엑조틱,N/A,N/A,N/A,5,1,N/A,,,N/A
뷰티,메이크업,네일케어,네일 폴리쉬,https://image.sivillage.com/upload/C00001/goods/org/581/211026001584581.jpg?RS=450&SP=1,HERMÈS,레 맹 에르메스 네일 에나멜 74 로즈 마젠타,N/A,N/A,N/A,5,3,N/A,,,N/A
뷰티,메이크업,네일케어,네일 폴리쉬,https://image.sivillage.com/upload/C00001/goods/org/309/211026001584309.jpg?RS=450&SP=1,HERMÈS,레 맹 에르메스 네일 에나멜 64 루즈 까자크,N/A,N/A,N/A,5,2,N/A,,,N/A
뷰티,메이크업,네일케어,네일 폴리쉬,https://image.sivillage.com/upload/C00001/goods/org/506/211026001584506.jpg?RS=450&SP=1,HERMÈS,레 맹 에르메스 네일 에나멜 65 베르 이집시앙,N/A,N/A,N/A,5,1,N/A,,,N/A
뷰티,메이크업,네일케어,네일 폴리쉬,https://image.sivillage.com/upload/C00001/s3/goods/org/802/240814027536802.jpg?RS=450&SP=1,3CE,[3CE] 듀 네일 컬러,N/A,"7,200",20%,5,2,N/A,,,N/A
