top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/goods/org/546/220628002706546.jpg?RS=450&SP=1,YUNJAC,백년초 앤 우질두 수분진정 립케어밤,N/A,"23,750",5%,4.9,26,N/A,,,N/A
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/s3/goods/org/437/231201007259437.jpg?RS=450&SP=1,LA PERVA,[단독구성][수잔카프만] 베스트 보습 케어 세트 (바디 버터 + 립 밤),N/A,N/A,N/A,5,1,N/A,,,세트
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/s3/goods/org/173/240530018935173.jpg?RS=450&SP=1,LA BRUKET,립 밤 아몬드/코코넛 14g,N/A,"21,250",15%,4.9,3247,N/A,,,N/A
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/goods/org/652/230907006250652.jpg?RS=450&SP=1,HERMÈS,루즈 에르메스 립 케어 밤,N/A,N/A,N/A,5,113,N/A,,,N/A
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/goods/org/726/230907006175726.jpg?RS=450&SP=1&QT=20,HERMÈS,에르메지스티블 인퓨즈드 립 케어 오일 컬러 앤 센트 01 베쥬 사포티유,N/A,N/A,N/A,4.9,81,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_060117_220509203443.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_060121_220509203556.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_060122_220509203611.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_060119_220509203523.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_060120_220509203540.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_060118_220509203507.jpg","01 베쥬 사포티유,05 로즈 콜라,06 뿌프르 카마린,03 로즈 피타야,04 루즈 아마렐,02 꼬라이유 비가라드",N/A
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/s3/goods/org/980/240725025308980.jpg?RS=450&SP=1&QT=20,MALIN+GOETZ,립 서비스,N/A,"53,200",5%,N/A,N/A,N/A,,,N/A
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/goods/org/812/230307004399812.jpg?RS=450&SP=1&QT=20,LA PERVA,[닥터바바라스텀] 립 밤 12g,N/A,N/A,N/A,5,5,N/A,,,N/A
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/goods/org/073/230907006171073.jpg?RS=450&SP=1&QT=20,HOURGLASS,Nº 28 립 트리트먼트 오일,N/A,"67,500",10%,4.9,53,N/A,,,N/A
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/goods/org/822/190425000289822.jpg?RS=450&SP=1&QT=20,HOURGLASS,Nº 28 립 트리트먼트 오일 (녹터널),N/A,"67,500",10%,5,2,N/A,,,N/A
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/goods/org/119/230907006172119.jpg?RS=450&SP=1&QT=20,HOURGLASS,Nº 28 립 트리트먼트 오일 (아이콘),N/A,"67,500",10%,4.7,75,N/A,"https://image.sivillage.com/upload/C00001/goods/color/0000433.jpg,https://image.sivillage.com/upload/C00001/goods/color/0000435.jpg,https://image.sivillage.com/upload/C00001/goods/color/0000434.jpg,https://image.sivillage.com/upload/C00001/goods/color/0000432.jpg","아이콘,카메오,어돈,베어",N/A
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/s3/goods/org/234/240604019637234.png?RS=450&SP=1&QT=20,LA PERVA,[수잔카프만] 립 밤 3.5g,N/A,"26,100",10%,4.9,18,N/A,,,N/A
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/s3/goods/org/292/240416013940292.jpg?RS=450&SP=1&QT=20,LA PERVA,[단독구성][수잔카프만] 데일리 보습 케어 세트 (립 밤 + 핸드크림),N/A,N/A,N/A,5,3,N/A,,,세트
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/goods/org/461/230908006339461.jpg?RS=450&SP=1&QT=20,Santa Maria Novella,이드라딴테 리브라 (립밤),N/A,"46,800",10%,4.8,56,N/A,,,N/A
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/goods/org/100/230223004270100.jpg?RS=450&SP=1&QT=20,LA BRUKET,리커버리 립 마스크 앨지/로즈힙 오일 15g,N/A,"47,700",10%,4.8,19,N/A,,,N/A
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/s3/goods/org/902/240828029569902.jpg?RS=450&SP=1&QT=20,LUSH,배트커런트 20g - 립 스크럽,N/A,N/A,N/A,N/A,N/A,신규입고,,,N/A
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/s3/goods/org/504/240828029569504.jpg?RS=450&SP=1&QT=20,LUSH,블러드 오렌지 20g - 립 스크럽,N/A,N/A,N/A,N/A,N/A,신규입고,,,N/A
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/s3/goods/org/498/240901030133498.jpg?RS=450&SP=1&QT=20,CLE DE PEAU BEAUTE,[끌레드뽀보떼] 프로텍티브 립 트리트먼트,N/A,"68,400",5%,N/A,N/A,N/A,,,N/A
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/s3/goods/org/036/240901030133036.jpg?RS=450&SP=1&QT=20,L`OCCITANE,[록시땅] 시어 울트라 리치 립밤 12ml,12ml,"14,400",10%,5,9,N/A,,,N/A
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/s3/goods/org/611/240326012006611.jpg?RS=450&SP=1&QT=20,SULWHASOO,설화수 윤조 립밤 3g (옵션),N/A,N/A,N/A,5,20,N/A,,,N/A
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/s3/goods/org/935/240530018909935.jpg?RS=450&SP=1&QT=20,HERA,[NEW]헤라 센슈얼 립앤치크 7g,N/A,"40,500",10%,5,1,N/A,,,세일
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/s3/goods/org/173/240831030126173.jpg?RS=450&SP=1&QT=20,NARS,[나스] 에프터글로우 립 밤,N/A,"36,000",10%,4.9,32,N/A,,,N/A
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/s3/goods/org/528/240222009220528.jpg?RS=450&SP=1&QT=20,HOTEL DAWSON,호텔도슨 블렌딩 립밤 4종 택2 세트,N/A,"28,800",10%,5,4,N/A,,,세일
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/s3/goods/org/694/240422014529694.jpg?RS=450&SP=1&QT=20,PAUL&JOE,폴앤조 립스틱 UV SPF25 (자외선 차단 립밤),N/A,"27,000",10%,5,1,N/A,,,N/A
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/s3/goods/org/131/240831030125131.jpg?RS=450&SP=1&QT=20,HUXLEY,[헉슬리] (NEW 컬러추가) 립밤 리브 비하인드,N/A,N/A,N/A,5,3,N/A,,,N/A
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/goods/org/670/230801005859670.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 유니콘 20g - 립 스크럽,N/A,N/A,N/A,5,1,N/A,,,N/A
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/s3/goods/org/208/240822028690208.jpg?RS=450&SP=1&QT=20,MADPEACH,[매드피치] 물톡스 립 플럼퍼 01 클리어,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/s3/goods/org/991/231204007282991.jpg?RS=450&SP=1&QT=20,GRAFEN,트리플립™ 네이키드 3.9g,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,메이크업,립 메이크업,립케어,https://image.sivillage.com/upload/C00001/goods/org/222/230518005168222.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 워터멜론 슈가 20g - 립 스크럽,N/A,N/A,N/A,5,1,N/A,,,N/A
