top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/goods/org/240/231023006651240.jpg?RS=450&SP=1,HERMÈS,트레 데르메스 리바이탈라이징 케어 마스카라 래쉬 투 래쉬 볼륨 01 느와 퓌쟁,N/A,N/A,N/A,4.5,9,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_040030_231023165502.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_050140_231023165524.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_060204_231023165541.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_110051_231023165557.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_100052_231023165613.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_120042_231023165630.jpg","01 느와 퓌쟁,02 브렁 비스트르,03 루즈 아쉬,04 블루 앙크르,05 베르 티티앵,06 비올렛 인디고",N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/goods/org/138/210514001229138.jpg?RS=450&SP=1,HOURGLASS,큐레이터 래쉬 인스트루먼트,N/A,"99,900",10%,4.5,11,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/goods/org/035/190416000277035.jpg?RS=450&SP=1,VIDIVICI,퍼펙트 마스카라 (01 콜 블랙),N/A,"31,500",10%,4.9,71,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/114/231205007294114.jpg?RS=450&SP=1,VIDIVICI,3D 맥시마이징 듀얼 마스카라 (02 베어 브라운 + 블랙),N/A,"27,000",10%,5,22,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/goods/org/134/210514001229134.jpg?RS=450&SP=1&QT=20,HOURGLASS,언락드 마스카라,N/A,"41,400",10%,4.8,72,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/goods/org/823/190425000289823.jpg?RS=450&SP=1&QT=20,HOURGLASS,커션 익스트림 래쉬 마스카라,N/A,"41,400",10%,4.7,49,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/370/240304009751370.jpg?RS=450&SP=1&QT=20,DOLCE & GABBANA BEAUTY,에버풀 XL 익스트림 볼륨 앤 리프트 마스카라,XL,"43,200",10%,5,20,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/232/231205007294232.jpg?RS=450&SP=1&QT=20,VIDIVICI,3D 맥시마이징 듀얼 마스카라 (01 블론드 브라운 + 블랙),N/A,"27,000",10%,5,7,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/558/240901030133558.jpg?RS=450&SP=1&QT=20,CLINIQUE,[크리니크] [기획] 래쉬파워 마스카라 블랙+래쉬파워 컬링 마스카라,N/A,"35,200",20%,N/A,N/A,신규입고,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/344/240901030132344.jpg?RS=450&SP=1&QT=20,CLINIQUE,[크리니크] 래쉬 파워 마스카라,N/A,"39,600",10%,5,6,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/538/240901030136538.jpg?RS=450&SP=1&QT=20,CLINIQUE,[크리니크] 래쉬 파워 마스카라 다크 초콜릿 6ml,6ml,"39,600",10%,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/950/240901030133950.jpg?RS=450&SP=1&QT=20,CLINIQUE,[크리니크] 래쉬 파워 컬링 마스카라,N/A,"39,600",10%,5,3,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/916/240801025822916.jpg?RS=450&SP=1&QT=20,KISSME,[키스미] 키스미 히로인메이크 컬 킵 마스카라 베이스 앤 픽서,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/900/240901030138900.jpg?RS=450&SP=1&QT=20,MUDE,[뮤드] 인스파이어 롱래쉬 컬링 마스카라 #브라운,N/A,"15,200",20%,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/137/240503015502137.jpg?RS=450&SP=1&QT=20,2aN,볼륨 컬링 마스카라,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/726/240306009847726.jpg?RS=450&SP=1&QT=20,2aN,롱 앤 컬링 마스카라(초코브라운),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/183/240901030136183.jpg?RS=450&SP=1&QT=20,MUDE,[뮤드] 인스파이어 볼륨 컬링 마스카라,N/A,"15,200",20%,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/357/240826029283357.jpg?RS=450&SP=1&QT=20,FIVEVIBE,[파이브바이브] 파이브바이브 인텐스 파워 래쉬업 마스카라,N/A,N/A,N/A,5,1,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/092/240409013257092.jpg?RS=450&SP=1&QT=20,ANNA SUI,안나수이 더 아이래쉬 세럼,N/A,"42,300",10%,5,1,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/082/240830029821082.jpg?RS=450&SP=1&QT=20,NARS,[나스] 나스 클라이맥스 마스카라,N/A,"34,200",10%,5,1,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/886/240719024886886.jpg?RS=450&SP=1&QT=20,KISSME,[키스미] 히로인메이크 롱앤컬/볼륨앤컬 어드밴스드 필름 02 브라운,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/971/240403012844971.jpg?RS=450&SP=1&QT=20,ANNA SUI,안나수이 수이 블랙 마스카라,N/A,"32,400",10%,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/goods/org/971/230907006168971.png?RS=450&SP=1&QT=20,ODEAR,오데어 엔더믹 10MGF 아이래쉬&아이브로우 솔루션 10ml,10MGF,"44,100",10%,5,4,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/097/240422014533097.jpg?RS=450&SP=1&QT=20,PAUL&JOE,폴앤조 비바시떼 아이브로우 마스카라,N/A,"31,500",10%,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/683/240306009847683.jpg?RS=450&SP=1&QT=20,2aN,롱 래쉬 마스카라,N/A,N/A,N/A,5,1,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/605/240426014811605.jpg?RS=450&SP=1&QT=20,PAUL&JOE,폴앤조 워터프루프 마스카라 듀오,N/A,"38,700",10%,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/488/240610020568488.jpg?RS=450&SP=1&QT=20,KISSME,[키스미] 히로인메이크 롱앤컬/볼륨앤컬 마스카라 EX,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/755/240901030135755.jpg?RS=450&SP=1&QT=20,MADPEACH,[매드피치] 퓨어 래쉬 마스카라 01 듀이블랙,N/A,"16,110",10%,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/425/240901030134425.jpg?RS=450&SP=1&QT=20,MUDE,[뮤드] [이득템] 인스파이어 롱래쉬 컬링 마스카라 미니 리무버 증정기획,N/A,"15,200",20%,5,1,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/091/240409013257091.jpg?RS=450&SP=1&QT=20,ANNA SUI,안나수이 볼륨 마스카라_이지워셔블,N/A,"36,000",10%,5,1,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/180/240901030136180.jpg?RS=450&SP=1&QT=20,MUDE,[뮤드] 인스파이어 롱래쉬 컬링 마스카라 #블랙,N/A,"15,200",20%,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/191/240716024707191.jpg?RS=450&SP=1&QT=20,FIVEVIBE,[파이브바이브] [단독] 인텐스 파워 래쉬업 마스카라 기획세트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/814/240408013200814.png?RS=450&SP=1&QT=20,ODEAR,오데어 엔더믹 10MGF 아이래쉬 틴팅 솔루션 10ml,10MGF,"44,100",10%,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,마스카라,https://image.sivillage.com/upload/C00001/s3/goods/org/156/240821028527156.jpg?RS=450&SP=1&QT=20,ROM&ND,[롬앤] 한올 래쉬 세럼,N/A,N/A,N/A,5,1,N/A,,,N/A
