top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,메이크업,아이 메이크업,아이라이너,https://image.sivillage.com/upload/C00001/goods/org/109/210514001229109.jpg?RS=450&SP=1,HOURGLASS,1.5MM 메커니컬 젤 아이라이너-브론즈,N/A,"27,000",10%,4.8,460,N/A,"https://image.sivillage.com/upload/C00001/goods/color/0000398.jpg,https://image.sivillage.com/upload/C00001/goods/color/0000397.jpg,https://image.sivillage.com/upload/C00001/goods/color/0000395.jpg,https://image.sivillage.com/upload/C00001/goods/color/0000396.jpg","브론즈,오션,캐니언,옵시디언",N/A
뷰티,메이크업,아이 메이크업,아이라이너,https://image.sivillage.com/upload/C00001/goods/org/122/210514001229122.jpg?RS=450&SP=1,HOURGLASS,1.5MM 젤 라이너-3팩 (옵시디언),N/A,"72,000",10%,4.9,37,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이라이너,https://image.sivillage.com/upload/C00001/s3/goods/org/572/240809026862572.jpg?RS=450&SP=1,DOLCE & GABBANA BEAUTY,댓츠 마이 라인 아이라이너 07 FYI,N/A,"40,500",10%,5,1,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_040037_240809094312.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_070291_240809094124.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_010082_240809094148.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_110059_240809094212.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_100055_240809094235.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_110058_240809094212.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_120045_240809094257.jpg","07 FYI,03 XOXO,01 POV,02 LMK,04 IRL,05 GTG,06 BTW",N/A
뷰티,메이크업,아이 메이크업,아이라이너,https://image.sivillage.com/upload/C00001/goods/org/943/230821006021943.jpg?RS=450&SP=1,VIDIVICI,퍼펙트 젤 펜슬 (02 브라운),N/A,"27,000",10%,4.9,196,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/15_03_%EB%8B%A4%ED%81%AC_%EB%B8%8C%EB%9D%BC%EC%9A%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_03_%EB%8B%A4%ED%81%AC_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png","다크 브라운,다크 그레이,블랙",N/A
뷰티,메이크업,아이 메이크업,아이라이너,https://image.sivillage.com/upload/C00001/goods/org/564/220622002676564.jpg?RS=450&SP=1&QT=20,HOURGLASS,보이어 워터프루프 젤 아이라이너 - 케이브,N/A,"38,700",10%,4.8,73,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_050096_220512095711.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_050097_220512095741.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_100044_220512095855.jpg,https://image.sivillage.com/upload/C00001/goods/color/0000396.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_050098_220512095814.jpg","케이브,체스트넛,포레스트,옵시디언,솔스티스",N/A
뷰티,메이크업,아이 메이크업,아이라이너,https://image.sivillage.com/upload/C00001/s3/goods/org/276/240724025244276.jpg?RS=450&SP=1&QT=20,LAURA MERCIER,롱웨어 크림 아이 펜슬 (바이올렛),N/A,"40,500",10%,N/A,N/A,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이라이너,https://image.sivillage.com/upload/C00001/goods/org/279/210517001232279.jpg?RS=450&SP=1&QT=20,HOURGLASS,언리얼 하이 샤인 볼류마이징 립 글로스 (트루스),N/A,"41,400",10%,4.7,46,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이라이너,https://image.sivillage.com/upload/C00001/goods/org/117/230829006082117.jpg?RS=450&SP=1&QT=20,LAURA MERCIER,캐비어 스틱 아이라이너 01 턱시도,N/A,"38,250",15%,5,10,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_040027_230829140609.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_050135_230829140516.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_050134_230829140516.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_050133_230829140516.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_040028_230829140610.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_110049_230829140534.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_050132_230829140516.jpg","01 턱시도,02 에스프레소,03 브론즈,04 코코아,06 스모크,07 블루마린,10 다크플럼",N/A
뷰티,메이크업,아이 메이크업,아이라이너,https://image.sivillage.com/upload/C00001/s3/goods/org/451/240828029551451.jpg?RS=450&SP=1&QT=20,BOBBI BROWN,[바비브라운] 롱웨어 워터 프루프 라이너,N/A,"55,250",15%,4.6,5,N/A,,,N/A
뷰티,메이크업,아이 메이크업,아이라이너,https://image.sivillage.com/upload/C00001/s3/goods/org/752/240828029616752.jpg?RS=450&SP=1&QT=20,FIVEVIBE,[파이브바이브] 파이브바이브 소프트 하드 메이크업 펜슬,N/A,N/A,N/A,5,1,N/A,,,N/A
