top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,바디케어,워시_스크럽,스크럽,https://image.sivillage.com/upload/C00001/s3/goods/org/205/240604019635205.png?RS=450&SP=1,LA PERVA,[수잔카프만] 리파이닝 스칼프 앤 바디 스크럽 200ml,200ml,"146,700",10%,5,1,N/A,,,N/A
뷰티,바디케어,워시_스크럽,스크럽,https://image.sivillage.com/upload/C00001/s3/goods/org/066/240523018042066.jpg?RS=450&SP=1,DIPTYQUE,스무딩 바디 폴리쉬 200ml,200ml,"95,950",5%,4.7,23,N/A,,,N/A
뷰티,바디케어,워시_스크럽,스크럽,https://image.sivillage.com/upload/C00001/s3/goods/org/525/240807026522525.jpg?RS=450&SP=1,LA BRUKET,씨 솔트 스크럽 세이지/로즈마리/라벤더 420g,420g,"62,100",10%,4.9,51,N/A,,,N/A
뷰티,바디케어,워시_스크럽,스크럽,https://image.sivillage.com/upload/C00001/s3/goods/org/481/240530018943481.jpg?RS=450&SP=1,LA BRUKET,씨 솔트 스크럽 스프루스 420g,420g,"62,100",10%,5,14,N/A,,,N/A
뷰티,바디케어,워시_스크럽,스크럽,https://image.sivillage.com/upload/C00001/goods/org/011/230628005546011.jpg?RS=450&SP=1&QT=20,LAURA MERCIER,엑스폴리에이팅 바디 워시 - 앰버 바닐라 200ml,200ml,"67,150",15%,5,9,N/A,,,N/A
뷰티,바디케어,워시_스크럽,스크럽,https://image.sivillage.com/upload/C00001/s3/goods/org/673/240808026697673.jpg?RS=450&SP=1&QT=20,LA PERVA,[컴포트존] 트랜퀄리티 바디 스크럽 270ml,270ml,"80,000",20%,N/A,N/A,N/A,,,N/A
뷰티,바디케어,워시_스크럽,스크럽,https://image.sivillage.com/upload/C00001/s3/goods/org/477/240530018943477.jpg?RS=450&SP=1&QT=20,LA BRUKET,씨 솔트 스크럽 엘더 420g,420g,"55,200",20%,4.8,17,N/A,,,N/A
뷰티,바디케어,워시_스크럽,스크럽,https://image.sivillage.com/upload/C00001/goods/org/216/230223004268216.jpg?RS=450&SP=1&QT=20,LA BRUKET,씨 솔트 스크럽 그레이프프룻 리프 420g,420g,"55,200",20%,4.8,25,N/A,,,N/A
뷰티,바디케어,워시_스크럽,스크럽,https://image.sivillage.com/upload/C00001/goods/org/016/230628005546016.jpg?RS=450&SP=1&QT=20,LAURA MERCIER,엑스폴리에이팅 바디 워시 - 아몬드 코코넛 200ml,200ml,"67,150",15%,5,1,N/A,,,N/A
뷰티,바디케어,워시_스크럽,스크럽,https://image.sivillage.com/upload/C00001/goods/org/633/230628005546633.jpg?RS=450&SP=1&QT=20,LAURA MERCIER,엑스폴리에이팅 바디 워시 - 네롤리 드 수드 200ml,200ml,"67,150",15%,5,2,N/A,,,N/A
뷰티,바디케어,워시_스크럽,스크럽,https://image.sivillage.com/upload/C00001/goods/org/307/230223004268307.jpg?RS=450&SP=1&QT=20,LA BRUKET,씨 솔트 스크럽 마조람/유칼립투스 420g,420g,"55,200",20%,4.9,49,N/A,,,N/A
뷰티,바디케어,워시_스크럽,스크럽,https://image.sivillage.com/upload/C00001/goods/org/241/230223004268241.jpg?RS=450&SP=1&QT=20,LA BRUKET,씨 솔트 스크럽 와일드 로즈 420g,420g,"55,200",20%,4.8,44,N/A,,,N/A
뷰티,바디케어,워시_스크럽,스크럽,https://image.sivillage.com/upload/C00001/goods/org/236/230228004312236.jpg?RS=450&SP=1&QT=20,MALIN+GOETZ,럼 바 솝 140g,140g,"22,800",5%,5,13,N/A,,,N/A
뷰티,바디케어,워시_스크럽,스크럽,https://image.sivillage.com/upload/C00001/s3/goods/org/995/240823028903995.jpg?RS=450&SP=1&QT=20,MALIN+GOETZ,유칼립투스 핸드+바디 스크럽 250ml,250ml,"38,500",30%,5,1,N/A,,,N/A
뷰티,바디케어,워시_스크럽,스크럽,https://image.sivillage.com/upload/C00001/s3/goods/org/023/231228007756023.jpg?RS=450&SP=1&QT=20,CELLCOSMET,[셀코스메트] 셀코스메트 & 셀맨 바디고마쥬 XT 200ml,200ml,"225,620",9%,N/A,N/A,N/A,,,세일
뷰티,바디케어,워시_스크럽,스크럽,https://image.sivillage.com/upload/C00001/goods/org/558/231030006692558.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 유아 어 스타 - 기프트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,바디케어,워시_스크럽,스크럽,https://image.sivillage.com/upload/C00001/s3/goods/org/217/240614021210217.jpg?RS=450&SP=1&QT=20,THALASPA,[로그인 할인 쿠폰] 딸라스파 엑스폴리에이팅 마린 솔트 바디스크럽 1.3kg,1.3kg,"103,500",10%,5,3,N/A,,,세일
뷰티,바디케어,워시_스크럽,스크럽,https://image.sivillage.com/upload/C00001/s3/goods/org/580/240307009894580.jpg?RS=450&SP=1&QT=20,LORENZO VILLORESI,떵 드 네쥬 배쓰 쏠트 500g,500g,"106,200",10%,N/A,N/A,N/A,,,N/A
뷰티,바디케어,워시_스크럽,스크럽,https://image.sivillage.com/upload/C00001/s3/goods/org/851/240712024464851.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 인터갈락틱 590g - 샤워 젤/바디 워시,590g,N/A,N/A,5,3,N/A,,,N/A
뷰티,바디케어,워시_스크럽,스크럽,https://image.sivillage.com/upload/C00001/goods/org/607/220506002458607.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 가든 파티 - 기프트,N/A,N/A,N/A,5,7,N/A,,,N/A
