top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,바디케어,핸드_풋케어,풋케어,https://image.sivillage.com/upload/C00001/goods/org/369/210504001213369.jpg?RS=450&SP=1,Santa Maria Novella,포마타 미모사 엘릭리소,N/A,"88,200",10%,5,9,N/A,,,N/A
뷰티,바디케어,핸드_풋케어,풋케어,https://image.sivillage.com/upload/C00001/s3/goods/org/805/240530018941805.jpg?RS=450&SP=1,LA BRUKET,풋 크림 페퍼민트/패출리 70ml,70ml,"40,500",10%,4.8,37,N/A,,,N/A
뷰티,바디케어,핸드_풋케어,풋케어,https://image.sivillage.com/upload/C00001/goods/org/558/231030006692558.jpg?RS=450&SP=1,LUSH,러쉬 유아 어 스타 - 기프트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,바디케어,핸드_풋케어,풋케어,https://image.sivillage.com/upload/C00001/s3/goods/org/358/240826029288358.jpg?RS=450&SP=1,LUSH,펌킨 파이 100g - 솝/비누,100g,N/A,N/A,N/A,N/A,신규입고,,,N/A
뷰티,바디케어,핸드_풋케어,풋케어,https://image.sivillage.com/upload/C00001/s3/goods/org/007/240826029288007.jpg?RS=450&SP=1&QT=20,LUSH,매직 포션 120g - 배쓰 밤/입욕제,120g,N/A,N/A,N/A,N/A,신규입고,,,N/A
뷰티,바디케어,핸드_풋케어,풋케어,https://image.sivillage.com/upload/C00001/s3/goods/org/909/240826029286909.jpg?RS=450&SP=1&QT=20,LUSH,펀킨 펌킨 120g - 배쓰 밤/입욕제,120g,N/A,N/A,N/A,N/A,신규입고,,,N/A
뷰티,바디케어,핸드_풋케어,풋케어,https://image.sivillage.com/upload/C00001/s3/goods/org/223/240826029288223.jpg?RS=450&SP=1&QT=20,LUSH,인베이더스 프롬 마스 120g - 버블 바/입욕제,120g,N/A,N/A,N/A,N/A,신규입고,,,N/A
뷰티,바디케어,핸드_풋케어,풋케어,https://image.sivillage.com/upload/C00001/s3/goods/org/000/240826029287000.jpg?RS=450&SP=1&QT=20,LUSH,배트 아트 110g - 배쓰 밤/입욕제,110g,N/A,N/A,N/A,N/A,신규입고,,,N/A
뷰티,바디케어,핸드_풋케어,풋케어,https://image.sivillage.com/upload/C00001/s3/goods/org/137/240826029288137.jpg?RS=450&SP=1&QT=20,LUSH,위치 우 200g - 버블 바/입욕제,200g,N/A,N/A,N/A,N/A,신규입고,,,N/A
뷰티,바디케어,핸드_풋케어,풋케어,https://image.sivillage.com/upload/C00001/s3/goods/org/538/240826029287538.jpg?RS=450&SP=1&QT=20,LUSH,인첸티드 페어리 하우스 밤쉘 270g - 배쓰 밤/입욕제,270g,N/A,N/A,N/A,N/A,신규입고,,,N/A
뷰티,바디케어,핸드_풋케어,풋케어,https://image.sivillage.com/upload/C00001/s3/goods/org/024/240826029288024.jpg?RS=450&SP=1&QT=20,LUSH,펌킨 크럼블 버블룬 170g - 버블 바/입욕제,170g,N/A,N/A,N/A,N/A,신규입고,,,N/A
뷰티,바디케어,핸드_풋케어,풋케어,https://image.sivillage.com/upload/C00001/s3/goods/org/665/240808026717665.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 릴렉스 - 기프트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,바디케어,핸드_풋케어,풋케어,https://image.sivillage.com/upload/C00001/goods/org/607/220506002458607.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 가든 파티 - 기프트,N/A,N/A,N/A,5,7,N/A,,,N/A
뷰티,바디케어,핸드_풋케어,풋케어,https://image.sivillage.com/upload/C00001/s3/goods/org/785/240708024162785.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 올 더 베스트 - 기프트,N/A,N/A,N/A,5,7,N/A,,,N/A
뷰티,바디케어,핸드_풋케어,풋케어,https://image.sivillage.com/upload/C00001/s3/goods/org/473/240730025678473.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 로즈 아르간 보디 컨디셔너 500g - 바디 컨디셔너,500g,N/A,N/A,5,1,N/A,,,N/A
뷰티,바디케어,핸드_풋케어,풋케어,https://image.sivillage.com/upload/C00001/goods/org/832/220504002450832.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 슬리피 95g - 바디 로션,95g,N/A,N/A,5,5,N/A,,,N/A
뷰티,바디케어,핸드_풋케어,풋케어,https://image.sivillage.com/upload/C00001/goods/org/111/220506002458111.jpg?RS=450&SP=1&QT=20,LUSH,러쉬 블루 스카이스 앤드 플러피 화이트 클라우즈 200g - 버블 바/입욕제,200g,N/A,N/A,5,2,N/A,,,N/A
