top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,뷰티소품/기기,페이셜케어,페이셜 디바이스,https://image.sivillage.com/upload/C00001/goods/org/482/230818006003482.jpg?RS=450&SP=1,VIDIVICI,스마트 페이스 클리어,N/A,"108,000",10%,4.8,218,N/A,,,N/A
뷰티,뷰티소품/기기,페이셜케어,페이셜 디바이스,https://image.sivillage.com/upload/C00001/goods/org/031/190416000277031.png?RS=450&SP=1,VIDIVICI,스마트 이온 부스터,N/A,"58,500",10%,4.8,91,N/A,,,N/A
뷰티,뷰티소품/기기,페이셜케어,페이셜 디바이스,https://image.sivillage.com/upload/C00001/goods/org/180/231012006580180.jpg?RS=450&SP=1,FACE FACTORY,페이스팩토리 LED케어 피부관리 셀라이너 + 콜라겐 마사지크림,LED케어,"53,910",71%,4.9,51,N/A,,,세일
뷰티,뷰티소품/기기,페이셜케어,페이셜 디바이스,https://image.sivillage.com/upload/C00001/s3/goods/org/276/240614021244276.jpg?RS=450&SP=1,FACE FACTORY,페이스팩토리 24K 갈바닉 제트필링기,N/A,"62,910",42%,5,48,N/A,,,세일
뷰티,뷰티소품/기기,페이셜케어,페이셜 디바이스,https://image.sivillage.com/upload/C00001/s3/goods/org/811/240614021241811.jpg?RS=450&SP=1&QT=20,FACE FACTORY,페이스팩토리 LED케어 셀라이너,LED케어,"62,910",57%,4.8,22,N/A,,,세일
뷰티,뷰티소품/기기,페이셜케어,페이셜 디바이스,https://image.sivillage.com/upload/C00001/s3/goods/org/254/240614021243254.jpg?RS=450&SP=1&QT=20,FACE FACTORY,페이스팩토리 워터필링기,N/A,"40,410",59%,4,4,N/A,,,세일
뷰티,뷰티소품/기기,페이셜케어,페이셜 디바이스,https://image.sivillage.com/upload/C00001/s3/goods/org/980/240617021594980.jpg?RS=450&SP=1,FACE FACTORY,페이스팩토리 뷰티석션,N/A,"22,410",55%,3,2,N/A,,,세일
뷰티,뷰티소품/기기,페이셜케어,페이셜 디바이스,https://image.sivillage.com/upload/C00001/s3/goods/org/528/240614021241528.jpg?RS=450&SP=1,FACE FACTORY,페이스팩토리 눈썹정리기,N/A,"19,710",50%,4.8,7,N/A,,,세일
뷰티,뷰티소품/기기,페이셜케어,페이셜 디바이스,https://image.sivillage.com/upload/C00001/s3/goods/org/521/240614021241521.jpg?RS=450&SP=1,FACE FACTORY,페이스팩토리 세라믹 디톡괄사 마사저,N/A,"26,910",61%,4.8,42,N/A,,,세일
뷰티,뷰티소품/기기,페이셜케어,페이셜 디바이스,https://image.sivillage.com/upload/C00001/s3/goods/org/036/240614021244036.jpg?RS=450&SP=1,FACE FACTORY,페이스팩토리 제로필링기,N/A,"20,610",47%,4.6,13,N/A,,,세일
