top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,뷰티소품/기기,페이셜케어,페이셜 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/763/240302009639763.jpg?RS=450&SP=1,JAJU,코털 정리 가위,N/A,N/A,N/A,5,8,N/A,,,N/A
뷰티,뷰티소품/기기,페이셜케어,페이셜 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/386/240206008815386.jpg?RS=450&SP=1,JAJU,시원하게 문질문질 올인원 우드 괄사,N/A,N/A,N/A,5,14,N/A,,,N/A
뷰티,뷰티소품/기기,페이셜케어,페이셜 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/385/240206008815385.jpg?RS=450&SP=1,JAJU,시원하게 꾹꾹 올인원 도자기 괄사,N/A,N/A,N/A,5,28,N/A,,,N/A
뷰티,뷰티소품/기기,페이셜케어,페이셜 소품,https://image.sivillage.com/upload/C00001/goods/org/602/231123007136602.jpg?RS=450&SP=1,JAJU,실리콘 클렌징 패드,N/A,N/A,N/A,4.9,30,N/A,,,N/A
뷰티,뷰티소품/기기,페이셜케어,페이셜 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/701/240429015027701.jpg?RS=450&SP=1&QT=20,JAJU,순면 엠보 화장솜 600매,N/A,N/A,N/A,5,9,N/A,,,N/A
뷰티,뷰티소품/기기,페이셜케어,페이셜 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/758/240302009639758.jpg?RS=450&SP=1&QT=20,JAJU,여드름 압출기,N/A,N/A,N/A,4.6,3,N/A,,,N/A
뷰티,뷰티소품/기기,페이셜케어,페이셜 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/448/240831030010448.jpg?RS=450&SP=1&QT=20,CHICOR,[시코르뷰티툴] 시코르 1/2 화장솜 100매,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,페이셜케어,페이셜 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/345/240901030227345.jpg?RS=450&SP=1&QT=20,CHICOR,[시코르뷰티툴] 시코르 순면 면봉 200P,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,페이셜케어,페이셜 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/064/240901030227064.jpg?RS=450&SP=1&QT=20,CHICOR,[시코르뷰티툴] 시코르 멀티 코튼 80매,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,페이셜케어,페이셜 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/077/240901030226077.jpg?RS=450&SP=1&QT=20,CHICOR,[시코르뷰티툴] 시코르 마일드 코튼 400매,N/A,"4,950",10%,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,페이셜케어,페이셜 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/998/240901030225998.jpg?RS=450&SP=1&QT=20,CHICOR,[시코르뷰티툴] 시코르 마일드 코튼 100매,N/A,N/A,N/A,5,58,N/A,,,N/A
뷰티,뷰티소품/기기,페이셜케어,페이셜 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/513/240901030133513.jpg?RS=450&SP=1&QT=20,LAGOM,[라곰] 라곰 셀럽 페이셜 클렌징 브러쉬,N/A,"6,300",10%,5,1,N/A,,,N/A
뷰티,뷰티소품/기기,페이셜케어,페이셜 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/535/240831030120535.jpg?RS=450&SP=1&QT=20,CHICOR,[시코르뷰티툴] 시코르 엠보 코튼 210매,N/A,N/A,N/A,5,11,N/A,,,N/A
뷰티,뷰티소품/기기,페이셜케어,페이셜 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/159/240523018103159.jpg?RS=450&SP=1&QT=20,GROUNDPLAN,[그라운드플랜] 하프코튼,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,페이셜케어,페이셜 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/558/240827029313558.jpg?RS=450&SP=1&QT=20,CHICOR,[시코르뷰티툴] 시코르 실키 코튼 80매,N/A,N/A,N/A,5,3,N/A,,,N/A
뷰티,뷰티소품/기기,페이셜케어,페이셜 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/192/240901030158192.jpg?RS=450&SP=1&QT=20,CHICOR,[시코르뷰티툴] 시코르 엠보 코튼 500매,N/A,"7,650",10%,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,페이셜케어,페이셜 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/609/240901030132609.jpg?RS=450&SP=1&QT=20,CLINIQUE,[크리니크] 화장솜,N/A,"4,500",10%,4.8,20,N/A,,,N/A
뷰티,뷰티소품/기기,페이셜케어,페이셜 소품,https://image.sivillage.com/upload/C00001/s3/goods/org/099/240901030132099.jpg?RS=450&SP=1&QT=20,DONGGUBAT,[동구밭] 순면 비누 거품망,N/A,N/A,N/A,5,4,N/A,,,N/A
