top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,뷰티소품/기기,헤어케어,헤어 디바이스,https://image.sivillage.com/upload/C00001/goods/org/552/230726005810552.jpg?RS=450&SP=1,JMW,[JMW] 본사직영 프리미엄 LED 케어 드라이기 루미에어 메탈릭핑크 STL7002B,LED,N/A,N/A,5,3,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 디바이스,https://image.sivillage.com/upload/C00001/goods/org/501/230905006142501.jpg?RS=450&SP=1,BALMAIN HAIR,발망헤어 코드리스 스트레이트너 명품 무선고데기,N/A,"427,500",5%,5,1,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 디바이스,https://image.sivillage.com/upload/C00001/goods/org/551/230726005810551.jpg?RS=450&SP=1,JMW,[JMW] 본사직영 프리미엄 LED 케어 드라이기 루미에어 차콜그레이 STL7001A,LED,N/A,N/A,5,4,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 디바이스,https://image.sivillage.com/upload/C00001/s3/goods/org/344/240813027499344.jpg?RS=450&SP=1,JMW,JMW 에어젯 울트라 프로 MS6301A 전문가용 1700W 터보 항공모터 헤어 드라이기,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 디바이스,https://image.sivillage.com/upload/C00001/s3/goods/org/811/240618021720811.jpg?RS=450&SP=1&QT=20,JMW,[JMW] 본사직영 프리미엄 LED 케어 드라이기 루미에어 2.0 STL7101A,LED,"298,000",28%,5,1,N/A,,,세일
뷰티,뷰티소품/기기,헤어케어,헤어 디바이스,https://image.sivillage.com/upload/C00001/goods/org/059/231114007034059.jpg?RS=450&SP=1&QT=20,JMW,[JMW] 본사직영 프리미엄 열판교체 디스플레이 40mm 봉고데기 픽앤컬 WCS6040A,N/A,"139,000",6%,5,1,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 디바이스,https://image.sivillage.com/upload/C00001/goods/org/896/221227003728896.jpg?RS=450&SP=1&QT=20,JMW,[JMW] 본사직영 프리미엄 열판교체 디스플레이 32mm 봉고데기 픽앤컬 WCS6032A,N/A,"139,000",6%,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 디바이스,https://image.sivillage.com/upload/C00001/goods/org/252/221223003715252.jpg?RS=450&SP=1&QT=20,JMW,[JMW] 본사직영 접이식 드라이기 맥스 클래식 MF5030C,N/A,N/A,N/A,5,3,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 디바이스,https://image.sivillage.com/upload/C00001/s3/goods/org/180/240826029279180.jpg?RS=450&SP=1&QT=20,VODANA,[쇼핑백+헤어픽서 증정]밸런스에어 라이트 드라이어,N/A,"158,000",10%,N/A,N/A,N/A,,,세일
뷰티,뷰티소품/기기,헤어케어,헤어 디바이스,https://image.sivillage.com/upload/C00001/goods/org/781/230830006100781.jpg?RS=450&SP=1&QT=20,JMW,[JMW] 본사직영 무빙쿠션 프리볼트 라운드 고데기 오브제 차콜 WS5001RA,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 디바이스,https://image.sivillage.com/upload/C00001/s3/goods/org/760/240708024155760.jpg?RS=450&SP=1&QT=20,VODANA,마이 스타일링 져니키트 36mm 핑크,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 디바이스,https://image.sivillage.com/upload/C00001/goods/org/242/221223003715242.jpg?RS=450&SP=1&QT=20,JMW,[JMW] 본사직영 항공모터 접이식 드라이기 MF5102F,N/A,N/A,N/A,5,2,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 디바이스,https://image.sivillage.com/upload/C00001/s3/goods/org/485/240603019410485.jpg?RS=450&SP=1&QT=20,JMW,[JMW] 본사직영 컴팩트 접이식 드라이기 에어플립 MCF5A02B,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,뷰티소품/기기,헤어케어,헤어 디바이스,https://image.sivillage.com/upload/C00001/goods/org/514/231114007034514.jpg?RS=450&SP=1&QT=20,JMW,[JMW] 본사직영 프리미엄 열판교체 디스플레이 36mm 봉고데기 픽앤컬 WCS6036A,N/A,"139,000",6%,5,1,N/A,,,N/A
