top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,스킨케어,기타,스킨케어 세트,https://image.sivillage.com/upload/C00001/goods/org/987/230707005647987.png?RS=450&SP=1,SWISS PERFECTION,(LIFT SET) 퍼펙트 리프트 3종 기획세트,(LIFT,N/A,N/A,N/A,N/A,N/A,,,세트
뷰티,스킨케어,기타,스킨케어 세트,https://image.sivillage.com/upload/C00001/goods/org/169/230904006132169.jpg?RS=450&SP=1,SWISS PERFECTION,[SP](맨)나이트리커버리마스크/스킨프로텍션로션/아이리차지크림,N/A,N/A,N/A,N/A,N/A,N/A,,,세트
뷰티,스킨케어,기타,스킨케어 세트,https://image.sivillage.com/upload/C00001/goods/org/737/220426002384737.jpg?RS=450&SP=1,YUNJAC,전초 컨센트레이트 세트,N/A,"103,500",10%,4.9,595,N/A,,,N/A
뷰티,스킨케어,기타,스킨케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/048/240821028540048.jpg?RS=450&SP=1,Santa Maria Novella,[선물포장] 토니코 페르 라 펠레 + 이드랄리아 크림 세트,N/A,"176,400",10%,5,1,N/A,,,세트
뷰티,스킨케어,기타,스킨케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/238/240418014122238.jpg?RS=450&SP=1&QT=20,YUNJAC,전초 베스트 트리오 세트,N/A,"175,500",10%,4.9,116,N/A,,,N/A
뷰티,스킨케어,기타,스킨케어 세트,https://image.sivillage.com/upload/C00001/goods/org/049/230907006179049.jpg?RS=450&SP=1&QT=20,Natura Bisse,다이아몬드 익스트림 오일 30ml,30ml,N/A,N/A,4.9,11,N/A,,,N/A
뷰티,스킨케어,기타,스킨케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/469/240419014263469.jpg?RS=450&SP=1&QT=20,SWISS PERFECTION,[스위스퍼펙션] (맨) 액티브 젤 클렌저 / 스킨 프로텍션 로션,N/A,N/A,N/A,N/A,N/A,N/A,,,세트
뷰티,스킨케어,기타,스킨케어 세트,https://image.sivillage.com/upload/C00001/goods/org/988/230707005647988.png?RS=450&SP=1&QT=20,SWISS PERFECTION,(CLEANSING SET) 클렌징 오일 / 퓨리파잉 젤,(CLEANSING,N/A,N/A,N/A,N/A,N/A,,,세트
뷰티,스킨케어,기타,스킨케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/634/240308010018634.jpg?RS=450&SP=1&QT=20,LA PERVA,[이브롬] 래디언트 리뉴얼 리츄얼 세트,N/A,"202,500",10%,5,4,N/A,,,N/A
뷰티,스킨케어,기타,스킨케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/677/240308010019677.jpg?RS=450&SP=1&QT=20,LA PERVA,[이브롬] 더블 클렌즈 세트,N/A,"118,800",10%,5,1,N/A,,,N/A
