top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,스킨케어,로션/에멀전/크림,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/002/230907006226002.jpg?RS=450&SP=1,SWISS PERFECTION,퍼펙트 리프트 크림 50ml,50ml,N/A,N/A,5,14,N/A,,,N/A
뷰티,스킨케어,로션/에멀전/크림,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/197/220210002011197.jpg?RS=450&SP=1,SWISS PERFECTION,(맨) 스킨 프로텍션 로션 30ml,30ml,N/A,N/A,5,1,N/A,,,N/A
뷰티,스킨케어,로션/에멀전/크림,수분/영양,https://image.sivillage.com/upload/C00001/s3/goods/org/801/240823028910801.jpg?RS=450&SP=1,YUNJAC,알파낙스 크림 50ml,50ml,"285,000",5%,N/A,N/A,신규입고,,,N/A
뷰티,스킨케어,로션/에멀전/크림,수분/영양,https://image.sivillage.com/upload/C00001/s3/goods/org/553/240821028533553.jpg?RS=450&SP=1,SWISS PERFECTION,[추석선물] 에센셜 비타민 크림,N/A,N/A,N/A,N/A,N/A,N/A,,,세트
뷰티,스킨케어,로션/에멀전/크림,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/789/220930003231789.jpg?RS=450&SP=1&QT=20,LA PERVA,[닥터바바라스텀] 브라이트닝 페이스 크림 50ml,50ml,N/A,N/A,5,2,N/A,,,N/A
뷰티,스킨케어,로션/에멀전/크림,수분/영양,https://image.sivillage.com/upload/C00001/s3/goods/org/672/240416013915672.jpg?RS=450&SP=1&QT=20,SWISS PERFECTION,리제너레이팅 스킨 크림,N/A,N/A,N/A,5,4,N/A,,,N/A
뷰티,스킨케어,로션/에멀전/크림,수분/영양,https://image.sivillage.com/upload/C00001/s3/goods/org/414/240704023558414.png?RS=450&SP=1&QT=20,LA PERVA,[알키미아] 이터널유스 맥시멈 리커버리 페이스 크림 50ml,50ml,"353,700",10%,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,로션/에멀전/크림,수분/영양,https://image.sivillage.com/upload/C00001/s3/goods/org/888/240604019643888.jpg?RS=450&SP=1&QT=20,Natura Bisse,다이아몬드 루미너스 퍼펙팅 크림 50ml,50ml,N/A,N/A,5,1,N/A,,,N/A
뷰티,스킨케어,로션/에멀전/크림,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/015/220930003232015.jpg?RS=450&SP=1&QT=20,LA PERVA,[닥터바바라스텀] 페이스 크림 리치 50ml,50ml,N/A,N/A,5,3,N/A,,,N/A
뷰티,스킨케어,로션/에멀전/크림,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/891/230307004399891.jpg?RS=450&SP=1&QT=20,LA PERVA,[닥터바바라스텀] 나이트 크림 50ml,50ml,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,로션/에멀전/크림,수분/영양,https://image.sivillage.com/upload/C00001/s3/goods/org/642/240604019630642.png?RS=450&SP=1&QT=20,LA PERVA,[수잔카프만] 리쥬브네이팅 데이 플루이드 50ml,50ml,"206,100",10%,5,2,N/A,,,N/A
뷰티,스킨케어,로션/에멀전/크림,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/741/230913006380741.jpg?RS=450&SP=1&QT=20,Natura Bisse,다이아몬드 익스트림 크림 리치 텍스처 50ml,50ml,N/A,N/A,5,5,N/A,,,N/A
뷰티,스킨케어,로션/에멀전/크림,수분/영양,https://image.sivillage.com/upload/C00001/s3/goods/org/956/240423014582956.jpg?RS=450&SP=1&QT=20,SWISS PERFECTION,수딩 훼이셜 로션,N/A,N/A,N/A,4.9,23,N/A,,,N/A
뷰티,스킨케어,로션/에멀전/크림,수분/영양,https://image.sivillage.com/upload/C00001/goods/org/279/230621005492279.jpg?RS=450&SP=1&QT=20,LA PERVA,[닥터바바라스텀] 클래리파잉 페이스 크림 50ml,50ml,N/A,N/A,5,2,N/A,,,N/A
