top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,스킨케어,스킨/토너/미스트,토너패드,https://image.sivillage.com/upload/C00001/s3/goods/org/095/240814027629095.jpg?RS=450&SP=1,MAMONDE,마몽드 포어 슈링커 바쿠치올 패드 70매,N/A,"22,100",15%,N/A,N/A,N/A,,,세일
뷰티,스킨케어,스킨/토너/미스트,토너패드,https://image.sivillage.com/upload/C00001/s3/goods/org/055/240716024646055.jpg?RS=450&SP=1,GENABELLE,[제나벨] 케일 82 토너 패드,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,스킨/토너/미스트,토너패드,https://image.sivillage.com/upload/C00001/goods/org/600/230609005389600.jpg?RS=450&SP=1,ODEAR,딥 글로잉 토너패드 [파우치형 2매X30매] 1EA,N/A,"23,400",10%,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,스킨/토너/미스트,토너패드,https://image.sivillage.com/upload/C00001/goods/org/455/230410004685455.jpg?RS=450&SP=1,ODEAR,오데어 딥글로잉 토너패드[엠보] 150g,N/A,"21,600",10%,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,스킨/토너/미스트,토너패드,https://image.sivillage.com/upload/C00001/s3/goods/org/897/240523018082897.jpg?RS=450&SP=1&QT=20,AESTURA,에스트라 에이시카 365패드 60매 x 2개,N/A,"44,800",20%,5,4,N/A,,,세일
뷰티,스킨케어,스킨/토너/미스트,토너패드,https://image.sivillage.com/upload/C00001/s3/goods/org/945/240808026704945.jpg?RS=450&SP=1&QT=20,IOPE,아이오페 스킨 부스터 앰플 필 패드 (8매),N/A,"32,000",20%,N/A,N/A,N/A,,,세일
뷰티,스킨케어,스킨/토너/미스트,토너패드,https://image.sivillage.com/upload/C00001/s3/goods/org/119/240718024834119.png?RS=450&SP=1&QT=20,belif,[빌리프]프라블럼 솔루션 비건 토너 패드 150ml,150ml,"28,800",20%,N/A,N/A,N/A,,,세일
뷰티,스킨케어,스킨/토너/미스트,토너패드,https://image.sivillage.com/upload/C00001/s3/goods/org/028/240805026208028.jpg?RS=450&SP=1&QT=20,HANYUL,한율 어린쑥 수분진정 패드 60매,N/A,"21,460",26%,5,10,N/A,,,세일
뷰티,스킨케어,스킨/토너/미스트,토너패드,https://image.sivillage.com/upload/C00001/s3/goods/org/585/240826029276585.jpg?RS=450&SP=1,JUICE TO CLEANSE,[쥬스투클렌즈] 비니거 콤부차 비건 진정 패드 50매,N/A,"30,100",30%,5,1,N/A,,,N/A
뷰티,스킨케어,스킨/토너/미스트,토너패드,https://image.sivillage.com/upload/C00001/s3/goods/org/940/240708024177940.jpg?RS=450&SP=1,MEDIPEEL,[메디필] 레드 락토 콜라겐 더블 타이트 패드 70매,N/A,"17,100",28%,5,2,N/A,,,세일
뷰티,스킨케어,스킨/토너/미스트,토너패드,https://image.sivillage.com/upload/C00001/s3/goods/org/847/240805026208847.jpg?RS=450&SP=1,HANYUL,한율 부들밤 모공수축 패드 50매,N/A,"21,460",26%,5,5,N/A,,,세일
