top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,스킨케어,아이/넥 케어,크림/밤,https://image.sivillage.com/upload/C00001/goods/org/038/210524001240038.jpg?RS=450&SP=1,SWISS PERFECTION,셀룰라 나리싱 아이크림,N/A,N/A,N/A,5,2,N/A,,,N/A
뷰티,스킨케어,아이/넥 케어,크림/밤,https://image.sivillage.com/upload/C00001/goods/org/147/230307004400147.jpg?RS=450&SP=1,LA PERVA,[닥터바바라스텀] 슈퍼 아이 크림 15ml,15ml,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,아이/넥 케어,크림/밤,https://image.sivillage.com/upload/C00001/s3/goods/org/601/240604019547601.png?RS=450&SP=1,LA PERVA,[수잔카프만] 리쥬브네이팅 아이 크림 15ml,15ml,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,아이/넥 케어,크림/밤,https://image.sivillage.com/upload/C00001/goods/org/995/210602001252995.jpg?RS=450&SP=1,SWISS PERFECTION,RS-28 셀룰라 아이 컨투어 솔루션,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
뷰티,스킨케어,아이/넥 케어,크림/밤,https://image.sivillage.com/upload/C00001/goods/org/636/230907006262636.jpg?RS=450&SP=1&QT=20,POIRET,뽀아레 압솔리프트 세럼 데 쥬,N/A,N/A,N/A,5,11,N/A,,,N/A
뷰티,스킨케어,아이/넥 케어,크림/밤,https://image.sivillage.com/upload/C00001/goods/org/861/230907006303861.png?RS=450&SP=1&QT=20,Natura Bisse,다이아몬드 익스트림 아이 25ml,25ml,N/A,N/A,4.9,38,N/A,,,N/A
뷰티,스킨케어,아이/넥 케어,크림/밤,https://image.sivillage.com/upload/C00001/goods/org/657/210504001214657.jpg?RS=450&SP=1&QT=20,YUNJAC,자목숙 안티에이징 아이크림,N/A,"95,000",5%,4.9,223,N/A,,,N/A
뷰티,스킨케어,아이/넥 케어,크림/밤,https://image.sivillage.com/upload/C00001/goods/org/710/220516002506710.jpg?RS=450&SP=1&QT=20,MALIN+GOETZ,리바이탈라이징 아이젤 15ml,15ml,"61,750",5%,4.9,18,N/A,,,N/A
뷰티,스킨케어,아이/넥 케어,크림/밤,https://image.sivillage.com/upload/C00001/s3/goods/org/800/240116008148800.jpg?RS=450&SP=1&QT=20,MALIN+GOETZ,리바이탈라이징 아이크림 15ml,15ml,"88,350",5%,5,17,N/A,,,N/A
뷰티,스킨케어,아이/넥 케어,크림/밤,https://image.sivillage.com/upload/C00001/goods/org/161/221019003338161.jpg?RS=450&SP=1&QT=20,Santa Maria Novella,이드랄리아 아이 컨투어 15ml,15ml,"77,400",10%,5,79,N/A,,,N/A
뷰티,스킨케어,아이/넥 케어,크림/밤,https://image.sivillage.com/upload/C00001/s3/goods/org/123/240411013425123.jpg?RS=450&SP=1&QT=20,LA PERVA,[컴포트존] 하이드라메모리 아이 크림 15ml,15ml,"55,200",20%,5,1,N/A,,,N/A
뷰티,스킨케어,아이/넥 케어,크림/밤,https://image.sivillage.com/upload/C00001/goods/org/631/230216004208631.jpg?RS=450&SP=1&QT=20,LA PERVA,[컴포트존] 서브라임 스킨 아이 크림 15ml,15ml,"69,300",30%,5,5,N/A,,,N/A
