top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,헤어케어,기타,헤어케어 세트,https://image.sivillage.com/upload/C00001/goods/org/844/231102006884844.jpg?RS=450&SP=1,LA PERVA,[오리베] 골드 러스트 리터 세트,N/A,"431,100",10%,4.9,40,N/A,,,N/A
뷰티,헤어케어,기타,헤어케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/091/240430015107091.jpg?RS=450&SP=1,LA PERVA,[오리베] 골드 러스트 리추얼 세트,N/A,"170,100",10%,5,2,N/A,,,N/A
뷰티,헤어케어,기타,헤어케어 세트,https://image.sivillage.com/upload/C00001/goods/org/841/231102006884841.jpg?RS=450&SP=1,LA PERVA,[오리베] 골드 러스트 컬렉션,N/A,"170,100",10%,4.9,25,N/A,,,N/A
뷰티,헤어케어,기타,헤어케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/756/231218007645756.jpg?RS=450&SP=1,DAVINES,오아이 키트 (샴푸 280ml+컨디셔너 250ml+오일 135ml),280ml+컨디셔너,N/A,N/A,5,7,N/A,,,N/A
뷰티,헤어케어,기타,헤어케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/879/240110008016879.jpg?RS=450&SP=1&QT=20,LA PERVA,[오리베] 2024 매그니피센트 볼륨 세트,N/A,"161,100",10%,5,8,N/A,,,N/A
뷰티,헤어케어,기타,헤어케어 세트,https://image.sivillage.com/upload/C00001/goods/org/649/230829006080649.jpg?RS=450&SP=1&QT=20,LOIVIE,피오니 앤 화이트 머스크 헤어 세트 (샴푸&컨디셔너),N/A,N/A,N/A,4.9,20,N/A,,,세트
뷰티,헤어케어,기타,헤어케어 세트,https://image.sivillage.com/upload/C00001/goods/org/738/230829006080738.jpg?RS=450&SP=1&QT=20,LOIVIE,베르가못 앤 화이트 로즈 헤어 세트 (샴푸&컨디셔너),N/A,N/A,N/A,4.9,47,N/A,,,세트
뷰티,헤어케어,기타,헤어케어 세트,https://image.sivillage.com/upload/C00001/goods/org/653/231102006889653.jpg?RS=450&SP=1&QT=20,LA PERVA,[오리베] 헤어 알케미 트래블 세트,N/A,"80,100",10%,4.8,16,N/A,,,N/A
뷰티,헤어케어,기타,헤어케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/843/240901030222843.jpg?RS=450&SP=1&QT=20,SUBLIMIC,[서브리믹] 인텐시브 기획세트 (샴푸&트리트먼트&벨벳오일),N/A,"106,830",10%,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,기타,헤어케어 세트,https://image.sivillage.com/upload/C00001/goods/org/826/231115007053826.jpg?RS=450&SP=1&QT=20,BALMAIN HAIR,발망헤어 모이스처라이징 케어 세트,N/A,"137,750",5%,5,1,N/A,,,N/A
뷰티,헤어케어,기타,헤어케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/848/240824028948848.jpg?RS=450&SP=1&QT=20,KERASTASE,[케라스타즈] 시몽 테르미크 150ml 듀오 세트 [No.1 헤어에센스],150ml,"117,800",5%,5,1,N/A,,,N/A
뷰티,헤어케어,기타,헤어케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/176/240830029831176.jpg?RS=450&SP=1&QT=20,SUBLIMIC,[서브리믹] 아쿠아 인텐시브 샴푸 500ml+트리트먼트 500g 세트,500ml+트리트먼트,"106,830",10%,5,1,N/A,,,N/A
뷰티,헤어케어,기타,헤어케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/275/240507015913275.jpg?RS=450&SP=1&QT=20,LOMA,[로마] 에센셜 샴푸&바디워시 + 컨디셔너&바디버터 1L 세트,1L,"155,200",20%,N/A,N/A,N/A,,,세일
뷰티,헤어케어,기타,헤어케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/456/240524018229456.png?RS=450&SP=1&QT=20,LOMA,[로마] 바이올렛 샴푸 1L 듀오 세트,1L,"115,200",20%,N/A,N/A,N/A,,,세일
뷰티,헤어케어,기타,헤어케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/394/240505015687394.png?RS=450&SP=1&QT=20,LOMA,"[로마] 바이올렛 샴푸 , 컨디셔너 1L set",1L,"116,800",20%,N/A,N/A,N/A,,,세일
뷰티,헤어케어,기타,헤어케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/364/240901030160364.jpg?RS=450&SP=1&QT=20,KERASTASE,[케라스타즈] 케라스타즈 한정판 건조모발용 선물세트,N/A,N/A,N/A,5,1,N/A,,,N/A
뷰티,헤어케어,기타,헤어케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/943/240901030163943.jpg?RS=450&SP=1&QT=20,CURLYSHYLL,[커리쉴] 플라워&허브 모이스처 3종,N/A,"60,800",5%,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,기타,헤어케어 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/503/240311010567503.png?RS=450&SP=1&QT=20,TOILETPAPER BEAUTY,TPB 헤어&바디 키트(샴푸&샤워젤 300ml),300ml),"59,400",10%,N/A,N/A,N/A,,,N/A
