top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/128/200623000761128.jpg?RS=450&SP=1,LA PERVA,[오리베] 뷰티풀 컬러 컨디셔너 1000ml,1000ml,"260,100",10%,5,13,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/114/201006000916114.jpg?RS=450&SP=1,LA PERVA,[오리베] 브릴리언스 앤 샤인 컨디셔너 1000ml,1000ml,"260,100",10%,5,25,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/s3/goods/org/406/240424014616406.jpg?RS=450&SP=1,LA PERVA,[오리베] 시그니처 컨디셔너 1000ml,1000ml,"260,100",10%,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/144/220329002218144.jpg?RS=450&SP=1,LA PERVA,[오리베] 시그니처 컨디셔너 리필 1000ml,1000ml,"242,100",10%,5,7,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/262/200623000761262.jpg?RS=450&SP=1&QT=20,LA PERVA,[오리베] 시그니처 컨디셔너 1000ml,1000ml,"260,100",10%,4.9,50,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/049/230921006445049.jpg?RS=450&SP=1&QT=20,LA PERVA,[오리베] 헤어 알케미 리질리언스 컨디셔너 리필 1000ml,1000ml,"251,100",10%,5,2,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/058/230921006445058.jpg?RS=450&SP=1&QT=20,LA PERVA,[오리베] 헤어 알케미 리질리언스 컨디셔너 1000ml,1000ml,"269,100",10%,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/s3/goods/org/388/240722025080388.jpg?RS=450&SP=1&QT=20,LA PERVA,[오리베] 골드 러스트 컨디셔너 리필 1000ml,1000ml,"260,100",10%,N/A,N/A,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/739/221229003739739.jpg?RS=450&SP=1&QT=20,DAVINES,오아이 컨디셔너 1000ml,1000ml,N/A,N/A,5,50,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/265/221229003741265.jpg?RS=450&SP=1&QT=20,DAVINES,너리싱 베지테리언 미라클 컨디셔너 1000ml,1000ml,N/A,N/A,5,4,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/213/221229003740213.jpg?RS=450&SP=1&QT=20,DAVINES,러브 스무딩 컨디셔너 1000ml,1000ml,N/A,N/A,5,5,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/299/221229003740299.jpg?RS=450&SP=1&QT=20,DAVINES,멜루 컨디셔너 1000ml,1000ml,N/A,N/A,5,2,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/232/221229003740232.jpg?RS=450&SP=1&QT=20,DAVINES,러브 컬 컨디셔너 1000ml,1000ml,N/A,N/A,5,1,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/389/221229003740389.jpg?RS=450&SP=1&QT=20,DAVINES,모모 컨디셔너 1000ml,1000ml,N/A,N/A,5,1,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/543/230627005541543.jpg?RS=450&SP=1&QT=20,DAVINES,데데 컨디셔너 1000ml,1000ml,N/A,N/A,5,2,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/969/221229003739969.jpg?RS=450&SP=1&QT=20,DAVINES,누누 컨디셔너 1000ml,1000ml,N/A,N/A,5,3,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/977/230217004212977.jpg?RS=450&SP=1&QT=20,DAVINES,리플럼핑 컨디셔너 1000ml,1000ml,N/A,N/A,5,6,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/455/221229003740455.jpg?RS=450&SP=1&QT=20,DAVINES,미누 컨디셔너 1000ml,1000ml,N/A,N/A,5,1,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/s3/goods/org/991/240829029778991.jpg?RS=450&SP=1&QT=20,DAVINES,리플럼핑 컨디셔너 60ml,60ml,N/A,N/A,N/A,N/A,신규입고,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/s3/goods/org/210/240828029577210.jpg?RS=450&SP=1&QT=20,DAVINES,모모 컨디셔너 75ml,75ml,N/A,N/A,N/A,N/A,신규입고,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/s3/goods/org/835/240828029577835.jpg?RS=450&SP=1&QT=20,DAVINES,멜루 컨디셔너 75ml,75ml,N/A,N/A,N/A,N/A,신규입고,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/s3/goods/org/700/240828029577700.jpg?RS=450&SP=1&QT=20,DAVINES,데데 컨디셔너 75ml,75ml,N/A,N/A,N/A,N/A,신규입고,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/s3/goods/org/668/240828029574668.jpg?RS=450&SP=1&QT=20,DAVINES,웰빙 컨디셔너 60ml,60ml,N/A,N/A,N/A,N/A,신규입고,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/737/221229003739737.jpg?RS=450&SP=1&QT=20,DAVINES,오아이 컨디셔너 250ml,250ml,N/A,N/A,5,16,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/025/230803005888025.jpg?RS=450&SP=1&QT=20,LA PERVA,[오리베] 골드 러스트 컨디셔너 200ml,200ml,"80,100",10%,4.9,181,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/649/230829006080649.jpg?RS=450&SP=1&QT=20,LOIVIE,피오니 앤 화이트 머스크 헤어 세트 (샴푸&컨디셔너),N/A,N/A,N/A,4.9,20,N/A,,,세트
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/834/221229003740834.jpg?RS=450&SP=1&QT=20,DAVINES,하트 오브 글래스 리치 컨디셔너 250ml,250ml,N/A,N/A,5,2,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/s3/goods/org/412/240424014616412.jpg?RS=450&SP=1&QT=20,LA PERVA,[오리베] 뷰티풀 컬러 컨디셔너 200ml,200ml,"74,700",10%,5,23,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/738/230829006080738.jpg?RS=450&SP=1&QT=20,LOIVIE,베르가못 앤 화이트 로즈 헤어 세트 (샴푸&컨디셔너),N/A,N/A,N/A,4.9,47,N/A,,,세트
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/843/230907006238843.jpg?RS=450&SP=1&QT=20,LA PERVA,[오리베] 시그니처 컨디셔너 200ml,200ml,"74,700",10%,4.8,83,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/290/200623000761290.jpg?RS=450&SP=1&QT=20,LA PERVA,[오리베] 인탠스 컨디셔너 포 모이스처 앤 컨트롤 200ml,200ml,"74,700",10%,4.8,9,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/s3/goods/org/409/240424014616409.jpg?RS=450&SP=1&QT=20,LA PERVA,[오리베] 매그니피션트 볼륨 컨디셔너 200ml,200ml,"74,700",10%,5,1,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/627/230802005879627.jpg?RS=450&SP=1&QT=20,LA PERVA,[오리베] 브릴리언스 앤 샤인 컨디셔너 200ml,200ml,"74,700",10%,5,19,N/A,,,N/A
뷰티,헤어케어,샴푸/컨디셔너,컨디셔너,https://image.sivillage.com/upload/C00001/goods/org/254/221229003740254.jpg?RS=450&SP=1&QT=20,DAVINES,러브 컬 클렌징 크림 500ml,500ml,N/A,N/A,3,1,N/A,,,N/A
