top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
슈즈,남성 슈즈,로퍼/드라이빙슈즈,https://image.sivillage.com/upload/C00001/s3/goods/org/964/240816027920964.jpg?RS=450&SP=1,PAUL SMITH,MAGNUM 페블 레더 더비 슈즈,MAGNUM,"855,000",10%,N/A,N/A,신상,,,N/A
슈즈,남성 슈즈,로퍼/드라이빙슈즈,https://image.sivillage.com/upload/C00001/s3/goods/org/654/240627022868654.jpg?RS=450&SP=1,LARDINI,레이스업 스웨이드 모카신,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
슈즈,남성 슈즈,로퍼/드라이빙슈즈,https://image.sivillage.com/upload/C00001/s3/goods/org/627/240708024164627.jpg?RS=450&SP=1,EMPORIO ARMANI,남성 페블 레더 페니 로퍼,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
슈즈,남성 슈즈,로퍼/드라이빙슈즈,https://image.sivillage.com/upload/C00001/s3/goods/org/915/240722025070915.jpg?RS=450&SP=1,EMPORIO ARMANI,남성 펀칭 스웨이드 드라이빙 슈즈,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
슈즈,남성 슈즈,로퍼/드라이빙슈즈,https://image.sivillage.com/upload/C00001/s3/goods/org/904/240709024282904.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,남성 펀칭 스웨이드 드라이빙 슈즈,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
슈즈,남성 슈즈,로퍼/드라이빙슈즈,https://image.sivillage.com/upload/C00001/s3/goods/org/594/240715024610594.jpg?RS=450&SP=1&QT=20,BRUNELLO CUCINELLI,남성 우븐 스웨이드 페니 로퍼,N/A,"1,852,500",5%,N/A,N/A,N/A,,,N/A
슈즈,남성 슈즈,로퍼/드라이빙슈즈,https://image.sivillage.com/upload/C00001/s3/goods/org/169/240724025233169.jpg?RS=450&SP=1&QT=20,UGG,[MEN] 스웨이드 양모 라이너 로퍼 (아스콧),N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_050070_210702161512.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_050097_220512095741.jpg","코이,체스트넛",N/A
슈즈,남성 슈즈,로퍼/드라이빙슈즈,https://image.sivillage.com/upload/C00001/s3/goods/org/662/240627022868662.jpg?RS=450&SP=1&QT=20,LARDINI,레이스업 스웨이드 모카신,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
슈즈,남성 슈즈,로퍼/드라이빙슈즈,https://image.sivillage.com/upload/C00001/goods/org/928/230118003889928.jpg?RS=450&SP=1&QT=20,MAGNANNI,23307 Cacao 맥나니,N/A,"473,100",5%,N/A,N/A,N/A,,,N/A
슈즈,남성 슈즈,로퍼/드라이빙슈즈,https://image.sivillage.com/upload/C00001/s3/goods/org/042/240830029959042.jpg?RS=450&SP=1&QT=20,GUCCI,[구찌] FW24 남성 홀스빗 로퍼 795116 AADQC 1000,N/A,"1,049,750",15%,N/A,N/A,신규입고,,,N/A
