top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
슈즈,여성 슈즈,펌프스/힐,https://image.sivillage.com/upload/C00001/s3/goods/org/735/240829029790735.jpg?RS=450&SP=1,UGG,[WOMEN] 청키 힐 싸이 하이 부츠 (뉴 하이츠 플랫폼 엑스트라),N/A,N/A,N/A,N/A,N/A,신상,,,N/A
슈즈,여성 슈즈,펌프스/힐,https://image.sivillage.com/upload/C00001/s3/goods/org/678/240829029790678.jpg?RS=450&SP=1,UGG,[WOMEN] 청키 힐 숏부츠 (뉴 하이츠 플랫폼 숏),N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_050097_220512095741.jpg","블랙,체스트넛",N/A
슈즈,여성 슈즈,펌프스/힐,https://image.sivillage.com/upload/C00001/s3/goods/org/931/240801025873931.jpg?RS=450&SP=1,DELLA LANA,블록 힐 레더 옥스퍼드 슈즈,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
슈즈,여성 슈즈,펌프스/힐,https://image.sivillage.com/upload/C00001/s3/goods/org/869/240729025614869.jpg?RS=450&SP=1,GIUSEPPE ZANOTTI,[WOMEN] RAQUEL 크리스탈 스트랩 펌프스,RAQUEL,"1,463,000",30%,N/A,N/A,신상,,,N/A
슈즈,여성 슈즈,펌프스/힐,https://image.sivillage.com/upload/C00001/s3/goods/org/496/240627022883496.jpg?RS=450&SP=1&QT=20,GIUSEPPE ZANOTTI,[WOMEN] BRENDA 스웨이드 슬링백,N/A,"1,183,000",30%,N/A,N/A,N/A,,,N/A
슈즈,여성 슈즈,펌프스/힐,https://image.sivillage.com/upload/C00001/goods/org/279/230809005946279.jpg?RS=450&SP=1&QT=20,CAREL,[CAREL] 까렐 키나 메리제인 블랙 KINA-330839,[CAREL],"663,100",5%,5,2,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png,https://image.sivillage.com/upload/C00001/goods/color/color_060025_240701095547.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png","블랙,버건디,블랙",N/A
슈즈,여성 슈즈,펌프스/힐,https://image.sivillage.com/upload/C00001/s3/goods/org/679/240821028553679.jpg?RS=450&SP=1&QT=20,RACHEL COX,Pumps_Nevaeh_RCA001FA_5cm,N/A,"214,200",10%,N/A,N/A,신상,,,N/A
슈즈,여성 슈즈,펌프스/힐,https://image.sivillage.com/upload/C00001/s3/goods/org/716/240902030314716.jpg?RS=450&SP=1&QT=20,BY FAR,VIVA PATENT LEATHER BLACK / B1FWFM052WHCBK0CW0,LEATHER,"634,600",5%,N/A,N/A,신규입고,,,N/A
슈즈,여성 슈즈,펌프스/힐,https://image.sivillage.com/upload/C00001/s3/goods/org/543/240902030314543.jpg?RS=450&SP=1&QT=20,BY FAR,GINNY CRUSHED VELVET BLACK / B1FWFM033WHCBK0PL0,GINNY,"587,100",5%,N/A,N/A,신규입고,,,N/A
슈즈,여성 슈즈,펌프스/힐,https://image.sivillage.com/upload/C00001/s3/goods/org/376/240830029954376.jpg?RS=450&SP=1&QT=20,CAREL,[CAREL] 까렐 오세아노 베이지 & 블랙 메리제인 OCEANO-332344,[CAREL],"758,100",5%,N/A,N/A,신규입고,,,N/A
