top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
스포츠/레저,러닝/사이클,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/165/240617021598165.jpg?RS=450&SP=1,ARENA,포즈 남성 트레이닝 자켓 S4SM1SJ41BLK,S4SM1SJ41BLK,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/510/240617021598510.jpg?RS=450&SP=1,ARENA,에이징 반팔티셔츠 S4MC1RT07NVY,N/A,"42,400",20%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/268/240617021598268.jpg?RS=450&SP=1,ARENA,트로피카나 반팔티셔츠 S4MC1RT06BGY,S4MC1RT06BGY,"47,200",20%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/274/240617021598274.jpg?RS=450&SP=1,ARENA,트로피카나 반팔티셔츠 S4MC1RT06TGR,S4MC1RT06TGR,"47,200",20%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/504/240617021598504.jpg?RS=450&SP=1&QT=20,ARENA,에이징 반팔티셔츠 S4MC1RT07GRN,S4MC1RT07GRN,"42,400",20%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/507/240617021598507.jpg?RS=450&SP=1&QT=20,ARENA,에이징 반팔티셔츠 S4MC1RT07LGY,S4MC1RT07LGY,"42,400",20%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/638/240516017117638.jpg?RS=450&SP=1&QT=20,ARENA,트로피카나 반팔티셔츠 S4MC1RT06OWT,N/A,"47,200",20%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/271/240617021598271.jpg?RS=450&SP=1&QT=20,ARENA,트로피카나 반팔티셔츠 S4MC1RT06DNV,N/A,"47,200",20%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/666/240216009022666.jpg?RS=450&SP=1&QT=20,ARENA,남성 하이브리드 트레이닝 상의 S3WM1SJ08BLK,S3WM1SJ08BLK,"77,400",40%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/660/240216009022660.jpg?RS=450&SP=1&QT=20,ARENA,우븐 스트레치 상의 S3FC1SJ02BGY,S3FC1SJ02BGY,"83,400",40%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,남성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/465/230925006463465.jpg?RS=450&SP=1&QT=20,ADIDAS,아디다스 팀 조끼 프로 BIB (HP0733),N/A,"9,000",21%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,남성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/159/230804005904159.jpg?RS=450&SP=1&QT=20,PUMA,푸마 팀조끼 BIB 베스트 (657251-04),N/A,"9,000",25%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,남성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/470/230925006463470.jpg?RS=450&SP=1&QT=20,ADIDAS,아디다스 팀 조끼 프로 BIB (HP0734),N/A,"9,000",21%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,남성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/165/230804005904165.jpg?RS=450&SP=1&QT=20,PUMA,푸마 팀조끼 BIB 베스트 (657251-45),N/A,"9,000",25%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/658/240216009022658.jpg?RS=450&SP=1&QT=20,ARENA,여성 봄버 트레이닝 상의 S3FL1SJ03BLK,S3FL1SJ03BLK,"59,400",40%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/504/240216009023504.jpg?RS=450&SP=1&QT=20,ARENA,본딩 트리코트 트레이닝 상의 S3WC1SJ07BLK,S3WC1SJ07BLK,"71,400",40%,N/A,N/A,N/A,,,N/A
스포츠/레저,러닝/사이클,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/254/240216009022254.jpg?RS=450&SP=1&QT=20,ARENA,여성 벨로아 트레이닝 상의 S3FL1SJ05PKG,S3FL1SJ05PKG,"59,400",40%,N/A,N/A,N/A,,,N/A
