top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
스포츠/레저,수영,남성 스윔웨어,래쉬가드/비치웨어,https://image.sivillage.com/upload/C00001/s3/goods/org/349/240831030096349.jpg?RS=450&SP=1,PALM ANGELS,24FW 팜앤젤스 스윔팬츠 PMFD002C99FAB0011003 Black,Black,"856,800",15%,N/A,N/A,신규입고,,,N/A
스포츠/레저,수영,남성 스윔웨어,래쉬가드/비치웨어,https://image.sivillage.com/upload/C00001/s3/goods/org/728/240830029921728.jpg?RS=450&SP=1,TOM FORD,24SS 톰포드 스윔팬츠 BSS001 FMN033S24 ZKBBR Brown,N/A,"1,192,550",19%,N/A,N/A,신규입고,,,N/A
스포츠/레저,수영,남성 스윔웨어,래쉬가드/비치웨어,https://image.sivillage.com/upload/C00001/s3/goods/org/739/240830029851739.jpg?RS=450&SP=1,PALM ANGELS,24SS 팜앤젤스 스윔팬츠 PMFD002S24 FAB006 1001 Black,Black,"819,400",15%,N/A,N/A,신규입고,,,N/A
스포츠/레저,수영,남성 스윔웨어,래쉬가드/비치웨어,https://image.sivillage.com/upload/C00001/s3/goods/org/877/240830029826877.jpg?RS=450&SP=1,PALM ANGELS,24SS 팜앤젤스 스윔팬츠 PMFD002S24 FAB003 4949 Blue,Blue,"657,050",15%,N/A,N/A,신규입고,,,N/A
스포츠/레저,수영,남성 스윔웨어,래쉬가드/비치웨어,https://image.sivillage.com/upload/C00001/s3/goods/org/872/240829029651872.jpg?RS=450&SP=1&QT=20,MOSCHINO,24FW 모스키노 스윔팬츠 42037075 1555 Black,Black,"334,900",15%,N/A,N/A,신규입고,,,N/A
스포츠/레저,수영,남성 스윔웨어,래쉬가드/비치웨어,https://image.sivillage.com/upload/C00001/s3/goods/org/119/240829029656119.jpg?RS=450&SP=1&QT=20,MOSCHINO,24FW 모스키노 스윔팬츠 42015274 1555 Black,Black,"334,900",15%,N/A,N/A,신규입고,,,N/A
스포츠/레저,수영,남성 스윔웨어,래쉬가드/비치웨어,https://image.sivillage.com/upload/C00001/s3/goods/org/637/240829029744637.jpg?RS=450&SP=1&QT=20,C.P. COMPANY,24SS 씨피 컴퍼니 스윔팬츠 16CMBW005A006369G 613 White,16CMBW005A006369G,"231,200",18%,N/A,N/A,신규입고,,,N/A
스포츠/레저,수영,남성 스윔웨어,래쉬가드/비치웨어,https://image.sivillage.com/upload/C00001/s3/goods/org/743/240829029655743.jpg?RS=450&SP=1&QT=20,VERSACE,24FW 베르사체 스윔팬츠 ABU010271A11120 A80G Black,A80G,"606,900",15%,N/A,N/A,신규입고,,,N/A
스포츠/레저,수영,남성 스윔웨어,래쉬가드/비치웨어,https://image.sivillage.com/upload/C00001/s3/goods/org/937/240829029652937.jpg?RS=450&SP=1&QT=20,BURBERRY,24FW 버버리 스윔팬츠 8082727 Beige,Beige,"675,750",15%,N/A,N/A,신규입고,,,N/A
스포츠/레저,수영,남성 스윔웨어,래쉬가드/비치웨어,https://image.sivillage.com/upload/C00001/s3/goods/org/796/240824028958796.jpg?RS=450&SP=1&QT=20,TOM FORD,24SS 톰포드 스윔팬츠 BSS001 FMN004S23 HB720 Blue,Blue,"733,550",19%,N/A,N/A,N/A,,,N/A
스포츠/레저,수영,남성 스윔웨어,래쉬가드/비치웨어,https://image.sivillage.com/upload/C00001/s3/goods/org/067/240823028863067.jpg?RS=450&SP=1&QT=20,BRIONI,24SS 브리오니 스윔팬츠 N2370L PB904 4200 Blue,N2370L,"810,900",15%,N/A,N/A,N/A,,,N/A
스포츠/레저,수영,남성 스윔웨어,래쉬가드/비치웨어,https://image.sivillage.com/upload/C00001/s3/goods/org/257/240831030129257.jpg?RS=450&SP=1&QT=20,ETRO,24SS 에트로 스윔팬츠 99SAS68 MRPB0001 X0890 BLUE,BLUE,"263,500",26%,N/A,N/A,신규입고,,,N/A
스포츠/레저,수영,남성 스윔웨어,래쉬가드/비치웨어,https://image.sivillage.com/upload/C00001/s3/goods/org/013/240831030129013.jpg?RS=450&SP=1&QT=20,MONCLER,24SS 몽클레어 스윔팬츠 53326 2C000 08 719 BLUE,BLUE,"263,500",26%,N/A,N/A,신규입고,,,N/A
