top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
스포츠/레저,스키,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/447/231218007648447.jpg?RS=450&SP=1,HEAD,[REBELS] 여성 레귤러핏 IMMENSITY 프리마로프트 후드 자켓 카키_JOUAW23005KHX,[REBELS],"854,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/463/231218007648463.jpg?RS=450&SP=1,HEAD,[REBELS] 여성 레귤러핏 ELEMENT 립스탑 후드 자켓 오렌지_JOUAW23007ORX,[REBELS],"512,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/471/231218007648471.jpg?RS=450&SP=1,HEAD,[REBELS] 여성 레귤러핏 ASTERIA FZ 미들레이어 집업 자켓 카키_JOUAW23010KHX,[REBELS],"215,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/664/231218007647664.jpg?RS=450&SP=1,HEAD,[KORE] 여성 레귤러핏 인슐레이션 경량 후드 자켓 블랙_JOUAW23003BKX,N/A,"395,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/788/231218007647788.jpg?RS=450&SP=1&QT=20,HEAD,[KORE] 여성 레귤러핏 인슐레이션 경량 후드 자켓 오렌지_JOUAW23003ORX,N/A,"395,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,여성의류,아우터,https://image.sivillage.com/upload/C00001/goods/org/717/231030006692717.jpg?RS=450&SP=1&QT=20,MACKAGE,[맥카지 한국공식] AMANDA 아만다 스키자켓,N/A,"1,341,000",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/674/231218007647674.jpg?RS=450&SP=1&QT=20,HEAD,[KORE] 여성 루즈핏 3L 배색 코듀라 후드 자켓 오렌지_JOUAW23020ORX,3L,"854,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,여성의류,아우터,https://image.sivillage.com/upload/C00001/goods/org/196/231110007005196.jpg?RS=450&SP=1&QT=20,HEAD,[EDELWEISS] 남여공용 오버핏 초경량 숏 다운 점퍼 카키_JHUCW24106KHX,[EDELWEISS],"431,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/210/231205007290210.jpg?RS=450&SP=1&QT=20,HEAD,[REBELS] 남여공용 세미오버핏 배색 플리스 자켓 그레이_JHUAW24133GYX,[REBELS],"233,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,스키,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/548/231218007648548.jpg?RS=450&SP=1&QT=20,HEAD,[LEGACY] 여성 레귤러 핏 CHLOE 프리마로프트 후드 경량 점퍼_JOUAW23016BKX,[LEGACY],"872,100",10%,N/A,N/A,N/A,,,N/A
