top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
스포츠/레저,요가/실내운동,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/072/240820028342072.jpg?RS=450&SP=1,ADIDAS,아디다스 긴팔티 바이에른 뮌헨 라이프스타일러 저지 (IS6507),N/A,"121,500",23%,N/A,N/A,N/A,,,N/A
스포츠/레저,요가/실내운동,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/058/240520017598058.jpg?RS=450&SP=1,PUMA,푸마 맨시티 홈 LS 저지 긴팔 유니폼 맨체스터 시티 2024/25 (775076-01),LS,"144,000",19%,N/A,N/A,N/A,,,N/A
스포츠/레저,요가/실내운동,남성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/303/230515005099303.jpg?RS=450&SP=1,SNOW PEAK,NaturalDyed RecycledCotton SS Pull 블루 SH-23SU103BL,NaturalDyed,"147,000",30%,N/A,N/A,N/A,,,N/A
스포츠/레저,요가/실내운동,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/447/240308010049447.jpg?RS=450&SP=1,NEIL BARRETT,닐바렛 트레이닝 웨어 BJP016A S000 1179 Black,Black,"499,800",67%,N/A,N/A,N/A,,,N/A
스포츠/레저,요가/실내운동,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/880/240524018227880.jpg?RS=450&SP=1&QT=20,ADIDAS,아디다스 긴팔 유니폼 바이에른 뮌헨 2024/25 홈 저지 (IT2254),N/A,"113,500",26%,N/A,N/A,N/A,,,N/A
스포츠/레저,요가/실내운동,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/651/240410013309651.jpg?RS=450&SP=1&QT=20,FEAR OF GOD,24SS 피어오브갓 트레이닝 웨어 24PFGLW40006JERJ 001 BLACK,24PFGLW40006JERJ,"336,600",50%,N/A,N/A,N/A,,,N/A
스포츠/레저,요가/실내운동,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/014/240229009561014.jpg?RS=450&SP=1&QT=20,MIHARA YASUHIRO,24SS 미하라 야스히로 트레이닝 웨어 A10PT582 MULTI,MULTI,"500,650",68%,N/A,N/A,N/A,,,N/A
스포츠/레저,요가/실내운동,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/400/240317011237400.jpg?RS=450&SP=1&QT=20,SPORTY&RICH,스포티앤리치 트레이닝 웨어 SW452HGCO HG Gray,SW452HGCO,"209,100",63%,N/A,N/A,N/A,,,N/A
스포츠/레저,요가/실내운동,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/926/240311010558926.jpg?RS=450&SP=1&QT=20,HERON PRESTON,헤론 프레스톤 트레이닝 웨어 HMCJ004C99JER001 2201 Orange,Orange,"338,300",66%,N/A,N/A,N/A,,,N/A
스포츠/레저,요가/실내운동,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/377/240310010503377.jpg?RS=450&SP=1&QT=20,VALENTINO,24SS 발렌티노 가라바니 트레이닝 웨어 4V3CI351 BLACK,BLACK,"1,658,350",65%,N/A,N/A,N/A,,,N/A
스포츠/레저,요가/실내운동,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/041/240701023209041.jpg?RS=450&SP=1&QT=20,PATAGONIA,파타고니아 긴팔티 P-6 로고 리스폰시빌리 LS 티 화이트 (38518-WHI),LS,"88,000",14%,N/A,N/A,N/A,,,N/A
스포츠/레저,요가/실내운동,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/598/240422014505598.jpg?RS=450&SP=1&QT=20,ADIDAS,아디다스 민소매 나시티 테크핏 슬리브리스 컴프레션 (HK2338),N/A,"32,000",1%,N/A,N/A,N/A,,,N/A
스포츠/레저,요가/실내운동,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/778/240319011375778.jpg?RS=450&SP=1&QT=20,QUIKSILVER,퀵실버 남성 블랙 HI VOYAGER 머슬티 (QE21SL114KVJ),VOYAGER,"44,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,요가/실내운동,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/038/240701023209038.jpg?RS=450&SP=1&QT=20,PATAGONIA,파타고니아 긴팔티 P-6 로고 리스폰시빌리 LS 티 블랙 (38518-BLK),LS,"88,000",14%,N/A,N/A,N/A,,,N/A
스포츠/레저,요가/실내운동,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/019/240724025235019.jpg?RS=450&SP=1&QT=20,ADIDAS,아디다스 긴팔티 아디컬러 클래식 3S (IA4877),N/A,"66,500",14%,N/A,N/A,N/A,,,N/A
스포츠/레저,요가/실내운동,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/242/240305009803242.jpg?RS=450&SP=1&QT=20,PUMA,푸마 긴팔티 MCFC 맨시티 프리매치 LS 스웨트 탑 (774371-01),LS,"92,000",14%,N/A,N/A,N/A,,,N/A
스포츠/레저,요가/실내운동,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/244/240220009119244.jpg?RS=450&SP=1&QT=20,NIKE,나이키 반팔티 프로 DRI-FIT 반팔 탑 (FB7933-100),N/A,"36,000",14%,N/A,N/A,N/A,,,N/A
스포츠/레저,요가/실내운동,남성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/411/230904006133411.jpg?RS=450&SP=1&QT=20,RVCA,루카 남성 블랙 하와이 반팔 래쉬가드 (VD21RS537BLK),(VD21RS537BLK),"64,080",28%,N/A,N/A,N/A,,,N/A
스포츠/레저,요가/실내운동,남성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/419/230904006133419.jpg?RS=450&SP=1&QT=20,RVCA,루카 남성 챠콜 벤트 민소매 래쉬가드(VD21RS536PTK),N/A,"78,480",28%,N/A,N/A,N/A,,,N/A
스포츠/레저,요가/실내운동,남성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/431/230904006133431.jpg?RS=450&SP=1&QT=20,RVCA,루카 남성 THUG ROSE 긴소매 래쉬가드 스윔웨어(VD11RS519BLK),THUG,"64,080",28%,5,3,N/A,,,N/A
스포츠/레저,요가/실내운동,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/892/240202008702892.jpg?RS=450&SP=1&QT=20,NIKE,나이키 긴팔티 프로 DRI-FIT 롱슬리브 탑 (FB7920-100),N/A,"41,500",14%,N/A,N/A,N/A,,,N/A
스포츠/레저,요가/실내운동,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/821/240719024882821.jpg?RS=450&SP=1&QT=20,ADIDAS,아디다스 민소매 나시티 M 테크핏 슬리브리스 티 (JE6694),N/A,"28,500",13%,2,1,N/A,,,N/A
