top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
스포츠/레저,캠핑/아웃도어,등산장비/용품,침낭/매트,https://image.sivillage.com/upload/C00001/s3/goods/org/461/240208008871461.jpg?RS=450&SP=1,JAJU,360도 회전하는 4바퀴 접이식카트_블루,N/A,N/A,N/A,5,41,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,침낭/매트,https://image.sivillage.com/upload/C00001/goods/org/172/230717005732172.jpg?RS=450&SP=1,MONTBELL,심리스 버로우 백 #0 RED JBEFXUZB621,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,침낭/매트,https://image.sivillage.com/upload/C00001/goods/org/300/230717005732300.jpg?RS=450&SP=1,MONTBELL,심리스 다운허거 800 #7 LONG PURPLE JBEFXUZB291,LONG,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,침낭/매트,https://image.sivillage.com/upload/C00001/goods/org/266/230717005732266.jpg?RS=450&SP=1,MONTBELL,심리스 다운허거 800 W'S #1 ORANGE JBEFXUZB301,ORANGE,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,침낭/매트,https://image.sivillage.com/upload/C00001/goods/org/460/230717005732460.jpg?RS=450&SP=1&QT=20,MONTBELL,다운허거 650 #1 LONG ORANGE JBEFXUZB151,LONG,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,침낭/매트,https://image.sivillage.com/upload/C00001/goods/org/396/230717005732396.jpg?RS=450&SP=1&QT=20,MONTBELL,심리스 다운 허거 800 HALF #5 BLUE JBEFXUZB341,HALF,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,침낭/매트,https://image.sivillage.com/upload/C00001/goods/org/446/230717005732446.jpg?RS=450&SP=1&QT=20,MONTBELL,브리즈 드라이텍 침낭커버 WIDE&LONG GREEN JBEFXUZB111,WIDE&LONG,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,침낭/매트,https://image.sivillage.com/upload/C00001/goods/org/519/210319001135519.jpg?RS=450&SP=1&QT=20,SNOW PEAK,High Tension Cot 스노우피크 하이 텐션 코트,High,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,침낭/매트,https://image.sivillage.com/upload/C00001/s3/goods/org/692/240319011406692.png?RS=450&SP=1&QT=20,BROOKLYN WORKS,BW_[브루클린웍스] 사각 다운 침낭 800,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,캠핑/아웃도어,등산장비/용품,침낭/매트,https://image.sivillage.com/upload/C00001/goods/org/368/230717005732368.jpg?RS=450&SP=1&QT=20,MONTBELL,심리스 다운허거 800 #1 LONG ORANGE JBEFXUZB261,LONG,N/A,N/A,N/A,N/A,N/A,,,N/A
