top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/385/240412013500385.jpg?RS=450&SP=1,J.LINDEBERG,[Men] 테니스 리오넬 레귤러 핏 폴로,N/A,"218,020",14%,5,1,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_03_%EB%8B%A4%ED%81%AC_%EB%B8%94%EB%A3%A8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_01_%EB%B8%94%EB%A3%A8.png","화이트,다크 블루,블루",N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/425/240412013500425.jpg?RS=450&SP=1,J.LINDEBERG,[Men] 테니스 웨스턴 레귤러 핏 폴로,N/A,"166,720",14%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_100018_210114010651.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%B8%94%EB%A3%A8.png","블루,라이트 블루",N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/477/240412013500477.jpg?RS=450&SP=1,J.LINDEBERG,[Men] 테니스 마르크 레귤러 핏 폴로,N/A,"166,720",14%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/357/240401012654357.jpg?RS=450&SP=1,HEAD,[HEAD GLOBAL] 여성 레귤러핏 PERFORMANCE 원피스_JODCX24201WHX,GLOBAL],"269,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/774/240619022014774.jpg?RS=450&SP=1&QT=20,HEAD,[투어] 스피드 TEAM L 라켓 (G2)_KGZ2X23611WHX,L,"286,200",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/096/240813027507096.jpg?RS=450&SP=1&QT=20,HEAD,남여공용 세미오버핏 에센셜 스트링 반집업 스웻셔츠 그린 JHTBX24330GRX,JHTBX24330GRX,"116,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/076/240813027506076.jpg?RS=450&SP=1&QT=20,HEAD,남여공용 세미오버핏 절개 져지 스웻셔츠 베이지 JHTAX24310BEX,N/A,"116,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/182/240813027506182.jpg?RS=450&SP=1&QT=20,HEAD,남여공용 세미오버핏 에센셜 스트링 반집업 스웻셔츠 블랙 JHTBX24330BKX,N/A,"116,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/841/240813027507841.jpg?RS=450&SP=1&QT=20,HEAD,남여공용 세미오버핏 절개 져지 후드티셔츠 네이비 JHTEX24312NYX,N/A,"116,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/256/240813027506256.jpg?RS=450&SP=1&QT=20,HEAD,남여공용 세미오버핏 에센셜 스트링 반집업 스웻셔츠 레드 JHTBX24330REX,N/A,"116,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/765/240813027507765.jpg?RS=450&SP=1&QT=20,HEAD,남여공용 세미오버핏 절개 져지 후드티셔츠 멜란지그레이 JHTEX24312GYM,JHTEX24312GYM,"116,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/797/240813027507797.jpg?RS=450&SP=1&QT=20,HEAD,남여공용 세미오버핏 절개 져지 후드티셔츠 레드 JHTEX24312REX,N/A,"116,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/136/240813027506136.jpg?RS=450&SP=1&QT=20,HEAD,남여공용 세미오버핏 에센셜 스트링 반집업 스웻셔츠 퍼플 JHTBX24330PUX,N/A,"116,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/103/240813027506103.jpg?RS=450&SP=1&QT=20,HEAD,남여공용 세미오버핏 에센셜 스트링 반집업 스웻셔츠 아이보리 JHTBX24330IVX,N/A,"116,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/301/240813027506301.jpg?RS=450&SP=1&QT=20,HEAD,남여공용 세미오버핏 절개 져지 스웻셔츠 라이트그레이 JHTAX24310GYX,JHTAX24310GYX,"116,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/519/240813027506519.jpg?RS=450&SP=1&QT=20,HEAD,남여공용 세미오버핏 절개 져지 스웻셔츠 다크그린 JHTAX24310GRX,JHTAX24310GRX,"116,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/568/231218007646568.jpg?RS=450&SP=1&QT=20,HEAD,[REBELS] 남성 레귤러핏 MARTY 미들레이어 티셔츠_JHUAW23008BKX,[REBELS],"143,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/260/240530018935260.jpg?RS=450&SP=1&QT=20,HEAD,남녀공용 오버핏 HRC 자수 반팔 카라 티셔츠 그린_JHTCX24172GRX,그린_JHTCX24172GRX,"107,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/559/240401012651559.jpg?RS=450&SP=1&QT=20,HEAD,[HEAD GLOBAL] 남성 레귤러핏 PERFORMANCE 래글런 반팔티셔츠_JHTCX24207YEX,GLOBAL],"125,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/851/240530018933851.jpg?RS=450&SP=1&QT=20,HEAD,남녀공용 오버핏 HRC 자수 반팔 카라 티셔츠 오렌지_JHTCX24172ORX,N/A,"107,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/549/240402012714549.jpg?RS=450&SP=1&QT=20,GREENICH,배색 니트 베스트 (블랙),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/556/240401012651556.jpg?RS=450&SP=1&QT=20,HEAD,[HEAD GLOBAL] 남성 레귤러핏 PERFORMANCE 래글런 반팔티셔츠_JHTCX24207NYX,GLOBAL],"125,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/754/240402012714754.jpg?RS=450&SP=1&QT=20,GREENICH,배색 니트 베스트 (레드),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/571/240401012651571.jpg?RS=450&SP=1&QT=20,HEAD,[HEAD GLOBAL] 남성 레귤러핏 PERFORMANCE 카라넥 반팔티셔츠_JHTCX24206BKX,GLOBAL],"152,100",10%,5,1,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/232/240621022252232.jpg?RS=450&SP=1&QT=20,HEAD,[COOL HEAD] 남여공용 오버핏 리버서블 민소매 티셔츠 블랙레오파드 JHTDX24134BKX,[COOL,"107,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/539/230623005512539.jpg?RS=450&SP=1&QT=20,DAVE&DAZE,테니스 후드티 민트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/592/240605019834592.jpg?RS=450&SP=1&QT=20,HEAD,남녀공용 오버핏 에어도트 집업 반팔 티셔츠 블랙 JHTCX24151BKX,N/A,"116,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/846/240530018933846.jpg?RS=450&SP=1&QT=20,HEAD,남녀공용 오버핏 USA 헤리티지 반팔 카라 티셔츠 네이비_JHTCX24112NYX,N/A,"107,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/565/240401012651565.jpg?RS=450&SP=1&QT=20,HEAD,[HEAD GLOBAL] 남성 레귤러핏 PLAY TECH 반팔티셔츠_JHTCX24210GRX,GLOBAL],"116,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/654/240605019834654.jpg?RS=450&SP=1&QT=20,HEAD,남녀공용 오버핏 에어도트 집업 반팔 티셔츠 그레이 JHTCX24151GYX,JHTCX24151GYX,"116,100",10%,5,1,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/424/240419014251424.jpg?RS=450&SP=1&QT=20,HEAD,[HEAD GLOBAL] 남성 타이트핏 FLEX 심리스 베이스레이어 긴팔티셔츠 화이트_JHTAX24200WHX,GLOBAL],"107,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/412/240419014251412.jpg?RS=450&SP=1&QT=20,HEAD,[HEAD GLOBAL] 남성 타이트핏 FLEX 심리스 베이스레이어 긴팔티셔츠 블랙_JHTAX24200BKX,GLOBAL],"107,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/572/230912006373572.jpg?RS=450&SP=1&QT=20,HEAD,여성 헤리티지 스트레치 셋업 테니스 스커트 JOKAA23300NYX,N/A,"116,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/847/240530018933847.jpg?RS=450&SP=1&QT=20,HEAD,남녀공용 오버핏 HRC 자수 반팔 카라 티셔츠 블랙_JHTCX24172BKX,N/A,"107,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/871/240530018927871.jpg?RS=450&SP=1&QT=20,HEAD,남녀공용 오버핏 USA 헤리티지 반팔 카라 티셔츠 아이보리_JHTCX24112IVX,N/A,"107,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/418/240419014251418.jpg?RS=450&SP=1&QT=20,HEAD,[HEAD GLOBAL] 남성 타이트핏 FLEX 심리스 베이스레이어 긴팔티셔츠 네이비_JHTAX24200NYX,GLOBAL],"107,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/502/240401012651502.jpg?RS=450&SP=1&QT=20,HEAD,[HEAD GLOBAL] 남성 레귤러핏 PLAY TECH 반팔티셔츠_JHTCX24210WHX,GLOBAL],"116,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/513/240401012651513.jpg?RS=450&SP=1&QT=20,HEAD,[HEAD GLOBAL] 남성 레귤러핏 PLAY TECH 반팔티셔츠_JHTCX24210NYX,GLOBAL],"116,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/568/240401012651568.jpg?RS=450&SP=1&QT=20,HEAD,[HEAD GLOBAL] 남성 레귤러핏 PERFORMANCE 카라넥 반팔티셔츠_JHTCX24206WHX,GLOBAL],"152,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/450/240401012651450.jpg?RS=450&SP=1&QT=20,HEAD,[HEAD GLOBAL] 남성 레귤러핏 PERFORMANCE 래글런 반팔티셔츠_JHTCX24207WHX,GLOBAL],"125,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/574/240401012651574.jpg?RS=450&SP=1&QT=20,HEAD,[HEAD GLOBAL] 남성 레귤러핏 PERFORMANCE 카라넥 반팔티셔츠_JHTCX24206YEX,GLOBAL],"152,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/goods/org/289/231013006591289.jpg?RS=450&SP=1&QT=20,HEAD,남성 헤리티지 스트레치 셋업 테니스 티셔츠_JHTAA23300WHX,N/A,"107,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/990/240619021946990.jpg?RS=450&SP=1&QT=20,HEAD,남성 레귤러핏 헤리티지 스트레치 셋업 반팔테니스 티셔츠 JHTAA23300NYX,N/A,"107,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,남성의류,상의,https://image.sivillage.com/upload/C00001/s3/goods/org/367/240813027506367.jpg?RS=450&SP=1&QT=20,HEAD,남여공용 세미오버핏 빅헤드 에센셜 스웻셔츠 블랙 JHTBX24331BKX,N/A,"98,100",10%,N/A,N/A,N/A,,,N/A
