top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/819/240829029777819.jpg?RS=450&SP=1,LECOQ SPORTIF,디아망 튜브 경량 숏다운 블랙(QP422ODJO1),N/A,N/A,N/A,N/A,N/A,신규입고,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/815/240829029777815.jpg?RS=450&SP=1,LECOQ SPORTIF,디아망 튜브 경량 숏다운 아이보리(QP422ODJO1),N/A,N/A,N/A,N/A,N/A,신규입고,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/823/240829029777823.jpg?RS=450&SP=1,LECOQ SPORTIF,디아망 튜브 경량 숏다운 핑크(QP422ODJO1),N/A,N/A,N/A,N/A,N/A,신규입고,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/270/240813027508270.jpg?RS=450&SP=1,LECOQ SPORTIF,풋볼 트리아톰 기능성 3L 자켓 크림(QP323FJK93),3L,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/692/240813027508692.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,풋볼 트리아톰 기능성 3L 자켓 블랙(QP323FJK93),3L,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/292/240814027641292.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,여성 케이블 스웨터 후드 패딩 베스트 (QP122OST11),N/A,"233,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/goods/org/250/221122003543250.jpg?RS=450&SP=1&QT=20,ACTG,[ACTG]Women PLY Setup,[ACTG]Women,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/327/240513016744327.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,"[신예은,배인혁 PICK] 리버시블 바시티 자켓 옐로우(QP123LJK19)",옐로우(QP123LJK19),"224,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/321/240513016744321.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,"[신예은,배인혁 PICK] 리버시블 바시티 자켓 네이비(QP123LJK19)",네이비(QP123LJK19),"224,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/289/240814027641289.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,여성 케이블 스웨터 후드 패딩 베스트 (QP122OST11),N/A,"233,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/677/240321011608677.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,AGA 트리아톰 3L 자켓 (QP123GJK13),AGA,"224,100",10%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/04_01_%ED%81%AC%EB%A6%BC.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_01_%EB%B8%94%EB%A3%A8.png","크림,블랙,스카이블루",N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/373/240829029777373.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,네오 선데이 듀스 자켓 아이보리(QP323TJK91),N/A,N/A,N/A,N/A,N/A,신규입고,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/799/240829029777799.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,네오 선데이 듀스 자켓 레드(QP323TJK91),N/A,N/A,N/A,N/A,N/A,신규입고,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/811/240829029777811.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,네오 선데이 듀스 자켓 브라운(QP323TJK91),N/A,N/A,N/A,N/A,N/A,신규입고,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/805/240829029777805.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,네오 선데이 듀스 자켓 블랙(QP323TJK91),N/A,N/A,N/A,N/A,N/A,신규입고,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/859/240814027667859.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,트리코트 본딩 트랙탑 그레이(QP323EFT91),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/761/240814027667761.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,선데이 쮸리 가디건 그레이(QP323TFT91),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/717/240814027667717.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,선데이 쮸리 가디건 아이보리(QP323TFT91),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/863/240814027667863.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,트리코트 본딩 트랙탑 블랙(QP323EFT91),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/463/240813027506463.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,풋볼 컬러블록 매쉬 자켓 블랙(QP323FJK81),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/259/240813027508259.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,기능성 2L 자켓 블랙(QP323EJK92),2L,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/255/240813027508255.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,기능성 2L 자켓 올리브(QP323EJK92),2L,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/148/240813027507148.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,풋볼 컬러블록 매쉬 자켓 아이보리(QP323FJK81),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/479/240813027506479.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,풋볼 컬러블록 매쉬 자켓 그린(QP323FJK81),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/919/240813027505919.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,선데이 저지 집업 크림(QP323TFT83),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/927/240813027505927.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,선데이 저지 집업 블랙(QP323TFT83),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/923/240813027505923.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,선데이 저지 집업 핑크(QP323TFT83),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/403/240514016815403.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,선데이 바람막이 자켓 아이보리(QP123TJK31),N/A,"134,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/262/240321011602262.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,AGA 여성 트리코트 숏자켓 (QP122GFT21),AGA,"134,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/814/240321011606814.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,여성 크롭 아노락 후드자켓 (QP122OJK21),N/A,"161,100",10%,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/343/240813027508343.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,[NWP.h x 르꼬끄] 시어서커 셔츠 자켓 옐로우(QP223XJK61),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/178/240814027639178.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,여성 원피스 수영복 블랙(QP222SSW52),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
스포츠/레저,테니스,여성의류,아우터,https://image.sivillage.com/upload/C00001/s3/goods/org/978/240813027507978.jpg?RS=450&SP=1&QT=20,LECOQ SPORTIF,여성 시어서커 반팔 자켓 블랙(QP222OJK61),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
