top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/226/240813027510226.jpg?RS=450&SP=1,PHILIPP PLEIN,엠보싱 스컬 나파 레더 글러브,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/220/240813027510220.jpg?RS=450&SP=1,PHILIPP PLEIN,고딕 로고 나파 레더 글러브,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/173/240813027510173.jpg?RS=450&SP=1,PHILIPP PLEIN,헥사곤 크로커다일 레더 글러브,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/272/240814027642272.jpg?RS=450&SP=1,RICK OWENS,[MEN] 리브드 울 니트 글러브,N/A,"475,000",5%,N/A,N/A,신상,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/267/240814027642267.jpg?RS=450&SP=1&QT=20,RICK OWENS,[MEN] 더블 지퍼 왁스 레더 글러브,N/A,"1,881,000",5%,N/A,N/A,신상,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/062/240710024359062.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,남성 램스킨 나파 레더 글러브,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/056/240710024359056.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,남성 램스킨 나파 레더 글러브,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/646/240627022868646.jpg?RS=450&SP=1&QT=20,LARDINI,플라워 스터드 스웨이드 글러브,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/050/240710024359050.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,남성 브레이드 로고 나파 레더 글러브,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/674/240719024893674.jpg?RS=450&SP=1&QT=20,PAUL SMITH,컬러 블록 콘서티나 레더 글러브,N/A,"405,000",10%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/641/240627022868641.jpg?RS=450&SP=1&QT=20,LARDINI,플라워 스터드 스웨이드 글러브,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/259/240820028347259.jpg?RS=450&SP=1&QT=20,PAUL SMITH,미니 라벨 캐시미어 니트 글러브,N/A,"180,000",10%,N/A,N/A,신상,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/253/240820028347253.jpg?RS=450&SP=1&QT=20,PAUL SMITH,미니 라벨 캐시미어 니트 글러브,N/A,"180,000",10%,N/A,N/A,신상,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/395/240719024896395.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Men Collection] 마일로 레더 글러브,Collection],"190,000",5%,N/A,N/A,신상,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/458/240719024896458.jpg?RS=450&SP=1&QT=20,J.LINDEBERG,[Men Collection] 마일로 레더 글러브,Collection],"190,000",5%,N/A,N/A,신상,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/195/240821028502195.jpg?RS=450&SP=1&QT=20,LANSMERE,MEROLA 양가죽 장갑 블랙 (LA4987ME15),MEROLA,"313,500",5%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/926/240821028500926.jpg?RS=450&SP=1&QT=20,LANSMERE,MEROLA 양가죽 장갑 브릭 (LA4987ME2C),MEROLA,"313,500",5%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/423/240831030002423.jpg?RS=450&SP=1&QT=20,ELEVENTY,24FW 일레븐티 장갑 J77GUAJ08 TES0J283 Grey,J77GUAJ08,"376,550",15%,N/A,N/A,신규입고,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/179/240821028502179.jpg?RS=450&SP=1&QT=20,LANSMERE,MEROLA 사슴가죽 장갑 브릭 (LA4987ME3C),MEROLA,"370,500",5%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/144/240821028501144.jpg?RS=450&SP=1&QT=20,LANSMERE,MEROLA 사슴가죽 장갑 블랙 (LA4987ME35),MEROLA,"370,500",5%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/139/240821028501139.jpg?RS=450&SP=1&QT=20,LANSMERE,MEROLA 양가죽 장갑 브라운 (LA4987ME2D),MEROLA,"313,500",5%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/927/240829029655927.jpg?RS=450&SP=1&QT=20,ORCIANI,24FW 오르치아니 장갑 GU0090DRU NER Black,GU0090DRU,"334,900",15%,N/A,N/A,신규입고,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/753/240829029657753.jpg?RS=450&SP=1&QT=20,BARBOUR,24FW 바버 장갑 MGL0013 BR11 Brown,MGL0013,"256,700",15%,N/A,N/A,신규입고,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/903/240820028320903.jpg?RS=450&SP=1&QT=20,BRIONI,24FW 브리오니 장갑 O5M20L O1K22 Black,O5M20L,"488,750",15%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/106/240817028023106.jpg?RS=450&SP=1&QT=20,BURBERRY,24SS 버버리 장갑 8078828 Rope,N/A,"356,150",19%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/932/240817028045932.jpg?RS=450&SP=1&QT=20,BRIONI,24FW 브리오니 장갑 O5M20L O1K22 Black,O5M20L,"493,000",15%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/574/240817028046574.jpg?RS=450&SP=1&QT=20,PRADA,24FW 프라다 장갑 UMK75SOOO 15N5 Black,Black,"1,681,300",15%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/698/240107007965698.jpg?RS=450&SP=1&QT=20,CORNELIANI,브라운 클래식 레더 캐시미어 라이닝 글러브 CS9GVPS02,CS9GVPS02,"646,000",5%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/goods/org/964/230927006485964.jpg?RS=450&SP=1&QT=20,CORNELIANI,브라운 캐시미어 나파 레더 글러브 CS9GVPS03,CS9GVPS03,"836,000",5%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/096/240831030011096.jpg?RS=450&SP=1&QT=20,ELEVENTY,24FW 일레븐티 장갑 J77GUAJ08TES0J28306 Grey,J77GUAJ08TES0J28306,"350,200",33%,N/A,N/A,신규입고,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/694/240826029305694.jpg?RS=450&SP=1&QT=20,BOTTEGA VENETA,24FW 보테가베네타 장갑 804440 V0171 1000 BLACK,BLACK,"844,900",35%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/812/240724025199812.jpg?RS=450&SP=1&QT=20,ORCIANI,23FW 오르치아니 장갑 GU0092DRU TAB Tobacco,GU0092DRU,"241,400",15%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/062/240725025269062.jpg?RS=450&SP=1&QT=20,MSGM,23FW 엠에스지엠 장갑 3541MDN01237761 15 Fuchsia,N/A,"205,700",15%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/112/240725025276112.jpg?RS=450&SP=1&QT=20,ORCIANI,24SS 오르치아니 장갑 GU0090DRU TMO Brown,GU0090DRU,"296,650",15%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/599/240724025233599.jpg?RS=450&SP=1&QT=20,BOTTEGA VENETA,24FW 보테가베네타 장갑 769809V0171 1000 Black,Black,"1,148,350",15%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/215/240724025199215.jpg?RS=450&SP=1&QT=20,BOTTEGA VENETA,24FW 보테가베네타 장갑 769809V0171 8399 Grey,Grey,"1,148,350",15%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/996/240724025222996.jpg?RS=450&SP=1&QT=20,BOTTEGA VENETA,24FW 보테가베네타 장갑 769809V0171 2113 Brown,N/A,"1,148,350",15%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/428/240724025206428.jpg?RS=450&SP=1&QT=20,BURBERRY,24SS 버버리 장갑 8078831 Blue,Blue,"341,700",15%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/376/240620022050376.jpg?RS=450&SP=1&QT=20,ORCIANI,23FW 오르치아니 장갑 GU0103NFK TMO Brown,GU0103NFK,"260,100",15%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/112/240620022049112.jpg?RS=450&SP=1&QT=20,ORCIANI,23FW 오르치아니 장갑 GU0095SHV TAP Brown,GU0095SHV,"262,650",15%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/292/240830029975292.jpg?RS=450&SP=1&QT=20,MARINE SERRE,24FW 마린세르 장갑 USA018ACKNI0033 BK99 BLACK,BLACK,"444,550",34%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/289/240830029975289.jpg?RS=450&SP=1&QT=20,MARINE SERRE,24FW 마린세르 장갑 USA018ACKNI0033 GR70 STONE GREY,GR70,"444,550",34%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/309/240813027521309.jpg?RS=450&SP=1&QT=20,JACQUEMUS,24FW 자크뮈스 장갑 246AC668 5217 970 GREY,GREY,"403,750",26%,N/A,N/A,N/A,,,N/A
액세서리,남성 액세서리,장갑,https://image.sivillage.com/upload/C00001/s3/goods/org/819/240501015184819.jpg?RS=450&SP=1&QT=20,BURBERRY,[버버리] 남성 로고 인타르시아 투톤 장갑 8060107 LG CORE CASHMERE GLOVE A7028,LG,"248,200",25%,N/A,N/A,N/A,,,N/A
