top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
액세서리,남성 지갑,머니클립,https://image.sivillage.com/upload/C00001/s3/goods/org/721/240116008140721.jpg?RS=450&SP=1,GUCCI,구찌 YBF456904001 (456904) 스네이크 머니클립,N/A,"262,650",17%,N/A,N/A,N/A,,,N/A
액세서리,남성 지갑,머니클립,https://image.sivillage.com/upload/C00001/s3/goods/org/127/240530018969127.jpg?RS=450&SP=1,BOTTEGA VENETA,디몬트 24 S/S 보테가베네타 남성 인트레치아토 머니클립(네이비) 123180 V4651 1143,N/A,"480,250",19%,N/A,N/A,N/A,,,N/A
액세서리,남성 지갑,머니클립,https://image.sivillage.com/upload/C00001/s3/goods/org/989/240830029880989.jpg?RS=450&SP=1,TOM FORD,톰포드 남성 블랙 머니클립 Y0231_LCL158G1N001,Y0231_LCL158G1N001,"647,950",27%,N/A,N/A,N/A,,,N/A
액세서리,남성 지갑,머니클립,https://image.sivillage.com/upload/C00001/s3/goods/org/921/240903030407921.jpg?RS=450&SP=1,BALLY,발리 남성 블랙 머니클립 MLW06FVT199 U901P,MLW06FVT199,"334,300",56%,N/A,N/A,신규입고,,,N/A
액세서리,남성 지갑,머니클립,https://image.sivillage.com/upload/C00001/s3/goods/org/135/240430015096135.jpg?RS=450&SP=1&QT=20,BOTTEGA VENETA,보테가베네타 592626 V3US1 8803 인트레치아토 머니클립,N/A,"492,150",25%,N/A,N/A,N/A,,,N/A
액세서리,남성 지갑,머니클립,https://image.sivillage.com/upload/C00001/s3/goods/org/967/240708024163967.jpg?RS=450&SP=1&QT=20,TOM FORD,톰포드 YM340-LCL081G 1N001 TF 로고 그레인 레더 폴딩 머니클립,YM340-LCL081G,"458,150",28%,N/A,N/A,N/A,,,N/A
액세서리,남성 지갑,머니클립,https://image.sivillage.com/upload/C00001/s3/goods/org/117/240530018969117.jpg?RS=450&SP=1&QT=20,BOTTEGA VENETA,디몬트 24 S/S 보테가베네타 남성 인트레치아토 머니 클립(네이비) 592626 VCPQ4 4251,N/A,"531,250",25%,N/A,N/A,N/A,,,N/A
액세서리,남성 지갑,머니클립,https://image.sivillage.com/upload/C00001/goods/org/095/230216004204095.jpg?RS=450&SP=1&QT=20,GUCCI,[GUCCI]구찌 YBF678646001 머니클립,[GUCCI]구찌,"245,650",27%,N/A,N/A,N/A,,,N/A
액세서리,남성 지갑,머니클립,https://image.sivillage.com/upload/C00001/s3/goods/org/361/240710024367361.jpg?RS=450&SP=1&QT=20,PRADA,[PRADA] 24FW 사피아노 카드지갑/머니클립 2MN001 QME F0632,N/A,"721,650",27%,N/A,N/A,N/A,,,N/A
액세서리,남성 지갑,머니클립,https://image.sivillage.com/upload/C00001/s3/goods/org/238/240314010959238.jpg?RS=450&SP=1&QT=20,VERSACE,[베르사체] 남성 메두사 머니클립 DPU5978 1A03190 1B00V,N/A,"337,450",28%,N/A,N/A,N/A,,,N/A
