top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
액세서리,쥬얼리,귀걸이,다이아몬드 귀걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/567/240516017160567.jpg?RS=450&SP=1,MIKO,[미꼬] 앙상블 M 볼드 다이아몬드귀걸이,N/A,"1,752,750",22%,N/A,N/A,N/A,,,세일
액세서리,쥬얼리,귀걸이,다이아몬드 귀걸이,https://image.sivillage.com/upload/C00001/goods/org/077/230327004572077.jpg?RS=450&SP=1,SUEL,[수엘] 누드 다이아몬드 체인 이어링,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,귀걸이,다이아몬드 귀걸이,https://image.sivillage.com/upload/C00001/goods/org/810/221115003501810.jpg?RS=450&SP=1,DIA MOMO,디아모모 Vintage Milgrain Hook Earring,Vintage,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,귀걸이,다이아몬드 귀걸이,https://image.sivillage.com/upload/C00001/goods/org/774/230629005563774.jpg?RS=450&SP=1,Gianfranco Lotti,LOCKEY 14K골드 다이아귀걸이 LGDE0154U (F),LOCKEY,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,귀걸이,다이아몬드 귀걸이,https://image.sivillage.com/upload/C00001/goods/org/778/230629005563778.jpg?RS=450&SP=1&QT=20,Gianfranco Lotti,LOCKEY 14K골드 다이아귀걸이 LGDE0152U (F),LOCKEY,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,귀걸이,다이아몬드 귀걸이,https://image.sivillage.com/upload/C00001/goods/org/315/220426002391315.jpg?RS=450&SP=1&QT=20,DIA MOMO,디아모모 Vintage mood Chandelier Earring,Vintage,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,귀걸이,다이아몬드 귀걸이,https://image.sivillage.com/upload/C00001/goods/org/998/230629005559998.jpg?RS=450&SP=1&QT=20,Gianfranco Lotti,LOCKEY 14K골드 다이아귀걸이 L4DE0024WW,LOCKEY,"433,000",9%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,귀걸이,다이아몬드 귀걸이,https://image.sivillage.com/upload/C00001/goods/org/525/230629005560525.jpg?RS=450&SP=1&QT=20,Diame,로즈 14K골드 러브플라워 다이아몬드 귀걸이 UGDE1063UA,UGDE1063UA,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,귀걸이,다이아몬드 귀걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/867/240624022512867.jpg?RS=450&SP=1&QT=20,SUEL,[수엘] 에메랄드 & 다이아몬드 허기 이어링,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,귀걸이,다이아몬드 귀걸이,https://image.sivillage.com/upload/C00001/goods/org/360/220426002391360.jpg?RS=450&SP=1&QT=20,DIA MOMO,[윤아 착용] 디아모모 DIA-Dia Blossom Earring,Blossom,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,귀걸이,다이아몬드 귀걸이,https://image.sivillage.com/upload/C00001/goods/org/334/220426002391334.jpg?RS=450&SP=1&QT=20,DIA MOMO,디아모모 2ct DIA-Dia Round Brilliant Earring,Brilliant,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,귀걸이,다이아몬드 귀걸이,https://image.sivillage.com/upload/C00001/goods/org/307/220426002391307.jpg?RS=450&SP=1&QT=20,DIA MOMO,디아모모 Harace DIA-Dia Earring,Earring,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,귀걸이,다이아몬드 귀걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/216/240318011309216.jpg?RS=450&SP=1&QT=20,LES KOO,보우트 원터치 귀걸이(한짝),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,귀걸이,다이아몬드 귀걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/272/240129008503272.jpg?RS=450&SP=1&QT=20,LES KOO,랩다이아몬드 첼시 원터치 이어링,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,귀걸이,다이아몬드 귀걸이,https://image.sivillage.com/upload/C00001/goods/org/991/230823006042991.jpg?RS=450&SP=1&QT=20,LES KOO,3스톤 원터치 1부 귀걸이(한짝),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,귀걸이,다이아몬드 귀걸이,https://image.sivillage.com/upload/C00001/goods/org/616/230421004783616.jpg?RS=450&SP=1&QT=20,LES KOO,패싯 원터치 이어링,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,귀걸이,다이아몬드 귀걸이,https://image.sivillage.com/upload/C00001/goods/org/084/220914003108084.jpg?RS=450&SP=1&QT=20,ADDIR,[ADDIR] 6프롱 클래식 다이아몬드 이어링,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,귀걸이,다이아몬드 귀걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/362/240619021975362.jpg?RS=450&SP=1&QT=20,SUEL,[수엘] 다이아몬드 허기 이어링,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
