top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
액세서리,쥬얼리,목걸이/펜던트,진주/원석 목걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/851/240730025702851.jpg?RS=450&SP=1,RICK OWENS,[MEN]스몰 ORB 펜던트 네크리스,N/A,"2,261,000",5%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,목걸이/펜던트,진주/원석 목걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/401/240829029800401.png?RS=450&SP=1,COLDFRAME,VERY VINTAGE GREEN CHALCEDONY HEART PENDANT NECKLACE,VINTAGE,N/A,N/A,N/A,N/A,신규입고,,,N/A
액세서리,쥬얼리,목걸이/펜던트,진주/원석 목걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/489/240829029800489.png?RS=450&SP=1,COLDFRAME,BOTTIGLIA PEARL NECKLACE,BOTTIGLIA,N/A,N/A,N/A,N/A,신규입고,,,N/A
액세서리,쥬얼리,목걸이/펜던트,진주/원석 목걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/724/240805026213724.jpg?RS=450&SP=1,LES KOO,14k 담수진주 별 펜던트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,목걸이/펜던트,진주/원석 목걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/285/240703023446285.jpg?RS=450&SP=1&QT=20,HAZINA,[HAZINA] Rhizome Mini Pendant Necklace - Pink,Necklace,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,목걸이/펜던트,진주/원석 목걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/936/240509016193936.jpg?RS=450&SP=1&QT=20,MZUU,SEASONS Rope Layered Pearl Necklace,Layered,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,목걸이/펜던트,진주/원석 목걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/328/240220009119328.jpg?RS=450&SP=1&QT=20,HAZINA,[HAZINA] Gold De_Chain Necklace,Gold,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,목걸이/펜던트,진주/원석 목걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/233/240529018825233.jpg?RS=450&SP=1&QT=20,STAYGEM,스테이잼 14K 아코야진주 딸랑 목걸이,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/17_01_%EA%B3%A8%EB%93%9C.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/17_02_%EB%A1%9C%EC%A6%88%EA%B3%A8%EB%93%9C.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/20170628_%ED%99%94%EC%9D%B4%ED%8A%B8%EA%B3%A8%EB%93%9C.png","골드,로즈 골드,화이트 골드",N/A
액세서리,쥬얼리,목걸이/펜던트,진주/원석 목걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/265/240502015342265.jpg?RS=450&SP=1&QT=20,HAZINA,[HAZINA] Rainbow Pearl Funky Chunky Necklace,Pearl,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,목걸이/펜던트,진주/원석 목걸이,https://image.sivillage.com/upload/C00001/s3/goods/org/785/240726025428785.jpg?RS=450&SP=1&QT=20,HAZINA,[HAZINA] 10m Pink Opal Necklace,Opal,"279,000",6%,N/A,N/A,N/A,,,N/A
