top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
액세서리,쥬얼리,발찌,실버 발찌,https://image.sivillage.com/upload/C00001/goods/org/270/230703005596270.jpg?RS=450&SP=1,J.ESTINA,J.Livera 14K 발찌 (JJJTAQ3BF018R4230),J.Livera,"322,200",10%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,발찌,실버 발찌,https://image.sivillage.com/upload/C00001/goods/org/769/230629005560769.jpg?RS=450&SP=1,Gianfranco Lotti,ROMEO 실버반지 LSR5108W,LSR5108W,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,발찌,실버 발찌,https://image.sivillage.com/upload/C00001/s3/goods/org/675/240828029570675.jpg?RS=450&SP=1,COLDFRAME,EVERYDAY SILVER BALL BRACELET,SILVER,N/A,N/A,N/A,N/A,신규입고,,,N/A
액세서리,쥬얼리,발찌,실버 발찌,https://image.sivillage.com/upload/C00001/goods/org/957/230616005454957.jpg?RS=450&SP=1,STONEHENgE,[스톤헨지] SHe 실버 팔찌 K1665,N/A,"169,100",5%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,발찌,실버 발찌,https://image.sivillage.com/upload/C00001/s3/goods/org/827/240517017273827.jpg?RS=450&SP=1&QT=20,DIDIER DUBOT,시그니처 디 실버 발찌 JDRFT4S886W,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,발찌,실버 발찌,https://image.sivillage.com/upload/C00001/goods/org/967/230616005454967.jpg?RS=450&SP=1&QT=20,STONEHENgE,[스톤헨지] 실버 팔찌 K0972,N/A,"121,600",5%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,발찌,실버 발찌,https://image.sivillage.com/upload/C00001/goods/org/287/230622005501287.jpg?RS=450&SP=1&QT=20,J.ESTINA,[아이유 PICK] ETER 발찌 (JJERAQ3BS663SW230),N/A,"124,200",10%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,발찌,실버 발찌,https://image.sivillage.com/upload/C00001/goods/org/962/230616005454962.jpg?RS=450&SP=1&QT=20,STONEHENgE,[스톤헨지] 럭키유 실버 팔찌 K1427,N/A,"128,250",5%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,발찌,실버 발찌,https://image.sivillage.com/upload/C00001/goods/org/263/230703005596263.jpg?RS=450&SP=1&QT=20,J.ESTINA,J.Livera 발찌 (JJJTAQ3BF020SR230),J.Livera,"160,200",10%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,발찌,실버 발찌,https://image.sivillage.com/upload/C00001/goods/org/759/230621005489759.jpg?RS=450&SP=1&QT=20,STONEHENgE,[스톤헨지] DAL 실버 발찌 H0184,DAL,"140,600",5%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,발찌,실버 발찌,https://image.sivillage.com/upload/C00001/s3/goods/org/711/240620022132711.jpg?RS=450&SP=1&QT=20,J.ESTINA,[아이유 PICK] J.Livera 발찌 (JJJTAQ3BF019SW230),J.Livera,"115,200",10%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,발찌,실버 발찌,https://image.sivillage.com/upload/C00001/goods/org/578/230622005501578.jpg?RS=450&SP=1&QT=20,J.ESTINA,[아이유 PICK] CLOVIA 발찌 (JJCLAQ3BS165SW230),CLOVIA,"124,200",10%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,발찌,실버 발찌,https://image.sivillage.com/upload/C00001/goods/org/201/230927006481201.jpg?RS=450&SP=1&QT=20,ANIA HAIE,[아니아 하이에] 터키석 드롭 펜던트 925 실버 발찌 F044-01G,F044-01G,"88,200",10%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,발찌,실버 발찌,https://image.sivillage.com/upload/C00001/goods/org/226/230118003889226.jpeg?RS=450&SP=1&QT=20,ANIA HAIE,보헤미안 925 실버 발찌 F016-01H,N/A,"62,820",10%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,발찌,실버 발찌,https://image.sivillage.com/upload/C00001/goods/org/202/230927006481202.jpg?RS=450&SP=1&QT=20,ANIA HAIE,[아니아 하이에] 터키석 드롭 펜던트 925 실버 발찌 F044-01H,N/A,"88,200",10%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,발찌,실버 발찌,https://image.sivillage.com/upload/C00001/goods/org/828/230811005965828.jpg?RS=450&SP=1&QT=20,JUNECI,J & E 실버이니셜 원석 목걸이 'TOUCH',N/A,"69,300",10%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,발찌,실버 발찌,https://image.sivillage.com/upload/C00001/goods/org/876/230619005473876.jpg?RS=450&SP=1&QT=20,Tirr Lirr,웨이비 피오니 실버화이트 발찌 TASSVW11765M,N/A,"55,200",20%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,발찌,실버 발찌,https://image.sivillage.com/upload/C00001/goods/org/776/230310004448776.jpg?RS=450&SP=1&QT=20,Tirr Lirr,포인트 듀 실버화이트 발찌 TASSVW06784M-3,N/A,"31,200",20%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,발찌,실버 발찌,https://image.sivillage.com/upload/C00001/goods/org/774/230310004448774.jpg?RS=450&SP=1&QT=20,Tirr Lirr,슬림 듀 실버화이트 발찌 TASSVW00041M,N/A,"39,200",20%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,발찌,실버 발찌,https://image.sivillage.com/upload/C00001/goods/org/804/230310004448804.jpg?RS=450&SP=1&QT=20,Tirr Lirr,로지 튤리 실버화이트 발찌 TASSVW00057M,N/A,"47,200",20%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,발찌,실버 발찌,https://image.sivillage.com/upload/C00001/goods/org/720/230310004448720.jpg?RS=450&SP=1&QT=20,Tirr Lirr,로지 튤리 실버핑크 발찌 TASSVP00057M,N/A,"47,200",20%,N/A,N/A,N/A,,,N/A
