top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
액세서리,쥬얼리,순금,24K 팔찌,https://image.sivillage.com/upload/C00001/s3/goods/org/509/240129008506509.jpg?RS=450&SP=1,한국금거래소,한국금거래소 순금 장미 팔찌 11.25g,11.25g,N/A,N/A,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,24K 팔찌,https://image.sivillage.com/upload/C00001/s3/goods/org/678/240129008504678.jpg?RS=450&SP=1,한국금거래소,한국금거래소 순금 스터드 볼 두줄 팔찌 18.75g,18.75g,"2,757,450",8%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,24K 팔찌,https://image.sivillage.com/upload/C00001/s3/goods/org/322/240131008602322.jpg?RS=450&SP=1,CHERET,[CHERET 쉐레] 카시스 맨즈 컬렉션 CBFLCB06 24K 팔찌,CBFLCB06,"8,392,320",7%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,24K 팔찌,https://image.sivillage.com/upload/C00001/s3/goods/org/295/240131008602295.jpg?RS=450&SP=1,CHERET,[CHERET 쉐레] 미모사 컬렉션 CDSSMB17 24K 팔찌,N/A,"3,835,320",7%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,24K 팔찌,https://image.sivillage.com/upload/C00001/s3/goods/org/344/240131008602344.jpg?RS=450&SP=1&QT=20,CHERET,[CHERET 쉐레] 젠틀웨이브 컬렉션 CAFEGB12 24K 팔찌,CAFEGB12,"9,508,320",7%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,24K 팔찌,https://image.sivillage.com/upload/C00001/s3/goods/org/339/240131008602339.jpg?RS=450&SP=1&QT=20,CHERET,[CHERET 쉐레] 브리즈마린 컬렉션 CAFVBB01 24K 팔찌,N/A,"11,182,320",7%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,24K 팔찌,https://image.sivillage.com/upload/C00001/s3/goods/org/317/240131008602317.jpg?RS=450&SP=1&QT=20,CHERET,[CHERET 쉐레] 카시스 맨즈 컬렉션 CBFLCB02 24K 팔찌,CBFLCB02,"11,368,320",7%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,24K 팔찌,https://image.sivillage.com/upload/C00001/s3/goods/org/493/240116008147493.jpg?RS=450&SP=1&QT=20,삼성금거래소,[삼성금거래소] 순금 볼드 링크 팔찌 11.25g,11.25g,"1,696,320",15%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,24K 팔찌,https://image.sivillage.com/upload/C00001/s3/goods/org/055/240116008148055.jpg?RS=450&SP=1&QT=20,삼성금거래소,[삼성금거래소] 골드참 팔찌 18.75g,18.75g,"2,749,080",16%,N/A,N/A,N/A,,,N/A
액세서리,쥬얼리,순금,24K 팔찌,https://image.sivillage.com/upload/C00001/s3/goods/org/593/240116008147593.jpg?RS=450&SP=1&QT=20,삼성금거래소,[삼성금거래소] 24K 다이아몬드 쉐입 팔찌 3.75g,3.75g,"627,750",16%,N/A,N/A,N/A,,,N/A
