top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,데님,배기/조거,https://image.sivillage.com/upload/C00001/s3/goods/org/939/240814027638939.jpg?RS=450&SP=1,STUDIO TOMBOY,밑단 항아리핏 데님 팬츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,데님,배기/조거,https://image.sivillage.com/upload/C00001/s3/goods/org/664/240712024476664.jpg?RS=450&SP=1,G-CUT,백 패치 배기핏 데님 팬츠,N/A,N/A,N/A,5,2,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_01_%EB%B8%94%EB%A3%A8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_01_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","블루,그레이",N/A
여성의류,데님,배기/조거,https://image.sivillage.com/upload/C00001/s3/goods/org/817/240718024820817.jpg?RS=450&SP=1,ILAIL,세미 배기 핏 밴딩 데님 팬츠,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_100018_210114010651.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png","블루,블랙",N/A
여성의류,데님,배기/조거,https://image.sivillage.com/upload/C00001/s3/goods/org/635/240611020842635.jpg?RS=450&SP=1,VOV,프린티드 스트링 데님 팬츠,N/A,N/A,N/A,5,2,N/A,,,N/A
여성의류,데님,배기/조거,https://image.sivillage.com/upload/C00001/s3/goods/org/807/240802026005807.jpg?RS=450&SP=1&QT=20,STUDIO TOMBOY,생지 배기 데님팬츠,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_04_%EC%9D%B8%EB%94%94%EA%B3%A0.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_03_%EB%8B%A4%ED%81%AC_%EB%84%A4%EC%9D%B4%EB%B9%84.png","인디고,다크 네이비",N/A
여성의류,데님,배기/조거,https://image.sivillage.com/upload/C00001/s3/goods/org/557/240731025790557.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 다트 디테일 배기 핏 데님 팬츠,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,데님,배기/조거,https://image.sivillage.com/upload/C00001/s3/goods/org/195/240723025157195.jpg?RS=450&SP=1&QT=20,Yohji Yamamoto,[Y's]턱트 워시드 데님 팬츠,N/A,"1,396,500",5%,N/A,N/A,N/A,,,N/A
여성의류,데님,배기/조거,https://image.sivillage.com/upload/C00001/s3/goods/org/697/240701023217697.jpg?RS=450&SP=1&QT=20,Yohji Yamamoto,[Y's]패치 디테일 와이드 데님 팬츠,N/A,"1,833,500",5%,N/A,N/A,N/A,,,N/A
여성의류,데님,배기/조거,https://image.sivillage.com/upload/C00001/s3/goods/org/254/240621022317254.jpg?RS=450&SP=1&QT=20,ARMANI EXCHANGE,여성 워시드 로고 프린트 데님 진,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,데님,배기/조거,https://image.sivillage.com/upload/C00001/s3/goods/org/669/240701023217669.jpg?RS=450&SP=1&QT=20,Yohji Yamamoto,[Y's]원 턱 플리츠 데님 팬츠,N/A,"1,700,500",5%,N/A,N/A,N/A,,,N/A
