top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/211/240820028347211.jpg?RS=450&SP=1,REFORMATION,디스트로이드 데님 쇼츠 (Wilder High Rise Relaxed Jean Shorts),(Wilder,"247,000",5%,N/A,N/A,신상,,,N/A
여성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/308/240712024484308.jpg?RS=450&SP=1,RICK OWENS,[WOMEN] [DRKSHDW] 드로스트링 왁스 복서 쇼츠,N/A,"1,026,000",5%,N/A,N/A,N/A,,,N/A
여성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/271/240801025857271.jpg?RS=450&SP=1,RICK OWENS,[WOMEN] [DRKSHDW] 코티드 컷오프 쇼츠,N/A,"1,216,000",5%,N/A,N/A,N/A,,,N/A
여성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/009/240627022882009.jpg?RS=450&SP=1,ALEXANDER WANG,워시드 하이라이즈 데님 쇼츠,N/A,"522,500",5%,N/A,N/A,N/A,,,N/A
여성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/649/240625022641649.jpg?RS=450&SP=1&QT=20,ALEXANDER WANG,리피트 로고 프린지 데님 쇼츠,N/A,"522,500",5%,N/A,N/A,N/A,,,N/A
여성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/483/240729025611483.jpg?RS=450&SP=1&QT=20,REFORMATION,릴렉스트 데님 쇼츠 (Wilder High Rise Relaxed Jean Shorts),(Wilder,"247,000",5%,N/A,N/A,N/A,,,N/A
여성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/107/240627022882107.jpg?RS=450&SP=1&QT=20,ALEXANDER WANG,스트레치 데님 미드라이즈 스커트,N/A,"560,500",5%,N/A,N/A,N/A,,,N/A
여성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/454/240729025611454.jpg?RS=450&SP=1&QT=20,REFORMATION,프린지 트림 데님 쇼츠 (Wilder High Rise Relaxed Jean Shorts),(Wilder,"247,000",5%,N/A,N/A,N/A,,,N/A
여성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/101/240627022882101.jpg?RS=450&SP=1&QT=20,ALEXANDER WANG,스트레치 데님 미드라이즈 스커트,N/A,"560,500",5%,N/A,N/A,N/A,,,N/A
여성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/095/240627022882095.jpg?RS=450&SP=1&QT=20,ALEXANDER WANG,리피트 로고 핫픽스 데님 쇼츠,N/A,"997,500",5%,N/A,N/A,N/A,,,N/A
여성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/655/240625022641655.jpg?RS=450&SP=1&QT=20,ALEXANDER WANG,리피트 로고 프린지 데님 쇼츠,N/A,"522,500",5%,N/A,N/A,N/A,,,N/A
여성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/643/240625022641643.jpg?RS=450&SP=1&QT=20,ALEXANDER WANG,리피트 로고 프린지 데님 쇼츠,N/A,"522,500",5%,N/A,N/A,N/A,,,N/A
여성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/135/240820028335135.jpg?RS=450&SP=1&QT=20,VOV,원 턱 플리츠 데님 쇼츠,N/A,"175,200",20%,5,2,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_01_%EB%B8%94%EB%A3%A8.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","블루,블랙",N/A
여성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/326/240826029278326.jpg?RS=450&SP=1&QT=20,SOEUR,[쉐르] 24FW 쇼트팬츠 H24SHO1500CLEO BLEU,H24SHO1500CLEO,"283,100",5%,N/A,N/A,신상,,,N/A
여성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/s3/goods/org/886/240828029587886.jpg?RS=450&SP=1&QT=20,BALMAIN,24SS 발망 데님 숏팬츠 CF1MA120DE04 Blue,Blue,"1,591,200",15%,N/A,N/A,N/A,,,N/A
여성의류,데님,하프/숏,https://image.sivillage.com/upload/C00001/goods/org/888/230313004460888.jpg?RS=450&SP=1&QT=20,YCH,BUTTON-FRONT DENIM SHORTS,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
