top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/290/240821028548290.jpg?RS=450&SP=1,REFORMATION,플로럴 패턴 숏 슬리브 드레스 (Rhett Dress),N/A,"532,000",5%,N/A,N/A,신상,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/339/240628022960339.jpg?RS=450&SP=1,STUDIO TOMBOY,카고포켓 후드 원피스,N/A,N/A,N/A,4.8,9,N/A,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/403/240830029980403.jpg?RS=450&SP=1,SACAI,[여성]나일론 트윌 믹스 니트 드레스,N/A,"1,130,500",5%,N/A,N/A,신상,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/885/240826029289885.jpg?RS=450&SP=1,ALEXANDER WANG,핫픽스 크리스탈 모크넥 드레스,N/A,"1,947,500",5%,N/A,N/A,신상,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/595/240823028928595.jpg?RS=450&SP=1&QT=20,Yohji Yamamoto,[FEMME]드레이프 넥 셔츠 드레스,N/A,"1,700,500",5%,N/A,N/A,신상,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/943/240621022300943.jpg?RS=450&SP=1&QT=20,STUDIO TOMBOY,스티치 포인트 튜닉 원피스,N/A,N/A,N/A,5,5,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_01_%EC%B9%B4%ED%82%A4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png","카키,블랙",N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/796/240826029289796.jpg?RS=450&SP=1&QT=20,REFORMATION,퍼프 슬리브 린넨 드레스 (Anabella Linen Dress),(Anabella,"437,000",5%,N/A,N/A,신상,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/346/240821028548346.jpg?RS=450&SP=1&QT=20,REFORMATION,플로럴 프린트 캡 슬리브 드레스 (Amellia Silk Dress),(Amellia,"475,000",5%,N/A,N/A,신상,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/325/240821028548325.jpg?RS=450&SP=1&QT=20,REFORMATION,호피 숏 슬리브 드레스 (Marielle Dress),(Marielle,"437,000",5%,N/A,N/A,신상,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/304/240821028548304.jpg?RS=450&SP=1&QT=20,REFORMATION,스위트하트넥 린넨 롱 드레스 (Petites Cherise Linen Dress),Linen,"570,000",5%,N/A,N/A,신상,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/283/240821028548283.jpg?RS=450&SP=1&QT=20,REFORMATION,체크 패턴 숏 슬리브 드레스 (Rhett Dress),N/A,"532,000",5%,N/A,N/A,신상,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/269/240821028548269.jpg?RS=450&SP=1&QT=20,REFORMATION,플라워 프린트 롱 드레스 (Leana Dress),(Leana,"475,000",5%,N/A,N/A,신상,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/181/240821028548181.jpg?RS=450&SP=1&QT=20,REFORMATION,체리 패턴 숏 슬리브 드레스 (Davonne Dress),N/A,"418,000",5%,N/A,N/A,신상,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/122/240821028548122.jpg?RS=450&SP=1&QT=20,SACAI,[여성]나일론 코튼 저지 믹스 드레스,N/A,"1,396,500",5%,N/A,N/A,신상,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/109/240816027920109.jpg?RS=450&SP=1&QT=20,REFORMATION,도트 카라 레이온 드레스 (Petites Kaylia Dress),Kaylia,"475,000",5%,N/A,N/A,신상,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/500/240806026434500.jpg?RS=450&SP=1&QT=20,SACAI,[여성]초크 스트라이프 니트 드레스,N/A,"1,396,500",5%,N/A,N/A,신상,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/493/240806026434493.jpg?RS=450&SP=1&QT=20,SACAI,[여성]초크 스트라이프 니트 드레스,N/A,"1,396,500",5%,N/A,N/A,신상,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/624/240731025790624.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 보트넥 벨루어 티어드 드레스,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/535/240729025611535.jpg?RS=450&SP=1&QT=20,REFORMATION,도트 린넨 드레스 (Oaklyn Linen Dress),(Oaklyn,"437,000",5%,N/A,N/A,신상,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/742/240805026212742.jpg?RS=450&SP=1&QT=20,ERDEM,드레이프 숏 슬리브 드레스,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/760/240805026212760.jpg?RS=450&SP=1&QT=20,ERDEM,A라인 숏 슬리브 미디 드레스,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/573/240729025611573.jpg?RS=450&SP=1&QT=20,REFORMATION,레이스 브이넥 드레스 (Ketra Dress),N/A,"570,000",5%,N/A,N/A,N/A,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/565/240729025611565.jpg?RS=450&SP=1&QT=20,REFORMATION,플라워 A라인 드레스 (Marielle Dress),(Marielle,"437,000",5%,N/A,N/A,N/A,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/553/240729025611553.jpg?RS=450&SP=1&QT=20,REFORMATION,스트라이프 A라인 드레스 (Nonie Dress),N/A,"475,000",5%,N/A,N/A,N/A,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/812/240705023859812.jpg?RS=450&SP=1&QT=20,CECILIE BAHNSEN,OMARA DRESS (블랙),N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/798/240705023859798.jpg?RS=450&SP=1&QT=20,CECILIE BAHNSEN,OLENA DRESS (블랙),OLENA,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/553/240715024610553.jpg?RS=450&SP=1&QT=20,SACAI,[여성]플리츠 숏 슬리브 트위드 드레스,N/A,"2,498,500",5%,N/A,N/A,N/A,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/218/240701023217218.jpg?RS=450&SP=1&QT=20,STELLA McCARTNEY,페더 프린트 타이 튜닉 드레스,N/A,"2,745,500",5%,N/A,N/A,N/A,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/612/240705023873612.jpg?RS=450&SP=1&QT=20,CECILIE BAHNSEN,ALEXA DRESS (화이트),ALEXA,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/756/240418014166756.jpg?RS=450&SP=1&QT=20,G-CUT,밴딩 플레어 숏 슬리브 원피스,N/A,N/A,N/A,5,1,N/A,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/868/240709024283868.jpg?RS=450&SP=1&QT=20,DELLA LANA,코튼 벨티드 집업 원피스,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/13_01_%ED%95%91%ED%81%AC.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/15_03_%EB%8B%A4%ED%81%AC_%EB%B8%8C%EB%9D%BC%EC%9A%B4.png","핑크,다크 브라운",N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/313/240703023444313.jpg?RS=450&SP=1&QT=20,STUDIO TOMBOY,스티치포인트 튜닉원피스,N/A,N/A,N/A,5,1,N/A,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/275/240627022883275.jpg?RS=450&SP=1&QT=20,ALEXANDER WANG,피티드 엠보 로고 모크넥 드레스,N/A,"902,500",5%,N/A,N/A,N/A,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/359/240621022317359.jpg?RS=450&SP=1&QT=20,DELLA LANA,실크 코튼 히든 버튼업 플레어 원피스,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/004/240626022775004.jpg?RS=450&SP=1&QT=20,ILAIL,하프 집업 플레어 드레스,N/A,N/A,N/A,5,1,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_03_%EB%8B%A4%ED%81%AC_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/15_04_%EC%B9%B4%EB%A9%9C.png","다크 네이비,카멜",N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/725/240529018826725.jpg?RS=450&SP=1&QT=20,G-CUT,세일러 카라 레터링 밴딩 원피스,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","베이지,블랙",N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/102/240816027920102.jpg?RS=450&SP=1&QT=20,REFORMATION,콘트라스트 피티드 드레스 (Nadia Knit Dress),N/A,"190,000",5%,N/A,N/A,신상,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/003/240708024151003.jpg?RS=450&SP=1&QT=20,JAJU,여 루즈핏 포켓 5부 원피스,N/A,N/A,N/A,5,5,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_01_%EC%B9%B4%ED%82%A4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png","카키,네이비",N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/159/240403012858159.jpg?RS=450&SP=1&QT=20,G-CUT,하프 집업 플레어드 원피스,N/A,"159,520",20%,N/A,N/A,N/A,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/845/240711024410845.jpg?RS=450&SP=1&QT=20,G-CUT,레터링 프린트 플레어 원피스,N/A,"159,520",20%,5,1,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_01_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","베이지,블랙",N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/116/240403012858116.jpg?RS=450&SP=1&QT=20,G-CUT,백 플리츠 벨티드 원피스,N/A,"159,520",20%,4.7,16,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EC%B9%B4%ED%82%A4.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","라이트 카키,블랙,블랙",N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/811/240708024150811.jpg?RS=450&SP=1&QT=20,JAJU,여 코튼 카라 원피스,N/A,N/A,N/A,5,2,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","네이비,블랙",N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/736/240425014741736.jpg?RS=450&SP=1&QT=20,G-CUT,스몰 로고 저지 믹스 원피스,N/A,"181,300",30%,5,6,N/A,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/091/240702023326091.jpg?RS=450&SP=1&QT=20,VOV,볼 버튼 벨티드 셔츠 원피스,N/A,"168,000",29%,5,3,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_01_%EC%B9%B4%ED%82%A4.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","카키,블랙",N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/goods/org/060/220422002369060.jpg?RS=450&SP=1&QT=20,MANUELLE ET GUILLAUME,"[재입고] Moist navy robe , 8/30(금)경 발송",N/A,"269,100",10%,4.5,2,N/A,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/041/240527018532041.jpg?RS=450&SP=1&QT=20,G-CUT,래글런 벨티드 플레어 원피스,N/A,"145,040",44%,5,5,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png,https://image.sivillage.com/upload/C00001/goods/color/color_100053_240531101323.jpg","라이트베이지,카키 브라운",N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/760/240828029441760.jpg?RS=450&SP=1&QT=20,ALLSAINTS,올세인츠 레아 원피스 W300DB-9475,N/A,"454,100",5%,N/A,N/A,신규입고,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/762/240828029441762.jpg?RS=450&SP=1&QT=20,ALLSAINTS,올세인츠 오브리 원피스 W038DB-9479,N/A,"454,100",5%,N/A,N/A,신규입고,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/761/240828029441761.jpg?RS=450&SP=1&QT=20,ALLSAINTS,올세인츠 락 원피스 W287DB-5,N/A,"758,100",5%,N/A,N/A,신규입고,,,N/A
여성의류,드레스/점프수트,숏슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/909/240828029630909.jpg?RS=450&SP=1&QT=20,PLEATS PLEASE,24FW 플리츠플리즈 미디 원피스 PP48JH125 17,N/A,"551,650",55%,N/A,N/A,신규입고,,,N/A
