top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,라운지/파자마,로브/가운,https://image.sivillage.com/upload/C00001/s3/goods/org/205/240719024936205.jpg?RS=450&SP=1,JAJU,여 이중지 파자마 로브,N/A,N/A,N/A,5,2,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png","라이트 베이지,화이트",N/A
여성의류,라운지/파자마,로브/가운,https://image.sivillage.com/upload/C00001/s3/goods/org/725/240821028510725.jpg?RS=450&SP=1,HANRO,한로 조세핀 NW 로브 130cm(peach whip 74941) 여성스러운 롱 레이스 로브 가운,N/A,"688,500",19%,N/A,N/A,신규입고,,,세일
여성의류,라운지/파자마,로브/가운,https://image.sivillage.com/upload/C00001/s3/goods/org/131/240510016410131.png?RS=450&SP=1,FOR ME,FORME SILK ROBES,SILK,"378,000",10%,N/A,N/A,N/A,,,N/A
여성의류,라운지/파자마,로브/가운,https://image.sivillage.com/upload/C00001/s3/goods/org/361/240105007938361.jpg?RS=450&SP=1,HANRO,한로 Zelda NW 로브 130cm ( burgundy 76975),Zelda,"510,300",19%,N/A,N/A,N/A,,,세일
여성의류,라운지/파자마,로브/가운,https://image.sivillage.com/upload/C00001/s3/goods/org/967/240503015478967.jpg?RS=450&SP=1&QT=20,FOR ME,BRIDE ROBES,N/A,"275,400",23%,N/A,N/A,N/A,,,N/A
여성의류,라운지/파자마,로브/가운,https://image.sivillage.com/upload/C00001/goods/org/607/230601005338607.jpg?RS=450&SP=1&QT=20,FRANKLY!,Chess Robe - Choco Brown,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,라운지/파자마,로브/가운,https://image.sivillage.com/upload/C00001/goods/org/864/230602005346864.jpg?RS=450&SP=1&QT=20,FRANKLY!,Cruise Surf Robe - Pink,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,라운지/파자마,로브/가운,https://image.sivillage.com/upload/C00001/s3/goods/org/962/231205007292962.jpg?RS=450&SP=1&QT=20,FRANKLY!,[FS X GB] Silky Dot Pattern Robe,GB],"130,000",10%,N/A,N/A,N/A,,,세일
여성의류,라운지/파자마,로브/가운,https://image.sivillage.com/upload/C00001/goods/org/621/230601005338621.jpg?RS=450&SP=1&QT=20,FRANKLY!,Slip Dress - Black,Slip,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,라운지/파자마,로브/가운,https://image.sivillage.com/upload/C00001/goods/org/626/230601005338626.jpg?RS=450&SP=1&QT=20,FRANKLY!,Slip Dress - Pink,Slip,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,라운지/파자마,로브/가운,https://image.sivillage.com/upload/C00001/goods/org/590/230601005338590.jpg?RS=450&SP=1&QT=20,FRANKLY!,Chess Robe - ivory,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,라운지/파자마,로브/가운,https://image.sivillage.com/upload/C00001/goods/org/972/230601005340972.jpg?RS=450&SP=1&QT=20,FRANKLY!,Waffle Summer Robe Light Green,Waffle,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,라운지/파자마,로브/가운,https://image.sivillage.com/upload/C00001/goods/org/876/230602005346876.jpg?RS=450&SP=1&QT=20,FRANKLY!,Cruise Surf Robe - Stripe,N/A,N/A,N/A,5,1,N/A,,,N/A
여성의류,라운지/파자마,로브/가운,https://image.sivillage.com/upload/C00001/s3/goods/org/178/240521017773178.jpg?RS=450&SP=1&QT=20,FRANKLY!,"FRANKLY Logo Fetch Terry Robe, Orange",FRANKLY,"163,000",22%,N/A,N/A,N/A,,,N/A
여성의류,라운지/파자마,로브/가운,https://image.sivillage.com/upload/C00001/goods/org/005/230602005347005.jpg?RS=450&SP=1,FRANKLY!,South Coast Slip,Slip,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,라운지/파자마,로브/가운,https://image.sivillage.com/upload/C00001/s3/goods/org/184/240521017773184.jpg?RS=450&SP=1,FRANKLY!,"FRANKLY Logo Fetch Terry Robe, Green",FRANKLY,"163,000",22%,N/A,N/A,N/A,,,N/A
여성의류,라운지/파자마,로브/가운,https://image.sivillage.com/upload/C00001/goods/org/144/230510005014144.jpg?RS=450&SP=1,MOLLIOLLI,몰리올리 DAISY 스트랩 홀터넥 맥시 롱 원피스 [베이지],N/A,"89,770",52%,N/A,N/A,N/A,,,세일
여성의류,라운지/파자마,로브/가운,https://image.sivillage.com/upload/C00001/goods/org/619/230510005011619.jpg?RS=450&SP=1,MOLLIOLLI,몰리올리 PRIMROSE 스트라이프 셔츠 롱 원피스 [스트라이프 레드],N/A,"80,400",70%,N/A,N/A,N/A,,,세일
