top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,라운지/파자마,파자마 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/101/240802025994101.jpg?RS=450&SP=1,JAJU,"[SET] 남녀공용 코튼 파자마 셔츠, 파자마 팬츠",N/A,N/A,N/A,N/A,N/A,N/A,,,세트
여성의류,라운지/파자마,파자마 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/048/240802025994048.jpg?RS=450&SP=1,JAJU,"[SET] 여 소프트 7부 파자마 티셔츠, 파자마 팬츠",N/A,N/A,N/A,N/A,N/A,N/A,,,세트
여성의류,라운지/파자마,파자마 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/765/240715024614765.jpg?RS=450&SP=1,JAJU,여 소프트필 파자마 세트,N/A,N/A,N/A,5,3,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_110021_210114010651.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_05_%EC%B0%A8%EC%BD%9C_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","브라운,네이비,챠콜",N/A
여성의류,라운지/파자마,파자마 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/886/240719024935886.jpg?RS=450&SP=1,JAJU,여 코튼 스트레치 10부 파자마 세트,N/A,N/A,N/A,4.9,67,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/13_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%ED%95%91%ED%81%AC.png,https://image.sivillage.com/upload/C00001/goods/color/color_110021_210114010651.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/15_03_%EB%8B%A4%ED%81%AC_%EB%B8%8C%EB%9D%BC%EC%9A%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/04_02_%EC%95%84%EC%9D%B4%EB%B3%B4%EB%A6%AC.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/06_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EC%98%90%EB%A1%9C%EC%9A%B0.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/07_03_%EB%8B%A4%ED%81%AC_%EC%98%A4%EB%A0%8C%EC%A7%80.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%B8%94%EB%A3%A8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_01_%EB%B8%94%EB%A3%A8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_03_%EB%8B%A4%ED%81%AC_%EB%84%A4%EC%9D%B4%EB%B9%84.png","라이트 핑크,브라운,다크 브라운,라이트 그레이,아이보리,라이트 옐로우,다크 오렌지,라이트 블루,스카이블루,네이비,다크 네이비",N/A
여성의류,라운지/파자마,파자마 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/780/240715024614780.jpg?RS=450&SP=1&QT=20,JAJU,여 더블 코튼 파자마 세트,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/04_02_%EC%95%84%EC%9D%B4%EB%B3%B4%EB%A6%AC.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/13_01_%ED%95%91%ED%81%AC.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png","아이보리,핑크,네이비",N/A
여성의류,라운지/파자마,파자마 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/444/240213008943444.jpg?RS=450&SP=1&QT=20,JAJU,"[SET] 여 스마트 코튼 라운드넥 긴팔 파자마 티셔츠, 10부 파자마 팬츠",N/A,N/A,N/A,3.8,7,N/A,,,세트
여성의류,라운지/파자마,파자마 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/426/240708024151426.jpg?RS=450&SP=1&QT=20,JAJU,여 피치스킨 파자마 세트,N/A,N/A,N/A,5,5,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_03_%EB%8B%A4%ED%81%AC_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/13_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%ED%95%91%ED%81%AC.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/13_01_%ED%95%91%ED%81%AC.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","다크 네이비,라이트 핑크,네이비,핑크,라이트 그레이",N/A
여성의류,라운지/파자마,파자마 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/500/240715024614500.jpg?RS=450&SP=1&QT=20,JAJU,여 스마트 코튼 10부 파자마 세트,N/A,N/A,N/A,4.9,48,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_03_%EB%8B%A4%ED%81%AC_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_01_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_04_%EB%A9%9C%EB%9E%80%EC%A7%80_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/04_02_%EC%95%84%EC%9D%B4%EB%B3%B4%EB%A6%AC.png","다크 네이비,라이트 그레이,베이지,네이비,멜란지 그레이,아이보리",N/A
여성의류,라운지/파자마,파자마 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/117/240802025994117.jpg?RS=450&SP=1&QT=20,JAJU,"[SET] 여 피치스킨 파자마 티셔츠, 파자마 팬츠",N/A,N/A,N/A,N/A,N/A,N/A,,,세트
여성의류,라운지/파자마,파자마 세트,https://image.sivillage.com/upload/C00001/s3/goods/org/189/240213008948189.jpg?RS=450&SP=1&QT=20,JAJU,"[SET] 여 소프트 스웨트 후드 크롭 파자마 티셔츠, 와이드핏 10부 파자마 팬츠",N/A,N/A,N/A,5,5,N/A,,,세트
