top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,라운지/파자마,파자마 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/344/240813027496344.jpg?RS=450&SP=1,JAJU,여 이중지 체크 파자마 원피스,N/A,N/A,N/A,5,1,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/13_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%ED%95%91%ED%81%AC.png","라이트 그레이,라이트 핑크",N/A
여성의류,라운지/파자마,파자마 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/376/240708024151376.jpg?RS=450&SP=1,JAJU,여 피치스킨 파자마 원피스,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/13_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%ED%95%91%ED%81%AC.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_03_%EB%8B%A4%ED%81%AC_%EB%84%A4%EC%9D%B4%EB%B9%84.png","라이트 핑크,네이비,다크 네이비",N/A
여성의류,라운지/파자마,파자마 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/894/240612020907894.jpg?RS=450&SP=1,JAJU,여 스트라이프 7부 파자마 원피스,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/04_02_%EC%95%84%EC%9D%B4%EB%B3%B4%EB%A6%AC.png,https://image.sivillage.com/upload/C00001/goods/color/color_110021_210114010651.png","아이보리,브라운",N/A
여성의류,라운지/파자마,파자마 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/277/240708024151277.jpg?RS=450&SP=1,JAJU,여 코튼 도트 파자마 원피스,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_01_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_04_%EB%A9%9C%EB%9E%80%EC%A7%80_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_05_%EC%B0%A8%EC%BD%9C_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","베이지,멜란지 그레이,챠콜",N/A
여성의류,라운지/파자마,파자마 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/175/240719024936175.jpg?RS=450&SP=1&QT=20,JAJU,여 이중지 파자마 원피스,N/A,N/A,N/A,5,1,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%B2%A0%EC%9D%B4%EC%A7%80.png","네이비,화이트,라이트 베이지",N/A
여성의류,라운지/파자마,파자마 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/192/240612020907192.jpg?RS=450&SP=1&QT=20,JAJU,여 소프트 7부 파자마 원피스,N/A,N/A,N/A,5,2,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_03_%EB%8B%A4%ED%81%AC_%EB%84%A4%EC%9D%B4%EB%B9%84.png","네이비,라이트 베이지,다크 네이비",N/A
여성의류,라운지/파자마,파자마 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/150/240719024936150.jpg?RS=450&SP=1&QT=20,JAJU,여 코튼 립 파자마 원피스,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_110021_210114010651.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_04_%EB%A9%9C%EB%9E%80%EC%A7%80_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","브라운,멜란지 그레이,블랙",N/A
여성의류,라운지/파자마,파자마 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/182/240612020907182.jpg?RS=450&SP=1&QT=20,JAJU,여 스마트 코튼 파자마 원피스,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_05_%EC%B0%A8%EC%BD%9C_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_03_%EB%8B%A4%ED%81%AC_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","챠콜,다크 네이비,라이트 그레이",N/A
여성의류,라운지/파자마,파자마 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/747/240829029790747.jpg?RS=450&SP=1&QT=20,HANRO,한로 Josephine NW L/SLV Nightdress 95 cm (deep taupe 74938) 브이넥 롱슬리브 나이트 잠옷 드레스,L/SLV,"585,000",10%,N/A,N/A,신규입고,,,N/A
여성의류,라운지/파자마,파자마 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/725/240821028510725.jpg?RS=450&SP=1&QT=20,HANRO,한로 조세핀 NW 로브 130cm(peach whip 74941) 여성스러운 롱 레이스 로브 가운,N/A,"688,500",19%,N/A,N/A,신규입고,,,세일
여성의류,라운지/파자마,파자마 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/361/240105007938361.jpg?RS=450&SP=1&QT=20,HANRO,한로 Zelda NW 로브 130cm ( burgundy 76975),Zelda,"510,300",19%,N/A,N/A,N/A,,,세일
여성의류,라운지/파자마,파자마 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/872/240411013424872.jpg?RS=450&SP=1&QT=20,FRANKLY!,See-Through Long Top,See-Through,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,라운지/파자마,파자마 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/962/231205007292962.jpg?RS=450&SP=1,FRANKLY!,[FS X GB] Silky Dot Pattern Robe,GB],"130,000",10%,N/A,N/A,N/A,,,세일
여성의류,라운지/파자마,파자마 원피스,https://image.sivillage.com/upload/C00001/goods/org/641/230213004177641.jpg?RS=450&SP=1,BASERANGE,SHAW LONG SLEEVE KAFTAN DRSH-RIB-000-BK,LONG,"148,750",51%,N/A,N/A,N/A,,,N/A
여성의류,라운지/파자마,파자마 원피스,https://image.sivillage.com/upload/C00001/goods/org/625/230213004177625.jpg?RS=450&SP=1,BASERANGE,SHAW LONG SLEEVE KAFTAN DRSH-RIB-000-OW,LONG,"148,750",51%,N/A,N/A,N/A,,,N/A
여성의류,라운지/파자마,파자마 원피스,https://image.sivillage.com/upload/C00001/goods/org/632/230213004177632.jpg?RS=450&SP=1,BASERANGE,SHAW LONG SLEEVE KAFTAN DRSH-RIB-000-GM,LONG,"148,750",51%,N/A,N/A,N/A,,,N/A
