top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/801/240701023217801.jpg?RS=450&SP=1,Yohji Yamamoto,[REGULATION]와이드 언발 후드 집업,[REGULATION]와이드,"1,529,500",5%,N/A,N/A,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/818/240626022773818.jpg?RS=450&SP=1,SACAI,[여성]백 플리츠 스펀지 후디드 집업,N/A,"1,130,500",5%,5,1,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/422/240807026550422.jpg?RS=450&SP=1,STUDIO TOMBOY,피그먼트 저지 집업,N/A,N/A,N/A,5,2,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/04_03_%EC%98%A4%ED%8A%B8%EB%B0%80.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","오트밀,라이트 그레이",N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/397/240805026274397.jpg?RS=450&SP=1,EMPORIO ARMANI,여성 이글 로고 후디드 집업 자켓,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/862/240730025702862.jpg?RS=450&SP=1&QT=20,RICK OWENS,[WOMEN] [DRKSHDW] 크롭트 하이넥 집업,N/A,"1,121,000",5%,N/A,N/A,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/493/240715024610493.jpg?RS=450&SP=1&QT=20,SACAI,[여성]볼륨 숏 슬리브 후드 집업,N/A,"788,500",5%,5,1,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/486/240715024610486.jpg?RS=450&SP=1&QT=20,SACAI,[여성]와이드 슬리브 후드 집업,N/A,"788,500",5%,N/A,N/A,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/770/240626022773770.jpg?RS=450&SP=1&QT=20,SACAI,[여성]백 플리츠 스펀지 후디드 집업,N/A,"1,130,500",5%,5,2,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/780/240621022281780.jpg?RS=450&SP=1&QT=20,ARMANI EXCHANGE,여성 자수 로고 스트링 후드 집업,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/899/240626022773899.jpg?RS=450&SP=1&QT=20,SACAI,[여성]래글런 스트링 헴 후디 집업,N/A,"712,500",5%,N/A,N/A,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/751/240711024407751.jpg?RS=450&SP=1&QT=20,STUDIO TOMBOY,네오프렌 후드집업,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_04_%EB%A9%9C%EB%9E%80%EC%A7%80_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png","멜란지 그레이,블랙",N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/358/240829029790358.jpg?RS=450&SP=1&QT=20,VUORI,[여성] 그라나이트 풀 집업,N/A,"170,100",19%,N/A,N/A,신상,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/454/240729025634454.jpg?RS=450&SP=1&QT=20,JAJU,여 액티브 긴팔 반집업,N/A,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_01_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","화이트,블랙",N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/934/240729025633934.jpg?RS=450&SP=1&QT=20,JAJU,여 하프 집업 스웨트 셔츠,N/A,"29,900",25%,4.9,16,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_04_%EB%A9%9C%EB%9E%80%EC%A7%80_%EA%B7%B8%EB%A0%88%EC%9D%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_01_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_01_%EB%B8%94%EB%A3%A8.png","라이트 네이비,멜란지 그레이,베이지,스카이블루",N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/904/240729025614904.jpg?RS=450&SP=1&QT=20,YCH,ZIP-UP COTTON HOODIE GREY (F24OT0121GY),GREY,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/907/240729025614907.jpg?RS=450&SP=1&QT=20,YCH,ZIP-UP COTTON HOODIE BLACK (F24OT0121BK),BLACK,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/035/240524018128035.jpg?RS=450&SP=1&QT=20,ALLSAINTS,올세인츠 액세스 암피아 후디 W091JA-10,N/A,"283,100",5%,N/A,N/A,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/goods/org/980/230907006208980.jpg?RS=450&SP=1&QT=20,KIMZISU,Embroidery Zip-Up Track Jacket _Black,_Black,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/goods/org/793/220429002418793.jpg?RS=450&SP=1&QT=20,YCH,[SS22] ZIPPER DETAILED TOP,DETAILED,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/goods/org/916/200911000882916.jpg?RS=450&SP=1&QT=20,TAZE,Zipper Deck Sweatshirt (Red),N/A,"217,550",5%,N/A,N/A,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/goods/org/211/230828006071211.jpg?RS=450&SP=1&QT=20,AMERICAN VINTAGE,[아메리칸 빈티지] WOMEN'S ZIPPED SWEATSHIRT IZUBIRD,N/A,"234,650",5%,N/A,N/A,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/goods/org/943/231024006658943.jpg?RS=450&SP=1&QT=20,NYLORA,SALLY JACKET NAVY,SALLY,N/A,N/A,5,2,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_05_%EB%8B%A4%ED%81%AC_%EC%9D%B8%EB%94%94%EA%B3%A0.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/04_01_%ED%81%AC%EB%A6%BC.png","다크 인디고,크림",N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/668/240206008813668.jpg?RS=450&SP=1&QT=20,NYLORA,CLAIRE JACKET SHERBET,CLAIRE,N/A,N/A,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/07_02_%EB%9D%BC%EC%9D%B4%ED%8A%B8_%EC%98%A4%EB%A0%8C%EC%A7%80.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/03_01_%EB%B8%94%EB%9E%99.png","라이트 오렌지,블랙",N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/goods/org/628/230825006058628.png?RS=450&SP=1&QT=20,NYLORA,ELODIE TOP GREY,ELODIE,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/goods/org/907/231123007138907.jpg?RS=450&SP=1&QT=20,NYLORA,REID JACKET BLACK,BLACK,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/goods/org/588/220607002610588.jpg?RS=450&SP=1&QT=20,GOLDEN GOOSE KOREA,골든구스 여성 스타 데니스 트랙 집업 자켓 GWP00875 P000520 81347,GWP00875,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/goods/org/640/220110001923640.jpg?RS=450&SP=1&QT=20,GOLDEN GOOSE KOREA,골든구스 여성 스타 데니스 트랙 집업 자켓 GWP00875 P000520 80203,GWP00875,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/goods/org/650/230913006381650.jpg?RS=450&SP=1&QT=20,YCH,TWO WAY ZIP HOODED JACKET,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/goods/org/640/230913006381640.jpg?RS=450&SP=1&QT=20,YCH,TWO WAY ZIP HOODED JACKET,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/goods/org/789/220429002418789.jpg?RS=450&SP=1&QT=20,YCH,[SS22] ZIPPER DETAILED TOP,DETAILED,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/604/240829029787604.jpg?RS=450&SP=1&QT=20,LACOSTE,[라코스테] 여성 하프집업 티셔츠 SF276E-54N 166,N/A,"179,100",10%,N/A,N/A,신규입고,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/338/240829029787338.jpg?RS=450&SP=1&QT=20,LACOSTE,[라코스테] 여성 CP쮸리 카라 하프 집업 SF951E-54N KB2,N/A,"152,100",10%,N/A,N/A,신규입고,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/820/240725025264820.jpg?RS=450&SP=1&QT=20,THOM BROWNE,[톰브라운] 여성 4바 스트라이프 후드 집업 FJT001A 00535 055,N/A,"807,500",22%,N/A,N/A,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/409/240129008502409.jpg?RS=450&SP=1&QT=20,MAX MARA,[막스마라] 에스막스마라 이노쿠오 INNOCUO 2399260139600 002 기모안감 후드집업,N/A,"246,500",16%,N/A,N/A,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/goods/org/890/230407004673890.jpg?RS=450&SP=1&QT=20,GOEN.J,Knotted detail cotton-jersey zip-up hoodie,detail,"597,780",19%,N/A,N/A,N/A,,,세일
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/277/240823028903277.jpg?RS=450&SP=1&QT=20,LACOSTE,[라코스테] 여성 에센셜 후드 집업 티셔츠 SF9213-54N 166,N/A,"161,100",10%,N/A,N/A,N/A,,,N/A
여성의류,맨투맨/후디,집업,https://image.sivillage.com/upload/C00001/s3/goods/org/492/240819028279492.jpg?RS=450&SP=1&QT=20,LACOSTE,[라코스테] 여성 CP쮸리 하이넥 집업 SF931E-54N CCA,N/A,"161,100",10%,N/A,N/A,N/A,,,N/A
