top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/231/240820028347231.jpg?RS=450&SP=1,ALEXANDER WANG,크리스탈 핫픽스 미니 스커트,N/A,"940,500",5%,N/A,N/A,신상,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/948/240820028377948.jpg?RS=450&SP=1,STELLA McCARTNEY,헤링본 체인 디테일 미니 스커트,N/A,"1,301,500",5%,N/A,N/A,신상,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/910/240814027642910.jpg?RS=450&SP=1,RICK OWENS,[WOMEN] 아웃 포켓 울 미니 스커트,N/A,"1,501,000",5%,N/A,N/A,신상,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/583/240802026006583.jpg?RS=450&SP=1,ALEXANDER WANG,빅 포켓 카고 미니 스커트,N/A,"1,187,500",5%,N/A,N/A,신상,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/590/240802026006590.jpg?RS=450&SP=1&QT=20,ALEXANDER WANG,빅 포켓 카고 미니 스커트,N/A,"1,187,500",5%,5,1,신상,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/666/240716024694666.jpg?RS=450&SP=1&QT=20,ALEXANDER WANG,플리티드 밴딩 로고 스커트,N/A,"693,500",5%,N/A,N/A,N/A,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/262/240701023217262.jpg?RS=450&SP=1&QT=20,STELLA McCARTNEY,마블 니트 플레어 스커트,N/A,"1,225,500",5%,N/A,N/A,N/A,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/323/240530018922323.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 플리티드 플레어 스커트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/688/240614021237688.jpg?RS=450&SP=1&QT=20,PAUL SMITH,[PS PAUL SMITH] 여성 리본 타이 랩 스커트,PAUL,"540,000",10%,N/A,N/A,N/A,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/329/240530018922329.jpg?RS=450&SP=1&QT=20,EMPORIO ARMANI,여성 와플 패턴 플레어 스커트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/700/240627022882700.jpg?RS=450&SP=1&QT=20,ALEXANDER WANG,리브드 밴딩 미니 스커트,N/A,"617,500",5%,N/A,N/A,N/A,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/goods/org/783/230802005876783.jpg?RS=450&SP=1&QT=20,VOV,[AR/CHIVE] 스티치 포인트 니트 스커트,N/A,"239,200",20%,N/A,N/A,N/A,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/487/240502015357487.jpg?RS=450&SP=1&QT=20,G-CUT,웰트 포켓 트위드 스커트,N/A,"111,300",30%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/04_02_%EC%95%84%EC%9D%B4%EB%B3%B4%EB%A6%AC.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","아이보리,블랙",N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/802/240812027285802.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 스커트 W04GSKW00009_017 06A 08A,W04GSKW00009_017,"273,600",5%,N/A,N/A,신상,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/799/240812027285799.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 스커트 W04GSKW00004_414A 06A 08A,W04GSKW00004_414A,"620,350",5%,N/A,N/A,신상,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/808/240812027285808.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 스커트 W04GSKW00035_582 06A 08A,W04GSKW00035_582,"496,850",5%,N/A,N/A,신상,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/086/240830029966086.jpg?RS=450&SP=1&QT=20,ZIMMERMANN,24FW 짐머만 숏 스커트 1258SSS242 MPAI Multicolor,Multicolor,"1,015,750",15%,N/A,N/A,신규입고,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/705/240830029965705.jpg?RS=450&SP=1&QT=20,MOSCHINO,24FW 모스키노 숏 스커트 01105513 1555 Black,Black,"876,350",15%,N/A,N/A,신규입고,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/281/240830029965281.jpg?RS=450&SP=1&QT=20,GENNY,24SS 제니 숏 스커트 76AAE305N0316 003 White,N/A,"491,300",15%,N/A,N/A,신규입고,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/800/240830029965800.jpg?RS=450&SP=1&QT=20,STAUD,24FW 스타우드 숏 스커트 R24P6136PT BLK Black,BLK,"458,150",15%,N/A,N/A,신규입고,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/053/240902030328053.jpg?RS=450&SP=1&QT=20,NORMA KAMALI,24FW 노마카말리 숏 스커트 ST223SLSV773001 Black,ST223SLSV773001,"579,700",15%,N/A,N/A,신규입고,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/535/240902030326535.jpg?RS=450&SP=1&QT=20,NORMA KAMALI,24FW 노마카말리 숏 스커트 KK322SPL773951 Black,KK322SPL773951,"583,950",15%,N/A,N/A,신규입고,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/316/240902030328316.jpg?RS=450&SP=1&QT=20,ELISABETTA FRANCHI,24FW 엘리자베타프랜치 숏 스커트 GO037 CG3 Burgundy,GO037,"557,600",15%,N/A,N/A,신규입고,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/191/240830029966191.jpg?RS=450&SP=1&QT=20,GIVENCHY,24FW 지방시 숏 스커트 BW40W915CT 001 Black,Black,"1,805,400",15%,N/A,N/A,신규입고,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/969/240830029965969.jpg?RS=450&SP=1&QT=20,GIVENCHY,24SS 지방시 숏 스커트 BW40LL4ZKD 001 Black,BW40LL4ZKD,"1,165,350",15%,N/A,N/A,신규입고,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/951/240902030327951.jpg?RS=450&SP=1&QT=20,GUCCI,24FW 구찌 숏 스커트 800365 XKD8R Pink,N/A,"2,110,550",15%,N/A,N/A,신규입고,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/573/240830029969573.jpg?RS=450&SP=1&QT=20,TWINSET,24FW 트윈세트 숏 스커트 242TP3771 Neutrals,Neutrals,"504,900",16%,N/A,N/A,신규입고,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/084/240830029969084.jpg?RS=450&SP=1&QT=20,SSHEENA,24SS 쉬나 숏 스커트 KUTSFS24001 Black,Black,"749,700",16%,N/A,N/A,신규입고,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/347/240830029969347.jpg?RS=450&SP=1&QT=20,MAGDA BUTRYM,24FW 마그다뷰트림 숏 스커트 171924 Red,N/A,"2,374,900",16%,N/A,N/A,신규입고,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/184/240828029577184.jpg?RS=450&SP=1&QT=20,BALMAIN,24FW 발망 숏 스커트 DF1LBA20XC67 White,DF1LBA20XC67,"3,898,950",15%,N/A,N/A,신규입고,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/788/240828029576788.jpg?RS=450&SP=1&QT=20,ANINE BING,24FW 애니빙 숏 스커트 A0410388BLK26 Black,A0410388BLK26,"619,650",15%,N/A,N/A,신규입고,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/194/240828029577194.jpg?RS=450&SP=1&QT=20,ALESSANDRA RICH,24FW 알레산드라리치 숏 스커트 FABX3849F3593 Black,Black,"982,600",15%,N/A,N/A,신규입고,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/891/240828029576891.jpg?RS=450&SP=1&QT=20,MSGM,24FW 엠에스지엠 숏 스커트 3741MDD19247618 99 Black,Black,"515,950",15%,N/A,N/A,신규입고,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/987/240828029576987.jpg?RS=450&SP=1&QT=20,MARINE SERRE,24FW 마린세르 숏 스커트 WSK063ACWOV0024 Black,Black,"1,228,250",15%,N/A,N/A,신규입고,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/068/240828029577068.jpg?RS=450&SP=1&QT=20,GANNI,24FW 가니 숏 스커트 F9563 Brown,N/A,"420,750",16%,N/A,N/A,신규입고,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/932/240828029567932.jpg?RS=450&SP=1&QT=20,GANNI,24FW 가니 숏 스커트 F9275 099 Black,Black,"388,450",15%,N/A,N/A,신규입고,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/693/240828029567693.jpg?RS=450&SP=1&QT=20,MAX MARA,23FW 막스마라 숏 스커트 BOBBIO 002,N/A,"923,100",15%,N/A,N/A,신규입고,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/810/240828029567810.jpg?RS=450&SP=1&QT=20,MONCLER,23SS 몽클레어 숏 스커트 2D00005596PR F09,N/A,"1,065,050",15%,N/A,N/A,신규입고,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/210/240823028935210.jpg?RS=450&SP=1&QT=20,MSGM,24FW 엠에스지엠 숏 스커트 3741MDB11247625 18 Red,N/A,"612,000",15%,N/A,N/A,N/A,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/590/240824028942590.jpg?RS=450&SP=1&QT=20,DOLCE & GABBANA,24SS 돌체앤가바나 숏 스커트 F4CRPTFLSEP W4335 Silver,F4CRPTFLSEP,"1,082,050",15%,N/A,N/A,N/A,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/174/240824028936174.jpg?RS=450&SP=1&QT=20,BLUMARINE,24SS 블루마린 숏 스커트 2J131A D5579 Brown,N/A,"681,700",15%,N/A,N/A,N/A,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/884/240824028994884.jpg?RS=450&SP=1&QT=20,JUNYA WATANABE,24FW 와타나베 준야 숏 스커트 24AJN S003 1 BLACK BLACK,BLACK,"1,945,650",15%,N/A,N/A,N/A,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/597/240824028942597.jpg?RS=450&SP=1&QT=20,THE ATTICO,24FW 디 아티코 숏 스커트 248WCS136D090 734 Blue,Blue,"1,275,000",15%,N/A,N/A,N/A,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/815/240816027819815.jpg?RS=450&SP=1&QT=20,ALLSAINTS,올세인츠 레나이 스커트 W020RB-5,N/A,"321,100",5%,N/A,N/A,N/A,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/750/240828029594750.jpg?RS=450&SP=1&QT=20,THOM BROWNE,24SS 톰브라운 숏 스커트 FJK117AJ0144 960 Striped,N/A,"1,723,800",15%,N/A,N/A,N/A,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/512/240827029424512.jpg?RS=450&SP=1&QT=20,MAGDA BUTRYM,24FW 마그다뷰트림 숏 스커트 207724 Black,Black,"1,383,800",15%,N/A,N/A,N/A,,,N/A
여성의류,스커트,미니,https://image.sivillage.com/upload/C00001/s3/goods/org/593/240824028942593.jpg?RS=450&SP=1&QT=20,TWINSET,24SS 트윈세트 숏 스커트 241TT2425 11679 Ivory,N/A,"249,050",15%,N/A,N/A,N/A,,,N/A
