top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,아우터,다운/패딩,롱/헤비,https://image.sivillage.com/upload/C00001/s3/goods/org/770/240809026900770.jpg?RS=450&SP=1,HERNO,여성 빅 스트랩 후드 다운 패딩 코트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,아우터,다운/패딩,롱/헤비,https://image.sivillage.com/upload/C00001/s3/goods/org/593/240531019112593.jpg?RS=450&SP=1,HERNO,여성 빅 스트링 후드 다운 패딩 코트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,아우터,다운/패딩,롱/헤비,https://image.sivillage.com/upload/C00001/s3/goods/org/823/240618021754823.jpg?RS=450&SP=1,HERNO,여성 글로시 후디드 다운 패딩 코트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,아우터,다운/패딩,롱/헤비,https://image.sivillage.com/upload/C00001/s3/goods/org/543/240531019112543.jpg?RS=450&SP=1,HERNO,여성 라운드 헴 다운 패딩 코트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,아우터,다운/패딩,롱/헤비,https://image.sivillage.com/upload/C00001/s3/goods/org/557/240531019112557.jpg?RS=450&SP=1&QT=20,HERNO,여성 컨버터블 카라 다운 패딩 코트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,아우터,다운/패딩,롱/헤비,https://image.sivillage.com/upload/C00001/s3/goods/org/840/240830029939840.jpg?RS=450&SP=1&QT=20,SAVE THE DUCK,ISABEL 후드 패딩 코트,ISABEL,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,아우터,다운/패딩,롱/헤비,https://image.sivillage.com/upload/C00001/s3/goods/org/303/240719024895303.jpg?RS=450&SP=1&QT=20,G-CUT,후드 벨티드 다운 패딩 자켓,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/05_01_%EB%B2%A0%EC%9D%B4%EC%A7%80.png,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","베이지,블랙",N/A
여성의류,아우터,다운/패딩,롱/헤비,https://image.sivillage.com/upload/C00001/s3/goods/org/994/240801025856994.jpg?RS=450&SP=1&QT=20,HERNO,여성 하이넥 나일론 서브 제로 코트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,아우터,다운/패딩,롱/헤비,https://image.sivillage.com/upload/C00001/s3/goods/org/985/240801025856985.jpg?RS=450&SP=1&QT=20,HERNO,여성 후디드 나일론 서브 제로 코트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,아우터,다운/패딩,롱/헤비,https://image.sivillage.com/upload/C00001/s3/goods/org/856/240809026900856.jpg?RS=450&SP=1&QT=20,HERNO,여성 벨티드 라이트 서브제로 코트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
