top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,아우터,코트,맥/트렌치,https://image.sivillage.com/upload/C00001/s3/goods/org/756/240830029960756.jpg?RS=450&SP=1,DELLA LANA,캐시미어 롱 싱글 코트,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/15_03_%EB%8B%A4%ED%81%AC_%EB%B8%8C%EB%9D%BC%EC%9A%B4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_04_%EB%A9%9C%EB%9E%80%EC%A7%80_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","다크 브라운,멜란지 그레이",N/A
여성의류,아우터,코트,맥/트렌치,https://image.sivillage.com/upload/C00001/s3/goods/org/673/240828029604673.jpg?RS=450&SP=1,HERNO,여성 스냅 버튼 퍼 싱글 코트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,아우터,코트,맥/트렌치,https://image.sivillage.com/upload/C00001/s3/goods/org/204/240823028895204.jpg?RS=450&SP=1,EMPORIO ARMANI,여성 라운드넥 버튼업 모헤어 코트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,아우터,코트,맥/트렌치,https://image.sivillage.com/upload/C00001/s3/goods/org/505/240710024357505.jpg?RS=450&SP=1,BURBERRY,24SS 버버리 트렌치 코트 8080864ONYX Black,Black,"2,184,500",61%,N/A,N/A,N/A,,,N/A
여성의류,아우터,코트,맥/트렌치,https://image.sivillage.com/upload/C00001/s3/goods/org/447/240826029289447.jpg?RS=450&SP=1&QT=20,Yohji Yamamoto,[FEMME]사이드 드레이프 디테일 코트,N/A,"5,880,500",5%,N/A,N/A,신상,,,N/A
여성의류,아우터,코트,맥/트렌치,https://image.sivillage.com/upload/C00001/s3/goods/org/508/240823028928508.jpg?RS=450&SP=1&QT=20,Yohji Yamamoto,[FEMME]밴딩 볼륨 슬리브 울 롱 코트,N/A,"4,455,500",5%,N/A,N/A,신상,,,N/A
여성의류,아우터,코트,맥/트렌치,https://image.sivillage.com/upload/C00001/s3/goods/org/445/240823028928445.jpg?RS=450&SP=1&QT=20,Yohji Yamamoto,[Y's]개버딘 프론트 컷팅 코트,N/A,"4,360,500",5%,N/A,N/A,신상,,,N/A
여성의류,아우터,코트,맥/트렌치,https://image.sivillage.com/upload/C00001/s3/goods/org/781/240725025284781.jpg?RS=450&SP=1&QT=20,GIORGIO ARMANI,여성 와이드 카라 트렌치 코트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,아우터,코트,맥/트렌치,https://image.sivillage.com/upload/C00001/s3/goods/org/288/240821028530288.jpg?RS=450&SP=1&QT=20,STUDIO TOMBOY,오버사이즈 트렌치코트,N/A,N/A,N/A,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/02_01_%EA%B7%B8%EB%A0%88%EC%9D%B4.png","다크베이지,그레이",N/A
여성의류,아우터,코트,맥/트렌치,https://image.sivillage.com/upload/C00001/s3/goods/org/128/240819028283128.jpg?RS=450&SP=1&QT=20,ERDEM,하운드투스 오버프린트 롱 코트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,아우터,코트,맥/트렌치,https://image.sivillage.com/upload/C00001/s3/goods/org/857/240816027915857.jpg?RS=450&SP=1&QT=20,ERDEM,플레어 핏 더블 브레스티드 코트,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
여성의류,아우터,코트,맥/트렌치,https://image.sivillage.com/upload/C00001/s3/goods/org/623/240808026711623.jpg?RS=450&SP=1&QT=20,Yohji Yamamoto,[Y's]초크 스트라이프 울 롱 코트,N/A,"3,410,500",5%,N/A,N/A,신상,,,N/A
