top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
여성의류,아우터,퍼/무스탕,리얼퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/155/240717024766155.jpg?RS=450&SP=1,EMPORIO ARMANI,여성 하이넥 스냅 버튼 레더 모피 코트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,아우터,퍼/무스탕,리얼퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/183/240717024766183.jpg?RS=450&SP=1,EMPORIO ARMANI,여성 하이넥 스냅 버튼 레더 모피 코트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,아우터,퍼/무스탕,리얼퍼,https://image.sivillage.com/upload/C00001/goods/org/736/231123007137736.jpg?RS=450&SP=1,L`H.A.S,BABY LAMB MOUTON LONG JACKET_LIGHT BEIGE,LAMB,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,아우터,퍼/무스탕,리얼퍼,https://image.sivillage.com/upload/C00001/goods/org/725/231123007137725.jpg?RS=450&SP=1,L`H.A.S,[DE BASE] TIMELESS MINK JACKET_BROWN,TIMELESS,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,아우터,퍼/무스탕,리얼퍼,https://image.sivillage.com/upload/C00001/goods/org/749/231123007137749.jpg?RS=450&SP=1&QT=20,L`H.A.S,BABY LAMB MOUTON LONG JACKET_DARK BROWN,LAMB,N/A,N/A,N/A,N/A,N/A,,,N/A
여성의류,아우터,퍼/무스탕,리얼퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/846/240506015739846.jpg?RS=450&SP=1&QT=20,SALVATORE SANTORO,23FW 살바토레 산토로 무톤 45003 DTIMBERLAND,DTIMBERLAND,"3,551,300",15%,N/A,N/A,N/A,,,N/A
여성의류,아우터,퍼/무스탕,리얼퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/583/240516017065583.jpg?RS=450&SP=1&QT=20,JW ANDERSON,23FW JW앤더슨 무톤 LJ0020 LT0063 607 BLACK,LJ0020,"1,672,800",27%,N/A,N/A,N/A,,,N/A
여성의류,아우터,퍼/무스탕,리얼퍼,https://image.sivillage.com/upload/C00001/goods/org/454/211027001586454.jpg?RS=450&SP=1&QT=20,GOEN.J,Shearling leather dolman sleeve jacket,Shearling,"1,777,680",28%,5,1,N/A,,,세일
여성의류,아우터,퍼/무스탕,리얼퍼,https://image.sivillage.com/upload/C00001/s3/goods/org/185/240125008392185.jpg?RS=450&SP=1&QT=20,DEKAVV,페이크퍼 시어링 리버시블 자켓 LE_K234PSG301,LE_K234PSG301,"286,060",37%,N/A,N/A,N/A,,,세일
여성의류,아우터,퍼/무스탕,리얼퍼,https://image.sivillage.com/upload/C00001/goods/org/372/230907006282372.jpg?RS=450&SP=1&QT=20,GOEN.J,Shearling-lined aviator leather jacket,Shearling-lined,"2,287,840",37%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_050088_210923163538.jpg,https://image.sivillage.com/upload/C00001/goods/color/color_040009_210503144414.jpg","브라운,블랙",세일
