top_category_name,middle_category_name,bottom_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,남아 (4-16세),셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/760/240612020956760.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[남아] 로고 히든 버튼업 셔츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/301/240626022755301.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[남아] 이글 플레이트 데님 셔츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/534/240628023010534.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[남아] 이글 자수 롱 슬리브 셔츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/774/240612020956774.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[남아] 스트라이프 패턴 셔츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/901/240812027287901.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 남아 셔츠 W04BSHW00019_348A 10A 12A,N/A,"340,100",5%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/goods/color/color_100007_230912133600.png,https://image.sivillage.com/upload/C00001/goods/color/color_100007_230912133600.png","다크 그린,다크 그린",N/A
키즈,남아 (4-16세),셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/918/240812027287918.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 남아 셔츠 W04BSHW00007_235B 10A 12A,N/A,"340,100",5%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_02_%EC%98%A4%ED%94%84_%ED%99%94%EC%9D%B4%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/01_02_%EC%98%A4%ED%94%84_%ED%99%94%EC%9D%B4%ED%8A%B8.png","오프 화이트,오프 화이트",N/A
키즈,남아 (4-16세),셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/962/240828029586962.jpg?RS=450&SP=1&QT=20,BURBERRY,24FW 주니어 버버리 셔츠 8092512 A1464,N/A,"328,950",39%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/547/240903030408547.jpg?RS=450&SP=1&QT=20,STONE ISLAND KIDS,스톤아일랜드 주니어 남아 옐로우 코듀로이 긴팔 셔츠 811610203V0097,N/A,"406,300",30%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/061/240829029659061.jpg?RS=450&SP=1&QT=20,STONE ISLAND KIDS,스톤아일랜드 주니어 남아 카키 코듀로이 긴팔 셔츠 811610203V0055,N/A,"407,320",30%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),셔츠,https://image.sivillage.com/upload/C00001/s3/goods/org/454/240413013581454.jpg?RS=450&SP=1&QT=20,BURBERRY KIDS,[버버리 키즈] 남아 빈티지 체크 셔츠 8059637 C KB5 OWEN LS MICRO A7028 (12-14),LS,"269,450",20%,N/A,N/A,N/A,,,N/A
