top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,남아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/059/240717024766059.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[남아] 리브드 버튼업 자켓,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/313/240723025155313.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[남아] 허니콤 패턴 이지 블레이저,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/087/240820028319087.jpg?RS=450&SP=1,BOBO CHOSES,24AW 보보쇼즈 컬러 블록 양가죽 자켓 B224AC128,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,남아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/090/240820028319090.jpg?RS=450&SP=1,BOBO CHOSES,24AW 보보쇼즈 B.C 페어리 독 리버시블 자켓 B224AC129,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,남아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/446/240812027287446.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 남아 자켓 W04BJAW00002_070 10A 12A,N/A,"677,350",5%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_03_%EB%8B%A4%ED%81%AC_%EB%84%A4%EC%9D%B4%EB%B9%84.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_01_%EB%84%A4%EC%9D%B4%EB%B9%84.png","다크 네이비,네이비",N/A
키즈,남아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/453/240812027287453.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 남아 자켓 W04BOUW00003_146C 10A 12A,N/A,"568,100",5%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_01_%EC%B9%B4%ED%82%A4.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/16_01_%EC%B9%B4%ED%82%A4.png","카키,카키",N/A
키즈,남아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/708/240820028318708.jpg?RS=450&SP=1&QT=20,BOBO CHOSES,24AW 보보쇼즈 B.C 빈티지 데님 퀼티드 자켓 B224AC127,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,남아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/050/240830029937050.jpg?RS=450&SP=1&QT=20,BURBERRY KIDS,버버리 KIDS 24FW 블랙 코듀로이 칼라 퀼팅 자켓 8092519 BLACK/14A,BLACK/14A,"696,150",21%,N/A,N/A,신규입고,,,N/A
키즈,남아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/080/240830029937080.jpg?RS=450&SP=1&QT=20,BURBERRY KIDS,버버리 KIDS 24FW 블랙 코듀로이 칼라 퀼팅 자켓 8092519 BLACK/12A,BLACK/12A,"643,450",21%,N/A,N/A,신규입고,,,N/A
키즈,남아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/090/240830029937090.jpg?RS=450&SP=1&QT=20,BURBERRY KIDS,"버버리 KIDS 24FW 블랙 코듀로이 칼라 퀼팅 자켓 8092519 BLACK/8A,10A","BLACK/8A,10A","589,900",21%,N/A,N/A,신규입고,,,N/A
키즈,남아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/674/240901030193674.jpg?RS=450&SP=1&QT=20,GOLDEN GOOSE,골든구스 키즈 그린 나일론 스트라이프 봄버 자켓 GKP02045K_P00171135548,GKP02045K_P00171135548,"498,860",30%,N/A,N/A,신규입고,,,N/A
키즈,남아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/613/240118008206613.jpg?RS=450&SP=1&QT=20,BOBO CHOSES,보보쇼즈 24SS 스트라이프 컬러 블록 데님 자켓 124AC140,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/324/240205008788324.jpg?RS=450&SP=1&QT=20,TRUE ARTIST,트루아티스트 24SS 봄버 자켓 n01 펄 블루 T124MA049,N/A,N/A,N/A,5,1,N/A,,,N/A
키즈,남아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/534/240104007881534.jpg?RS=450&SP=1&QT=20,VILEBREQUIN,빌보콰 보이즈 스트라이프 코튼 자켓 (VQ-24CZAGIC4S70390),(VQ-24CZAGIC4S70390),"226,100",5%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/036/240622022333036.jpg?RS=450&SP=1&QT=20,STONE ISLAND KIDS,[스톤아일랜드 키즈] 와펜 로고 후드 집업 791661241 V0192 (6-8),N/A,"207,400",29%,N/A,N/A,N/A,,,N/A
키즈,남아 (4-16세),아우터,자켓,https://image.sivillage.com/upload/C00001/s3/goods/org/122/240903030395122.jpg?RS=450&SP=1&QT=20,PALM ANGELS,팜 엔젤스 여아 블랙 자켓 PGEA009K_F24FAB0011003,PGEA009K_F24FAB0011003,"347,650",38%,N/A,N/A,신규입고,,,N/A
