top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,베이비 남아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/396/240731025762396.jpg?RS=450&SP=1,LITTLE TINI,키코 티셔츠_브라운,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 남아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/327/240731025762327.jpg?RS=450&SP=1,LITTLE TINI,키코 티셔츠_그레이,N/A,N/A,N/A,5,1,N/A,,,N/A
키즈,베이비 남아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/595/240731025762595.jpg?RS=450&SP=1,LITTLE TINI,디노 티셔츠_카키,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 남아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/739/240228009525739.jpg?RS=450&SP=1,LITTLE TINI,베누 티셔츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 남아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/355/240724025228355.jpg?RS=450&SP=1&QT=20,LITTLE TINI,크레파스 티셔츠,N/A,N/A,N/A,5,4,N/A,,,N/A
키즈,베이비 남아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/373/240731025762373.jpg?RS=450&SP=1&QT=20,LITTLE TINI,키코 티셔츠_핑크,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 남아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/206/240724025229206.jpg?RS=450&SP=1,LITTLE TINI,카라 티셔츠,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 남아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/600/240731025762600.jpg?RS=450&SP=1,LITTLE TINI,디노 티셔츠_크림,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 남아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/313/240731025762313.jpg?RS=450&SP=1,LITTLE TINI,키코 티셔츠_크림,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 남아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/goods/org/480/220211002016480.jpg?RS=450&SP=1,CHOCO.EL,지베르니스티치티셔츠,N/A,"18,130",53%,4.8,9,N/A,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/08_01_%EB%AF%BC%ED%8A%B8.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/10_01_%EB%B8%94%EB%A3%A8.png,https://image.sivillage.com/upload/C00001/goods/color/color_090011_210514154530.jpg","민트,스카이블루,옐로우",N/A
