top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,베이비 여아 (0-3세),원피스/스커트,긴팔 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/347/240817028074347.jpg?RS=450&SP=1,HELLOSIMONE,헬로시모네 24AW 베이비 말로 깅엄 드레스 AW24-MALBDGG,AW24-MALBDGG,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,긴팔 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/717/240821028537717.jpg?RS=450&SP=1,LITTLE TINI,베티 에이프런 원피스_카키,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,긴팔 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/714/240821028537714.jpg?RS=450&SP=1,LITTLE TINI,베티 에이프런 원피스_베이지,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,긴팔 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/702/240821028538702.jpg?RS=450&SP=1,LITTLE TINI,에이미 원피스,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,긴팔 원피스,https://image.sivillage.com/upload/C00001/goods/org/732/231107006952732.jpg?RS=450&SP=1&QT=20,LITTLE TINI,크리스티 드레스,N/A,N/A,N/A,5,1,N/A,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,긴팔 원피스,https://image.sivillage.com/upload/C00001/goods/org/265/220317002151265.jpg?RS=450&SP=1&QT=20,LITTLE TINI,멜리 드레스,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,긴팔 원피스,https://image.sivillage.com/upload/C00001/goods/org/319/220517002512319.jpg?RS=450&SP=1&QT=20,LITTLE TINI,샤베르 드레스 세트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,긴팔 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/345/240228009524345.jpg?RS=450&SP=1&QT=20,LITTLE TINI,리보니아 원피스,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,긴팔 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/346/240228009524346.jpg?RS=450&SP=1&QT=20,LITTLE TINI,왈츠 멜빵 원피스,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,긴팔 원피스,https://image.sivillage.com/upload/C00001/goods/org/596/230623005513596.jpg?RS=450&SP=1&QT=20,LITTLE TINI,브리 원피스,N/A,N/A,N/A,5,3,N/A,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,긴팔 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/010/240221009151010.jpg?RS=450&SP=1&QT=20,LITTLE TINI,안나 원피스,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,긴팔 원피스,https://image.sivillage.com/upload/C00001/goods/org/681/230915006396681.jpg?RS=450&SP=1&QT=20,LITTLE TINI,나탈리 원피스,N/A,"45,980",5%,N/A,N/A,N/A,,,세일
키즈,베이비 여아 (0-3세),원피스/스커트,긴팔 원피스,https://image.sivillage.com/upload/C00001/goods/org/393/230620005484393.jpg?RS=450&SP=1,LITTLE TINI,타르트 원피스,N/A,N/A,N/A,5,1,N/A,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,긴팔 원피스,https://image.sivillage.com/upload/C00001/goods/org/748/230222004259748.jpg?RS=450&SP=1,LITTLE TINI,도로시 원피스 - 크림,N/A,"26,120",5%,N/A,N/A,N/A,,,세일
키즈,베이비 여아 (0-3세),원피스/스커트,긴팔 원피스,https://image.sivillage.com/upload/C00001/s3/goods/org/514/240731025762514.jpg?RS=450&SP=1,LITTLE TINI,키코 원피스_핑크,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),원피스/스커트,긴팔 원피스,https://image.sivillage.com/upload/C00001/goods/org/576/220303002091576.jpg?RS=450&SP=1,CHOCO.EL,마르틴카라원피스,N/A,"44,080",44%,N/A,N/A,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_020065_210114011229.png,https://image.sivillage.com/upload/C00001/goods/color/0000559.jpg","베이지,핑크",N/A
