top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,베이비 여아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/396/240731025762396.jpg?RS=450&SP=1,LITTLE TINI,키코 티셔츠_브라운,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/327/240731025762327.jpg?RS=450&SP=1,LITTLE TINI,키코 티셔츠_그레이,N/A,N/A,N/A,5,1,N/A,,,N/A
키즈,베이비 여아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/787/240724025221787.jpg?RS=450&SP=1,LITTLE TINI,릴리 티셔츠_크림,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/355/240724025228355.jpg?RS=450&SP=1,LITTLE TINI,크레파스 티셔츠,N/A,N/A,N/A,5,4,N/A,,,N/A
키즈,베이비 여아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/373/240731025762373.jpg?RS=450&SP=1&QT=20,LITTLE TINI,키코 티셔츠_핑크,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/goods/org/152/230908006344152.jpg?RS=450&SP=1&QT=20,LITTLE TINI,몰리 티셔츠,N/A,"21,940",5%,5,4,N/A,,,세일
키즈,베이비 여아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/goods/org/147/230908006344147.jpg?RS=450&SP=1&QT=20,LITTLE TINI,롤라 티셔츠_베이지,N/A,"21,940",5%,5,2,N/A,,,세일
키즈,베이비 여아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/goods/org/150/230908006344150.jpg?RS=450&SP=1&QT=20,LITTLE TINI,젬마 카라 티셔츠_피치,N/A,"27,170",5%,N/A,N/A,N/A,,,세일
키즈,베이비 여아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/904/240124008358904.jpg?RS=450&SP=1&QT=20,LITTLE TINI,캔디샵 티셔츠_피치,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/313/240731025762313.jpg?RS=450&SP=1&QT=20,LITTLE TINI,키코 티셔츠_크림,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/726/240228009525726.jpg?RS=450&SP=1&QT=20,LITTLE TINI,리본 티셔츠_핑크,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/725/240228009525725.jpg?RS=450&SP=1&QT=20,LITTLE TINI,리본 티셔츠_크림,N/A,N/A,N/A,5,1,N/A,,,N/A
키즈,베이비 여아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/911/240124008358911.jpg?RS=450&SP=1,LITTLE TINI,캔디샵 티셔츠_블루,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,베이비 여아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/s3/goods/org/528/240313010790528.jpg?RS=450&SP=1,LITTLE TINI,소프트 후드 티셔츠,N/A,N/A,N/A,5,1,N/A,,,N/A
키즈,베이비 여아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/goods/org/055/220824003002055.jpg?RS=450&SP=1,LITTLE TINI,미뇽 반폴라 티셔츠_크림,N/A,N/A,N/A,5,1,N/A,,,N/A
키즈,베이비 여아 (0-3세),티셔츠,롱슬리브,https://image.sivillage.com/upload/C00001/goods/org/038/220824003002038.jpg?RS=450&SP=1,LITTLE TINI,미뇽 반폴라 티셔츠_베이지,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
