top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/236/240612020957236.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[여아] 부클 로고 크루넥 맨투맨,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/144/240612020957144.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[여아] 부클 로고 크루넥 맨투맨,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/447/240723025155447.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[여아] 그래피티 로고 맨투맨,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/679/240828029552679.jpg?RS=450&SP=1,MONCLER KIDS,[몽클레어] 키즈 로고 맨투맨 8G00011 899PS 990-K,8G00011,"367,200",18%,N/A,N/A,신규입고,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/843/240831030122843.jpg?RS=450&SP=1&QT=20,TRUE ARTIST,트루아티스트 24AW 오르픽 스웻셔츠 T224ET008,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/076/240805026213076.jpg?RS=450&SP=1&QT=20,MONCLER,[몽클레어] 성인착용가능 키즈 로고 스웨트셔츠 8G00011 899PS 990-AK,8G00011,"408,850",18%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/goods/org/486/230429004908486.jpg?RS=450&SP=1&QT=20,BURBERRY KIDS,버버리 키즈 로고 스케치 프린트 코튼 스웨트셔츠 8053817,N/A,"382,500",18%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/goods/org/989/230429004908989.jpg?RS=450&SP=1&QT=20,C.P. COMPANY KIDS,23SS 씨피 컴퍼니 키즈 라이트 플리스 후디 14CKSS027C 12-14A,N/A,"272,000",15%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/400/240424014650400.jpg?RS=450&SP=1&QT=20,DOUUOD,24SS 주니어 두두 탑 DU8A11 Z0761 100,N/A,"212,500",15%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/585/240820028318585.jpg?RS=450&SP=1&QT=20,BOBO CHOSES,24AW 보보쇼즈 보보 서클 스트라이프 스웻셔츠 B224AC043,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/595/240820028318595.jpg?RS=450&SP=1&QT=20,BOBO CHOSES,24AW 보보쇼즈 더 클레버 폭스 스웻셔츠 B224AC044,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/772/240817028074772.jpg?RS=450&SP=1&QT=20,HELLOSIMONE,헬로시모네 24AW 스위티 스웻셔츠 로즈 AW24-SWSRO,N/A,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/773/240817028074773.jpg?RS=450&SP=1&QT=20,HELLOSIMONE,헬로시모네 24AW 샘 스웻셔츠 튤립 AW24-SASWTUL,AW24-SASWTUL,N/A,N/A,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/s3/goods/org/946/240118008206946.jpg?RS=450&SP=1&QT=20,BOBO CHOSES,보보쇼즈 24SS BC 컬러 블록 집업 스웻셔츠 124AC052,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/goods/org/689/230207004054689.jpg?RS=450&SP=1&QT=20,STONE ISLAND,[STONE ISLAND] 22SS 키즈 와펜 크루넥 맨투맨 761661340 V0028,ISLAND],"211,650",27%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/goods/org/639/230207004054639.jpg?RS=450&SP=1&QT=20,STONE ISLAND,[STONE ISLAND] 22SS 키즈 와펜 포켓 맨투맨 화이트 761662139 V0001,ISLAND],"211,650",27%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/goods/org/423/230429004909423.jpg?RS=450&SP=1&QT=20,FENDI KIDS,펜디 키즈 백팩 엠보싱 프린트 맨투맨 JMH152 8-12Y,N/A,"663,000",22%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/goods/org/619/230207004054619.jpg?RS=450&SP=1&QT=20,STONE ISLAND,[STONE ISLAND] 22SS 키즈 와펜 크루넥 맨투맨 블랙 761661340 V0029,ISLAND],"211,650",27%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/goods/org/544/230207004052544.jpg?RS=450&SP=1&QT=20,STONE ISLAND,[STONE ISLAND] 21FW 키즈 와펜 포켓 맨투맨 옐로우 751660240 V0034,ISLAND],"228,650",27%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/goods/org/271/230429004909271.jpg?RS=450&SP=1&QT=20,FENDI KIDS,펜디 키즈 로고 자수 스웨트셔츠 화이트-블랙 8-12A JUH029AG18,JUH029AG18,"450,500",22%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/goods/org/984/230206004047984.jpg?RS=450&SP=1&QT=20,FENDI,21FW 키즈 자수 로고 스웨터 맨투맨 JUH033 5V0 F0GME,F0GME,"313,650",27%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/goods/org/160/230221004243160.jpg?RS=450&SP=1&QT=20,STONE ISLAND,[STONE ISLAND] 22SS 키즈 로고 자수 맨투맨 네이비 761660943 V0020,ISLAND],"220,150",27%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/goods/org/695/230207004074695.jpg?RS=450&SP=1&QT=20,STONE ISLAND,[STONE ISLAND] 키즈 와펜 지퍼 맨투맨 블랙 711660442 V0029,ISLAND],"220,150",27%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/goods/org/484/230221004243484.jpg?RS=450&SP=1&QT=20,STONE ISLAND,[STONE ISLAND] 22SS 키즈 와펜 패치 맨투맨 라임 761661340 V0051,ISLAND],"211,650",27%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/goods/org/976/230728005827976.jpg?RS=450&SP=1&QT=20,STONE ISLAND KIDS,[STONE ISLAND] 23FW 키즈 와펜 맨투맨 네이비 791661320 V0020,ISLAND],"220,150",27%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/goods/org/691/230317004502691.jpg?RS=450&SP=1&QT=20,BURBERRY KIDS,[BURBERRY] 22SS 키즈 체크 스웨트셔츠 코튼 블랙 8047621,N/A,"415,650",27%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/goods/org/077/230208004099077.jpg?RS=450&SP=1&QT=20,STONE ISLAND,[STONE ISLAND] 22SS 키즈 와펜 패치 맨투맨 민트 761660641 V0152,ISLAND],"220,150",27%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/goods/org/144/230823006040144.jpg?RS=450&SP=1&QT=20,STONE ISLAND KIDS,[STONE ISLAND] 23FW 키즈 와펜 맨투맨 라이트그레이 791661320 V0M64,ISLAND],"220,150",27%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/goods/org/372/230429004908372.jpg?RS=450&SP=1&QT=20,BURBERRY KIDS,버버리 키즈 스트라이프 리브 니트 울 터틀넥 스웨터 8051738,N/A,"420,750",23%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),맨투맨/후디,맨투맨,https://image.sivillage.com/upload/C00001/goods/org/274/230823006040274.jpg?RS=450&SP=1&QT=20,BURBERRY KIDS,[BURBERRY] 23FW 키즈 빅 로고 코튼 맨투맨 라이트그레이 8068596,N/A,"432,650",27%,N/A,N/A,N/A,,,N/A
