top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,여아 (4-16세),아우터,점퍼/바람막이,https://image.sivillage.com/upload/C00001/s3/goods/org/423/240313010802423.jpg?RS=450&SP=1,BOBO CHOSES,보보쇼즈 24SS 보보쇼즈 레인코트 124AC155,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),아우터,점퍼/바람막이,https://image.sivillage.com/upload/C00001/s3/goods/org/945/240118008206945.jpg?RS=450&SP=1,BOBO CHOSES,보보쇼즈 24SS BC 컬러 블록 트랙수트 자켓 124AC054,N/A,N/A,N/A,5,2,N/A,,,N/A
키즈,여아 (4-16세),아우터,점퍼/바람막이,https://image.sivillage.com/upload/C00001/s3/goods/org/324/240205008788324.jpg?RS=450&SP=1,TRUE ARTIST,트루아티스트 24SS 봄버 자켓 n01 펄 블루 T124MA049,N/A,N/A,N/A,5,1,N/A,,,N/A
키즈,여아 (4-16세),아우터,점퍼/바람막이,https://image.sivillage.com/upload/C00001/s3/goods/org/100/240407013185100.jpg?RS=450&SP=1,BURBERRY KIDS,버버리 키즈 24SS 체크 리버시블 바람막이 8078184,N/A,"926,500",15%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),아우터,점퍼/바람막이,https://image.sivillage.com/upload/C00001/s3/goods/org/130/240407013185130.jpg?RS=450&SP=1&QT=20,MONCLER KIDS,24SS 몽클레어 키즈 NEW URVILLE 바람막이 자켓 8-10Y 1A0008868352,URVILLE,"442,000",15%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),아우터,점퍼/바람막이,https://image.sivillage.com/upload/C00001/s3/goods/org/353/240407013185353.jpg?RS=450&SP=1&QT=20,MONCLER KIDS,24SS 몽클레어 키즈 PRAGUE 후드 바람막이 자켓 8-10Y 1A000815968E,PRAGUE,"790,500",15%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),아우터,점퍼/바람막이,https://image.sivillage.com/upload/C00001/s3/goods/org/134/240407013185134.jpg?RS=450&SP=1&QT=20,MONCLER KIDS,24SS 몽클레어 키즈 NEW URVILLE 바람막이 자켓 12-14Y 1A0008868352,URVILLE,"510,000",15%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),아우터,점퍼/바람막이,https://image.sivillage.com/upload/C00001/s3/goods/org/126/240407013185126.jpg?RS=450&SP=1&QT=20,MONCLER KIDS,24SS 몽클레어 키즈 NEW URVILLE 바람막이 자켓 4-6Y 1A0008868352,URVILLE,"399,500",15%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),아우터,점퍼/바람막이,https://image.sivillage.com/upload/C00001/s3/goods/org/359/240407013185359.jpg?RS=450&SP=1&QT=20,MONCLER KIDS,24SS 몽클레어 키즈 PRAGUE 후드 바람막이 자켓 12-14Y 1A000815968E,PRAGUE,"909,500",15%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),아우터,점퍼/바람막이,https://image.sivillage.com/upload/C00001/s3/goods/org/347/240407013185347.jpg?RS=450&SP=1&QT=20,MONCLER KIDS,24SS 몽클레어 키즈 PRAGUE 후드 바람막이 자켓 4-6Y 1A000815968E,PRAGUE,"714,000",15%,N/A,N/A,N/A,,,N/A
