top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,여아 (4-16세),원피스/스커트/점프슈트,스커트,https://image.sivillage.com/upload/C00001/s3/goods/org/339/240701023211339.jpg?RS=450&SP=1,EMPORIO ARMANI JUNIOR,[여아] 이글 트리밍 플리츠 니트 스커트,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),원피스/스커트/점프슈트,스커트,https://image.sivillage.com/upload/C00001/s3/goods/org/814/240812027285814.jpg?RS=450&SP=1,BONPOINT,[봉쁘앙] 24FW 여아 스커트 W04GSKW00004_414A 10A 12A,W04GSKW00004_414A,"641,250",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),원피스/스커트/점프슈트,스커트,https://image.sivillage.com/upload/C00001/s3/goods/org/802/240812027285802.jpg?RS=450&SP=1,BONPOINT,[봉쁘앙] 24FW 여아 스커트 W04GSKW00009_017 06A 08A,W04GSKW00009_017,"273,600",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),원피스/스커트/점프슈트,스커트,https://image.sivillage.com/upload/C00001/s3/goods/org/799/240812027285799.jpg?RS=450&SP=1,BONPOINT,[봉쁘앙] 24FW 여아 스커트 W04GSKW00004_414A 06A 08A,W04GSKW00004_414A,"620,350",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),원피스/스커트/점프슈트,스커트,https://image.sivillage.com/upload/C00001/s3/goods/org/808/240812027285808.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 스커트 W04GSKW00035_582 06A 08A,W04GSKW00035_582,"496,850",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),원피스/스커트/점프슈트,스커트,https://image.sivillage.com/upload/C00001/s3/goods/org/820/240812027285820.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 스커트 W04GSKW00011_094A 10A 12A,W04GSKW00011_094A,"425,600",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),원피스/스커트/점프슈트,스커트,https://image.sivillage.com/upload/C00001/s3/goods/org/831/240812027285831.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 스커트 W04GSKW00035_582 10A 12A,W04GSKW00035_582,"511,100",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),원피스/스커트/점프슈트,스커트,https://image.sivillage.com/upload/C00001/s3/goods/org/811/240812027285811.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 스커트 W04GSKW00025_017 06A 08A,W04GSKW00025_017,"363,850",5%,N/A,N/A,신상,"https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_04_%EC%9D%B8%EB%94%94%EA%B3%A0.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/11_05_%EB%8B%A4%ED%81%AC_%EC%9D%B8%EB%94%94%EA%B3%A0.png","인디고,다크 인디고",N/A
키즈,여아 (4-16세),원피스/스커트/점프슈트,스커트,https://image.sivillage.com/upload/C00001/s3/goods/org/805/240812027285805.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 스커트 W04GSKW00011_094A 04A 06A 08A,W04GSKW00011_094A,"403,750",5%,N/A,N/A,신상,,,N/A
키즈,여아 (4-16세),원피스/스커트/점프슈트,스커트,https://image.sivillage.com/upload/C00001/s3/goods/org/817/240812027285817.jpg?RS=450&SP=1&QT=20,BONPOINT,[봉쁘앙] 24FW 여아 스커트 W04GSKW00009_017 10A 12A,W04GSKW00009_017,"297,350",5%,N/A,N/A,신상,,,N/A
