top_category_name,middle_category_name,bottom_category_name,sub_category_name,image_src,brand,name,volume,price,discount_rate,rating,review_count,delivery_info,color_image_src,color_name,bedge
키즈,여아 (4-16세),티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/577/240802025997577.jpg?RS=450&SP=1,BLABLAKIA,BLAH LOGO TOP_BLUE,BLAH,"53,100",10%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/972/240802025997972.jpg?RS=450&SP=1,BLABLAKIA,BLAH LOGO TOP_BLACK,BLAH,"53,100",10%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/304/240222009198304.jpeg?RS=450&SP=1,MISHA&PUFF,Balloon Sleeve Paloma Tee_Clover Tisbury Garden_Misha & Puff,Balloon,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/813/240320011485813.jpg?RS=450&SP=1,TRUE ARTIST,트루아티스트 24SS 티셔츠 n09 아이보리 화이트 T124MA001,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/032/240424014628032.jpg?RS=450&SP=1&QT=20,TRUE ARTIST,트루아티스트 24SS 시에스타 티셔츠 T124ET019,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/307/240222009198307.jpeg?RS=450&SP=1&QT=20,MISHA&PUFF,Balloon Sleeve Paloma Tee_Rose Blush Tisbury Garden_Misha & Puff,Balloon,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/185/240424014627185.jpg?RS=450&SP=1&QT=20,TRUE ARTIST,트루아티스트 24SS 티셔츠 n07 아이보리 화이트 T124MA003,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/236/240320011481236.jpg?RS=450&SP=1&QT=20,TRUE ARTIST,트루아티스트 24SS 티셔츠 n09 사파이어 블루 T124MA002,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/569/240320011492569.jpg?RS=450&SP=1&QT=20,TRUE ARTIST,트루아티스트 24SS 티셔츠 n09 오키드 라일락 T124MA052,N/A,N/A,N/A,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/865/240805026281865.jpg?RS=450&SP=1&QT=20,BLABLAKIA,[24SS] ANTIBES LONG TOP_BEIGE,LONG,"40,500",10%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/860/240805026281860.jpg?RS=450&SP=1&QT=20,BLABLAKIA,[24SS] PALM TREE TOP_BLUE,PALM,"40,500",10%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/888/240325011933888.jpg?RS=450&SP=1&QT=20,TINYCOTTONS,타이니코튼 24SS 타이니 원더랜드 탱크 탑 SS24-072,N/A,"45,500",30%,N/A,N/A,N/A,,,세일
키즈,여아 (4-16세),티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/goods/org/517/230630005577517.jpg?RS=450&SP=1,LITTLE STELLA,캉캉이 티셔츠,N/A,"38,400",34%,5,1,N/A,,,N/A
키즈,여아 (4-16세),티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/s3/goods/org/031/240722025090031.jpg?RS=450&SP=1,T.A.O,[T.A.O] 타오 스퀴럴 키즈 S22066 248 AW 키즈 민소매 점프수트,N/A,"90,100",45%,N/A,N/A,N/A,,,N/A
키즈,여아 (4-16세),티셔츠,슬리브리스,https://image.sivillage.com/upload/C00001/goods/org/469/220422002369469.jpg?RS=450&SP=1,CHOCO.EL,니스슬리브리스탑,N/A,"20,640",44%,5,3,N/A,"https://image.sivillage.com/upload/C00001/goods/color/color_080018_210114011352.png,https://image.sivillage.com/upload/C00001/upload1/product/colorChip/14_01_%ED%8D%BC%ED%94%8C.png","오렌지,퍼플",세일
